Investigator,Lena and Yossi,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
,,02887.531200,B6,511,0.31848,16,31.9375,14.884845
,,02887.308080,C6,1364,0.36112,16,85.25,11.887493
,,02887.308960,D6,1231,0.35616,16,76.9375,15.538134
,,02888.217520,B6,134,0.05704,16,8.375,1.866648
,,02888.480880,B6,1360,0.76784,16,85,14.551632
,,02883.908240,A6,2564,6.84424,16,160.25,236.505157
,,02894.584720,B1,1074,1.36984,16,67.125,28.213196
,,02896.194240,B1,159,0.67472,7,22.714286,24.282352
,,02903.176880,B6,69,0.01544,16,4.3125,0.681795
,,02903.206720,C6,121,0.0884,16,7.5625,3.499442
,,02903.200720,D6,185,0.14248,16,11.5625,7.72956
,,02903.307840,B6,582,0.62536,16,36.375,21.206942
,,02906.528320,B1,1305,1.74632,16,81.5625,79.633514
,,02903.062080,A6,1161,8.65096,16,72.5625,241.566757
,,02918.552880,B5,145,0.65272,8,18.125,21.274618
,,02935.519840,B6,456,0.24904,16,28.5,8.231039
,,02935.560480,C6,2035,0.74304,16,127.1875,18.490601
,,02935.535280,D6,2189,0.77928,16,136.8125,21.199112
,,02936.017920,B6,557,0.4776,16,34.8125,7.986072
,,02933.891200,A6,2260,3.29392,16,141.25,90.792
,,02936.878320,B6,1223,1.43048,15,81.533333,112.945335
,,02938.212160,C3,107,1.11008,7,15.285714,11.46067
,,02940.010240,B6,139,0.85304,7,19.857143,40.137009
,,02940.968160,B6,1851,0.95944,16,115.6875,26.703743
,,02942.072480,B6,222,0.6312,14,15.857143,37.165375
,,02946.454800,B5,52,0.3784,13,4,5.188745
,,02942.417200,A5,2044,6.5832,16,127.75,147.24321
,,02962.775760,A5,940,0.84984,13,72.307692,52.885048
,,02950.427920,B5,2604,13.69304,8,325.5,855.146057
,,02977.017360,D5,50,0.24984,14,3.571429,2.691635
,,02977.006560,B5,54,0.44728,14,3.857143,5.449209
,,02976.991680,C5,143,0.57992,11,13,32.305363
,,02970.537600,B1,1397,7.35584,13,107.461538,331.063477
,,02976.585360,A5,1571,3.39224,16,98.1875,94.456482
,,02980.060400,B1,224,0.18824,12,18.666667,21.963354
,,02988.679680,B1,574,0.37,16,35.875,22.19762
,,02989.252800,B1,263,0.56912,12,21.916667,23.389666
,,03001.635760,B5,168,0.68888,10,16.8,22.2432
,,03003.500080,B6,219,0.0504,16,13.6875,2.390574
,,03002.634240,B5,250,1.31968,7,35.714286,60.142006
,,03003.557760,C6,2297,0.8328,16,143.5625,19.342211
,,03003.552320,D6,2380,0.83144,16,148.75,28.523018
,,03002.900720,A5,725,1.56736,12,60.416667,104.153305
,,03003.836080,B6,913,0.58664,16,57.0625,13.460445
,,03002.223760,A6,2392,3.08912,16,149.5,61.173931
,,03004.970000,B6,238,0.25208,13,18.307692,17.507732
,,03005.600720,B6,1115,1.64912,16,69.6875,118.817993
,,03008.883280,B6,50,0.19904,7,7.142857,7.119964
,,03009.152800,C6,337,1.10512,8,42.125,107.674782
,,03009.194160,B6,2544,1.74864,16,159,30.049959
,,03016.567200,B1,57,0.2328,10,5.7,7.043437
,,03016.877200,C1,227,0.87112,8,28.375,57.268967
,,03020.897600,C3,191,0.3468,7,27.285714,41.502892
,,03021.969920,B1,325,0.30784,14,23.214286,26.060858
,,03026.957040,C2,88,0.29872,11,8,7.185845
,,03032.750160,B1,53,0.14648,15,3.533333,5.004887
,,03033.445280,C1,181,0.57584,10,18.1,16.238535
,,03033.514240,A1,199,0.63856,9,22.111111,49.347843
,,03033.140480,B1,2865,1.43784,16,179.0625,25.501148
,,03049.680560,B5,70,0.64768,7,10,13.480145
,,03049.113600,B1,461,1.59224,9,51.222222,115.460213
,,03079.717520,C3,64,0.48672,8,8,6.855655
,,03087.506880,A6,548,5.35304,16,34.25,107.868263
,,03092.750160,B6,360,0.08232,16,22.5,5.062114
,,03092.840960,C6,110,0.01912,16,6.875,0.780625
,,03092.751840,D6,99,0.10752,16,6.1875,0.949918
,,03093.164800,B6,697,0.4696,16,43.5625,8.215601
,,03092.986320,C6,1187,0.65984,16,74.1875,16.470499
,,03092.985360,D6,1340,0.71096,16,83.75,34.480972
,,03092.982960,A6,1393,2.05744,16,87.0625,71.651474
,,03093.995040,B6,2399,1.11112,16,149.9375,56.116474
,,03095.244240,B6,378,0.2412,15,25.2,21.879061
,,03095.624000,B6,133,0.11576,12,11.083333,11.49245
,,03095.940880,B6,167,0.30808,8,20.875,17.338091
,,03098.128720,B6,276,0.74392,16,17.25,18.287632
,,03099.003600,B6,588,0.2732,16,36.75,11.104616
,,03101.634400,B6,2823,1.6408,16,176.4375,92.128967
,,03122.605040,B5,225,0.37592,11,20.454545,28.509533
,,03145.766160,C3,56,0.22088,8,7,5.408327
,,03155.703520,B1,284,0.17096,16,17.75,17.451719
,,03175.684480,B1,506,0.78784,15,33.733333,38.735798
,,03180.121840,B1,168,0.11936,16,10.5,10.994317
,,03180.446240,C1,239,0.896,10,23.9,34.24456
,,03183.385040,B1,95,0.1956,10,9.5,10.855874
,,03211.293840,B1,1121,4.63064,6,186.833333,397.000183
,,03229.820800,B1,152,0.38136,9,16.888889,20.754889
,,03230.325600,B1,71,0.2292,7,10.142857,13.484686
,,03232.496000,C1,220,0.49072,10,22,23.655867
,,03244.741920,A5,537,2.00184,16,33.5625,71.24778
,,03305.655760,C1,56,0.32584,7,8,7.329003
,,03320.750000,B6,143,0.1432,15,9.533333,9.171453
,,03320.896400,C6,1766,0.38736,16,110.375,6.998884
,,03320.896320,D6,1808,0.39216,16,113,9.753204
