Investigator,Lena and Yossi,Time (s),Electrode,Amplitude (mV)
,,00006.025360,B6_23,0.062
,,00006.138320,B3_44,0.064
,,00006.176800,B3_22,0.137
,,00006.182640,B3_42,0.063
,,00006.190720,B3_22,0.157
,,00006.194480,B3_22,0.034
,,00006.204400,B3_22,0.059
,,00006.213760,B3_32,0.047
,,00006.220080,B3_22,0.126
,,00006.222560,B3_22,0.04
,,00006.226560,B3_22,0.081
,,00006.227680,B3_32,0.054
,,00006.231280,B3_22,0.051
,,00006.232400,B3_42,0.047
,,00006.242960,B3_22,0.062
,,00006.254480,B3_32,0.051
,,00006.267680,A2_44,0.061
,,00006.270000,B3_22,0.107
,,00006.282720,B3_22,0.162
,,00006.287920,B3_42,0.049
,,00006.368960,B3_22,0.039
,,00006.377520,A1_43,0.052
,,00006.590320,B6_23,0.059
,,00006.804880,C3_22,0.27
,,00006.902080,A1_43,0.062
,,00006.911120,A2_44,0.061
,,00006.924160,C3_43,0.046
,,00006.933440,B6_23,0.06
,,00006.986240,C3_22,0.26
,,00006.988800,C3_22,0.036
,,00007.100880,B6_23,0.062
,,00007.131840,C3_22,0.245
,,00007.134240,C3_22,0.03
,,00007.164800,B6_12,0.024
,,00007.219760,C3_22,0.236
,,00007.222080,C3_22,0.035
,,00007.242480,C3_13,0.049
,,00007.244880,B2_32,0.039
,,00007.324400,A2_44,0.058
,,00007.348640,B2_32,0.03
,,00007.395760,B6_23,0.058
,,00007.472800,B6_23,0.053
,,00007.479440,D1_42,0.042
,,00007.509200,D1_12,0.024
,,00007.529600,D1_42,0.04
,,00007.555440,D1_22,0.039
,,00007.581520,D1_22,0.029
,,00007.597440,D1_22,0.031
,,00007.603120,D1_42,0.041
,,00007.609200,D1_22,0.032
,,00007.614560,B2_11,0.062
,,00007.624800,B2_32,0.031
,,00007.635280,B2_22,0.038
,,00007.640880,B2_32,0.031
,,00007.647280,B2_31,0.054
,,00007.648240,B2_34,0.054
,,00007.652800,B2_22,0.039
,,00007.660160,B2_22,0.036
,,00007.661600,B2_32,0.037
,,00007.668400,B2_32,0.03
,,00007.675440,B3_44,0.077
,,00007.675680,A2_44,0.058
,,00007.676080,B2_34,0.057
,,00007.683680,B2_32,0.039
,,00007.695040,B2_34,0.033
,,00007.700800,B2_32,0.033
,,00007.713920,B2_34,0.045
,,00007.798880,B6_23,0.056
,,00007.826560,A5_24,0.069
,,00008.089440,C4_42,0.034
,,00008.364160,B6_23,0.061
,,00008.393040,D6_33,0.047
,,00008.408080,D6_32,0.034
,,00008.408800,D6_33,0.054
,,00008.420720,C3_22,0.277
,,00008.423200,C3_22,0.033
,,00008.438960,D6_33,0.048
,,00008.456320,A1_43,0.06
,,00008.456800,A2_44,0.051
,,00008.491760,D6_33,0.052
,,00008.501680,D6_33,0.052
,,00008.524080,D2_34,0.069
,,00008.528160,B3_22,0.161
,,00008.530720,D6_32,0.044
,,00008.536480,D2_34,0.06
,,00008.539280,B3_22,0.135
,,00008.539680,D6_33,0.053
,,00008.553200,A5_13,0.073
,,00008.564160,D2_21,0.041
,,00008.567760,A5_13,0.054
,,00008.610480,D2_21,0.103
,,00008.613360,B2_32,0.032
,,00008.655200,D6_33,0.042
,,00008.659360,D2_21,0.095
,,00008.707920,D6_33,0.043
,,00008.752480,D6_33,0.051
,,00008.773760,C3_22,0.26
,,00008.776240,C3_22,0.038
,,00008.786080,D2_34,0.065
,,00008.789600,A5_13,0.058
,,00008.795920,A5_24,0.08
,,00008.800880,A5_13,0.056
,,00008.801280,B6_23,0.057
,,00008.819200,A5_43,0.035
,,00008.840720,A5_13,0.066
,,00008.860880,D6_33,0.043
,,00009.013440,D6_33,0.05
,,00009.017840,B3_42,0.058
,,00009.065680,A2_44,0.064
,,00009.089440,B6_23,0.043
,,00009.090240,B3_22,0.159
,,00009.129920,D6_33,0.051
,,00009.132480,B6_23,0.038
,,00009.135600,B6_21,0.035
,,00009.139040,B6_23,0.035
,,00009.142080,B6_24,0.032
,,00009.151200,B2_32,0.03
,,00009.162720,D2_21,0.039
,,00009.166160,B6_12,0.036
,,00009.175680,B6_23,0.06
,,00009.176800,B6_21,0.045
,,00009.180320,B6_21,0.04
,,00009.188000,B6_23,0.078
,,00009.192480,B6_13,0.049
,,00009.199760,B6_21,0.049
,,00009.202560,B6_13,0.036
,,00009.203040,B6_23,0.071
,,00009.205280,B6_13,0.047
,,00009.209360,B6_21,0.071
,,00009.210160,B6_41,0.017
,,00009.212800,B6_24,0.09
,,00009.213520,B6_13,0.032
,,00009.219200,B6_23,0.061
,,00009.223360,B6_21,0.045
,,00009.225680,B6_13,0.048
,,00009.228320,B6_21,0.046
,,00009.229440,B6_24,0.063
,,00009.238400,B6_41,0.017
,,00009.242480,C3_22,0.261
,,00009.244880,C3_22,0.024
,,00009.245040,B6_14,0.055
,,00009.248160,B3_22,0.155
,,00009.256560,B6_21,0.037
,,00009.258560,B6_24,0.082
,,00009.259280,B6_41,0.021
,,00009.282720,B6_13,0.039
,,00009.297280,B3_42,0.076
,,00009.301280,B3_42,0.05
,,00009.301680,B3_22,0.137
,,00009.302800,B3_32,0.051
,,00009.304560,B3_22,0.122
,,00009.320320,B3_42,0.049
,,00009.321360,B3_22,0.208
,,00009.324400,B3_22,0.023
,,00009.338240,B3_32,0.056
,,00009.348480,B3_22,0.128
,,00009.360000,B6_41,0.016
,,00009.366160,B6_31,0.036
,,00009.385360,B3_22,0.038
,,00009.386880,B3_42,0.061
,,00009.399200,B3_22,0.133
,,00009.402560,B3_41,0.018
,,00009.402640,B3_22,0.031
,,00009.426320,B6_23,0.058
,,00009.431120,B1_14,0.046
,,00009.477120,B1_14,0.047
,,00009.486000,B2_32,0.03
,,00009.488000,B6_41,0.022
,,00009.504240,B6_23,0.054
,,00009.506880,A2_44,0.06
,,00009.526800,A4_41,0.028
,,00009.535200,A4_41,0.013
,,00009.573680,B6_41,0.024
,,00009.635920,B6_23,0.055
,,00009.659280,B6_41,0.024
,,00009.694400,B6_41,0.024
,,00009.720400,B6_41,0.026
,,00009.762320,B6_23,0.036
,,00009.782480,B6_41,0.018
,,00009.815200,B6_41,0.022
,,00009.841280,B6_23,0.057
,,00009.866400,B6_23,0.033
,,00009.866720,B6_41,0.014
,,00009.912480,B6_23,0.05
,,00009.927120,A2_44,0.07
,,00009.971280,B6_31,0.034
,,00009.971280,B6_41,0.024
,,00009.990560,B6_23,0.041
,,00010.058880,B6_23,0.05
,,00010.091600,B6_41,0.014
,,00010.124080,B2_32,0.033
,,00010.124480,B6_41,0.025
,,00010.157440,B6_23,0.056
,,00010.214400,B6_41,0.019
,,00010.258000,B6_23,0.059
,,00010.294960,A1_43,0.059
,,00010.295600,B6_41,0.016
,,00010.310880,C3_43,0.052
,,00010.411680,B6_41,0.022
,,00010.424240,B6_41,0.021
,,00010.478560,A5_24,0.071
,,00010.514320,B6_23,0.037
,,00010.621680,B6_21,0.034
,,00010.641200,B2_32,0.039
,,00010.674480,A2_44,0.061
,,00010.758720,A1_44,0.061
,,00010.760400,A1_43,0.144
,,00010.940480,B2_32,0.033
,,00011.105920,B6_23,0.044
,,00011.141920,B6_12,0.027
,,00011.142880,B6_23,0.067
,,00011.155440,B6_23,0.041
,,00011.155840,B6_12,0.028
,,00011.159840,B6_43,0.045
,,00011.164880,B6_23,0.068
,,00011.192720,B6_13,0.039
,,00011.193920,A2_44,0.057
,,00011.208720,B6_43,0.039
,,00011.221280,B6_13,0.033
,,00011.222400,B6_23,0.053
,,00011.229280,B6_23,0.054
,,00011.236080,B6_12,0.038
,,00011.249200,B6_23,0.053
,,00011.251440,B6_13,0.036
,,00011.252720,B6_23,0.059
,,00011.254480,B6_41,0.027
,,00011.264800,B6_21,0.045
,,00011.267920,B6_14,0.063
,,00011.272080,B6_23,0.046
,,00011.275520,B6_23,0.058
,,00011.276400,B6_13,0.035
,,00011.276800,B6_24,0.081
,,00011.300800,B6_41,0.024
,,00011.304880,B6_23,0.055
,,00011.308480,B6_21,0.039
,,00011.345840,D4_44,0.031
,,00011.348800,B6_41,0.011
