Investigator,Lena and Yossi,Time (s),Electrode,Amplitude (mV)
,,00350.596400,B1_13,0.038
,,00350.600720,B1_14,0.071
,,00350.603520,B1_14,0.07
,,00350.603600,B1_43,0.048
,,00350.605760,B1_14,0.041
,,00350.608400,B1_43,0.058
,,00350.611120,B1_43,0.038
,,00350.612880,B1_14,0.071
,,00350.614400,B1_31,0.035
,,00350.615120,B1_14,0.083
,,00350.615680,B1_13,0.042
,,00350.615760,B1_22,0.033
,,00350.618880,B1_43,0.054
,,00350.621280,B1_43,0.041
,,00350.623760,B1_31,0.044
,,00350.624240,B1_14,0.044
,,00350.625440,B6_23,0.05
,,00350.626320,B1_42,0.034
,,00350.626480,B1_14,0.048
,,00350.628080,B1_43,0.074
,,00350.633200,B1_14,0.068
,,00350.633200,B1_22,0.04
,,00350.637680,B1_21,0.043
,,00350.638320,B1_14,0.089
,,00350.639040,B1_12,0.044
,,00350.639360,B1_43,0.056
,,00350.641120,B1_14,0.067
,,00350.642240,B1_21,0.055
,,00350.642560,B1_22,0.049
,,00350.644880,B1_43,0.081
,,00350.645520,B1_42,0.061
,,00350.645840,B1_32,0.048
,,00350.646080,B1_14,0.051
,,00350.647360,B1_12,0.035
,,00350.647680,B1_43,0.07
,,00350.649360,B1_14,0.065
,,00350.649360,B1_42,0.034
,,00350.651680,B1_42,0.027
,,00350.652240,B1_14,0.082
,,00350.652720,B1_43,0.068
,,00350.652800,B1_12,0.065
,,00350.652800,B1_13,0.041
,,00350.653520,B1_31,0.064
,,00350.654480,B1_14,0.055
,,00350.655920,B1_12,0.048
,,00350.656160,B1_42,0.038
,,00350.656400,B1_43,0.034
,,00350.657120,B1_14,0.038
,,00350.657360,B1_22,0.045
,,00350.657600,B1_32,0.046
,,00350.658480,B1_12,0.033
,,00350.659120,B1_43,0.046
,,00350.659760,B1_14,0.078
,,00350.660560,B1_34,0.035
,,00350.661360,B1_42,0.033
,,00350.663360,B1_14,0.057
,,00350.664480,B1_13,0.052
,,00350.664480,B1_43,0.058
,,00350.664960,B1_12,0.075
,,00350.665200,B1_32,0.038
,,00350.665840,B1_14,0.179
,,00350.667360,B1_31,0.037
,,00350.668160,B1_43,0.056
,,00350.668320,B1_13,0.046
,,00350.669600,B1_14,0.062
,,00350.670240,B1_12,0.046
,,00350.671120,B1_43,0.049
,,00350.671920,B1_34,0.034
,,00350.672080,B1_31,0.037
,,00350.673040,B1_14,0.07
,,00350.673360,B1_32,0.024
,,00350.675040,B1_43,0.033
,,00350.676560,B1_42,0.042
,,00350.677840,B1_43,0.06
,,00350.679040,B1_14,0.072
,,00350.680560,B1_43,0.04
,,00350.682720,B1_21,0.026
,,00350.683120,B1_14,0.038
,,00350.684000,B1_12,0.049
,,00350.684720,B1_43,0.051
,,00350.686160,B1_14,0.202
,,00350.686800,B1_34,0.034
,,00350.687360,B1_13,0.037
,,00350.688720,B1_43,0.04
,,00350.688880,B1_14,0.069
,,00350.690320,B1_22,0.034
,,00350.692880,B1_14,0.057
,,00350.694320,B1_43,0.069
,,00350.696080,B1_14,0.032
,,00350.697440,B1_12,0.042
,,00350.697840,B1_42,0.035
,,00350.699200,B1_43,0.061
,,00350.700480,B1_14,0.143
,,00350.703040,B1_43,0.073
,,00350.703280,B1_14,0.025
,,00350.705440,B1_43,0.04
,,00350.706240,B1_31,0.024
,,00350.706640,B1_14,0.065
,,00350.709520,B1_43,0.042
,,00350.710480,B1_14,0.038
,,00350.712240,B1_43,0.046
,,00350.715280,B1_14,0.113
,,00350.716800,B1_43,0.043
,,00350.717680,B1_34,0.049
,,00350.718400,B1_14,0.059
,,00350.719680,B1_43,0.049
,,00350.724800,B1_43,0.052
,,00350.729920,B1_14,0.115
,,00350.733840,B1_14,0.055
,,00350.737040,B1_43,0.042
,,00350.745440,B1_14,0.093
,,00350.745920,B1_13,0.031
,,00350.748080,B1_14,0.082
,,00350.749840,B1_43,0.035
,,00350.755600,B1_12,0.038
,,00350.763040,B1_14,0.085
,,00350.766320,B1_14,0.059
,,00350.777280,B1_14,0.045
,,00350.780720,B1_14,0.056
,,00350.784800,A2_44,0.059
,,00350.796000,A4_23,0.046
,,00350.805120,B3_22,0.166
,,00350.809440,B1_14,0.044
,,00350.826000,B1_14,0.035
,,00350.830640,B1_14,0.045
,,00350.842960,B1_14,0.051
,,00350.852880,D1_42,0.032
,,00350.856080,B2_32,0.035
,,00350.858560,B1_43,0.053
,,00350.863760,B1_14,0.042
,,00350.893840,B1_14,0.04
,,00350.913760,B1_14,0.039
,,00350.929680,C3_43,0.074
,,00350.939120,B1_14,0.06
,,00350.947600,B2_32,0.034
,,00350.963200,A4_33,0.04
,,00350.965680,B2_32,0.037
,,00350.966960,B1_14,0.036
,,00350.971600,A2_44,0.066
,,00351.050080,A1_43,0.053
,,00351.050480,B1_14,0.049
,,00351.096080,B1_14,0.047
,,00351.123520,B1_14,0.044
,,00351.134560,B2_32,0.033
,,00351.153760,B1_14,0.042
,,00351.165440,B6_23,0.062
,,00351.206720,B1_14,0.042
,,00351.223040,B1_14,0.052
,,00351.240080,A2_44,0.054
,,00351.247120,B6_23,0.058
,,00351.272080,B1_14,0.036
,,00351.311040,B1_14,0.046
,,00351.350320,D1_22,0.057
,,00351.381360,D1_42,0.044
,,00351.400000,B3_44,0.062
,,00351.425840,B2_32,0.027
,,00351.426320,D1_42,0.029
,,00351.438880,B1_14,0.043
,,00351.445200,A2_44,0.045
,,00351.489680,B1_14,0.037
,,00351.533360,B1_14,0.046
,,00351.546160,B1_14,0.046
,,00351.550640,B6_41,0.015
,,00351.566560,B1_14,0.053
,,00351.575840,A3_44,0.042
,,00351.608560,A2_44,0.05
,,00351.640640,A3_34,0.044
,,00351.650080,A3_34,0.072
,,00351.654800,B1_14,0.047
,,00351.656160,A3_24,0.034
,,00351.658160,A3_44,0.041
,,00351.662720,A3_34,0.055
,,00351.664560,B1_14,0.032
,,00351.665440,A3_34,0.068
,,00351.668800,A3_34,0.031
,,00351.669520,A3_44,0.051
,,00351.671200,A3_34,0.093
,,00351.675680,A3_34,0.072
,,00351.685840,B1_14,0.028
,,00351.688320,A3_34,0.056
,,00351.693840,A3_34,0.058
,,00351.697120,A1_41,0.013
,,00351.697440,A3_34,0.043
,,00351.698160,D2_34,0.066
,,00351.705520,A3_34,0.072
,,00351.708320,A3_44,0.041
,,00351.718720,A1_43,0.058
,,00351.723040,B1_14,0.069
,,00351.725760,B2_32,0.032
,,00351.731120,A1_44,0.064
,,00351.742800,B1_14,0.04
,,00351.743600,D6_33,0.042
,,00351.751840,D6_33,0.046
,,00351.755440,B1_14,0.028
,,00351.795360,C3_43,0.055
,,00351.797760,A2_44,0.058
,,00351.799120,A1_43,0.059
,,00351.810880,C3_43,0.051
,,00351.813920,D6_33,0.055
,,00351.830400,D6_33,0.047
,,00351.834960,C3_43,0.04
,,00351.841440,D6_33,0.047
,,00351.855040,B1_14,0.05
,,00351.858080,D6_21,0.052
,,00351.864080,A1_43,0.029
,,00351.880080,B1_14,0.051
,,00351.880720,D6_33,0.049
,,00351.892320,D6_33,0.055
,,00351.892720,B2_32,0.031
,,00351.947200,B1_14,0.047
,,00351.966160,B1_14,0.049
,,00351.972480,C3_12,0.135
,,00351.988800,C3_43,0.305
,,00351.991440,C3_43,0.041
,,00351.995280,C3_43,0.24
,,00351.997920,C3_43,0.048
,,00351.998000,C3_24,0.374
,,00351.999280,C3_12,0.133
,,00352.000640,C3_24,0.034
,,00352.001440,C3_14,0.131
,,00352.003280,C3_22,0.276
,,00352.003520,C3_12,0.157
,,00352.005680,C3_22,0.027
,,00352.006080,C3_12,0.027
,,00352.006960,C3_13,0.051
,,00352.009280,C3_14,0.145
,,00352.010240,C3_24,0.325
,,00352.012240,C3_14,0.061
,,00352.012960,C3_24,0.026
,,00352.014480,C3_14,0.147
,,00352.017280,C3_12,0.112
,,00352.017760,C3_43,0.067
,,00352.018000,C3_14,0.155
,,00352.019520,C3_12,0.052
,,00352.020240,C3_22,0.244
,,00352.020480,C3_43,0.314
,,00352.021520,C3_14,0.071
,,00352.022400,C3_24,0.045
,,00352.022640,C3_22,0.031
,,00352.023120,C3_43,0.042
,,00352.023200,A2_44,0.061
,,00352.024480,C3_14,0.082
,,00352.025920,C3_24,0.326
,,00352.026880,C3_43,0.04
,,00352.027680,C3_14,0.096
,,00352.028720,C3_24,0.039
,,00352.030320,C3_14,0.077
,,00352.033280,B3_22,0.158
,,00352.033280,C3_14,0.03
,,00352.034080,C3_43,0.254
,,00352.037200,C3_43,0.053
,,00352.038160,C3_14,0.063
,,00352.039440,C3_12,0.099
,,00352.040880,C3_14,0.067
,,00352.044160,C3_24,0.281
,,00352.045360,C3_14,0.061
,,00352.047920,C3_14,0.058
,,00352.047920,C3_24,0.026
,,00352.052960,C3_14,0.079
,,00352.053840,C3_43,0.032
,,00352.055200,C3_14,0.038
,,00352.058080,C3_14,0.07
,,00352.061200,C3_22,0.226
,,00352.063600,C3_22,0.027
,,00352.063760,C3_14,0.057
,,00352.086240,C3_14,0.054
,,00352.101600,A1_43,0.061
,,00352.103760,C3_22,0.208
,,00352.105920,B6_23,0.053
,,00352.106080,C3_22,0.032
,,00352.128240,B6_23,0.049
,,00352.154240,B1_14,0.039
,,00352.171680,B1_14,0.065
,,00352.194800,C3_22,0.187
,,00352.197040,C3_22,0.033
,,00352.223600,B1_14,0.048
,,00352.280960,B1_14,0.052
,,00352.334160,A2_44,0.06
,,00352.404560,B1_14,0.055
,,00352.423440,C3_22,0.195
,,00352.425840,C3_22,0.023
,,00352.430240,B1_14,0.046
,,00352.462960,B6_23,0.054
,,00352.469680,B1_14,0.06
,,00352.482000,B2_32,0.029
,,00352.517200,B2_32,0.036
,,00352.519920,B3_44,0.067
,,00352.522400,B1_14,0.042
,,00352.602720,B2_32,0.032
,,00352.622240,B1_14,0.058
,,00352.741760,B1_14,0.041
,,00352.752560,B3_22,0.172
,,00352.765040,A2_44,0.059
,,00352.788000,B6_23,0.062
,,00352.795600,C3_43,0.052
,,00352.812000,C3_43,0.054
,,00352.812240,B1_14,0.037
,,00352.837600,C3_43,0.045
,,00352.868400,B1_14,0.047
,,00352.929440,A2_44,0.055
,,00352.963760,B1_14,0.043
,,00353.000720,B3_22,0.161
,,00353.010800,C3_43,0.049
,,00353.057360,B2_32,0.039
,,00353.118000,C3_43,0.055
,,00353.141280,B6_23,0.071
,,00353.145760,C3_43,0.043
,,00353.177440,A5_23,0.034
,,00353.185760,A5_13,0.061
,,00353.199600,A5_13,0.068
,,00353.242240,B1_14,0.036
,,00353.247440,A2_44,0.05
,,00353.284000,B2_32,0.034
,,00353.290160,B3_22,0.151
,,00353.315200,A1_12,0.037
,,00353.322400,B6_23,0.052
,,00353.329600,C3_43,0.046
,,00353.334560,B1_14,0.048
,,00353.380000,B6_41,0.013
,,00353.386560,B6_41,0.017
,,00353.419360,C3_43,0.045
,,00353.424880,A2_44,0.062
,,00353.450000,B1_14,0.055
,,00353.454240,C3_43,0.047
,,00353.557760,B1_14,0.049
,,00353.596240,C3_43,0.048
,,00353.643360,B1_14,0.045
,,00353.644240,A2_44,0.055
,,00353.704400,B2_32,0.037
,,00353.741040,B6_23,0.057
,,00353.751520,B6_23,0.046
,,00353.756560,A4_33,0.035
,,00353.761280,C3_43,0.294
,,00353.764640,C3_43,0.048
,,00353.767360,C3_43,0.09
,,00353.776160,C3_22,0.267
,,00353.778160,C3_43,0.181
,,00353.778640,C3_22,0.032
,,00353.780720,C3_43,0.046
,,00353.783360,C3_43,0.028
,,00353.785680,C3_12,0.127
,,00353.785920,C3_43,0.051
,,00353.794320,B1_14,0.053
,,00353.798400,A2_44,0.05
,,00353.803920,C3_24,0.361
,,00353.806480,C3_24,0.029
,,00353.816720,C3_24,0.316
,,00353.819440,C3_24,0.037
,,00353.825920,B1_14,0.05
,,00353.826080,C3_22,0.253
,,00353.827520,B2_32,0.036
,,00353.828480,C3_22,0.029
,,00353.842800,C3_13,0.051
,,00353.846560,C3_14,0.058
,,00353.852000,C3_12,0.115
,,00353.854000,C3_24,0.335
,,00353.856560,C3_24,0.027
,,00353.857920,C3_14,0.063
,,00353.883920,C3_22,0.24
,,00353.886320,C3_22,0.029
,,00353.889520,B1_14,0.058
,,00353.930160,C3_22,0.179
,,00353.932560,C3_22,0.03
,,00353.947360,D1_12,0.034
,,00353.948800,C3_22,0.173
,,00353.952800,A2_44,0.058
,,00353.958080,D1_42,0.034
,,00353.967040,B6_23,0.047
,,00353.972160,C3_22,0.172
,,00353.974480,C3_22,0.027
,,00353.980880,D1_42,0.031
,,00353.981840,D1_22,0.051
,,00353.997120,B1_14,0.053
,,00354.051520,B2_32,0.03
,,00354.078800,B6_41,0.026
,,00354.088960,D1_42,0.036
,,00354.113920,C3_22,0.19
,,00354.116240,C3_22,0.026
,,00354.126640,B6_23,0.063
,,00354.144000,B1_14,0.05
,,00354.150080,A1_43,0.061
,,00354.163760,B6_23,0.035
,,00354.174720,B6_41,0.02
,,00354.177360,C3_22,0.178
,,00354.179680,C3_22,0.03
,,00354.185680,B6_41,0.016
,,00354.233360,B3_44,0.055
,,00354.256320,A2_44,0.059
,,00354.323120,B2_32,0.032
,,00354.415200,A2_44,0.055
,,00354.443040,B1_14,0.065
,,00354.463840,B6_23,0.056
,,00354.478640,B6_23,0.056
,,00354.510800,D2_21,0.037
,,00354.515840,B2_32,0.032
,,00354.574160,A2_44,0.057
,,00354.595200,D2_34,0.075
,,00354.602000,B1_14,0.049
,,00354.608320,B3_44,0.06
,,00354.650560,B2_32,0.03
,,00354.761440,B1_14,0.033
,,00354.776160,A2_44,0.055
,,00354.840560,A4_33,0.071
,,00354.844720,A4_33,0.048
,,00354.862560,A4_33,0.056
,,00354.876880,A4_33,0.037
,,00354.911600,A4_23,0.047
,,00354.920400,A4_33,0.06
,,00354.923440,A4_23,0.042
,,00354.929760,A4_33,0.149
,,00354.932720,A4_14,0.043
,,00354.936080,A4_41,0.014
,,00354.939520,A4_41,0.024
,,00354.945040,A4_41,0.013
,,00354.950880,A4_33,0.054
,,00354.952160,B3_22,0.171
,,00354.952400,B1_14,0.062
,,00354.953120,A4_23,0.043
,,00354.954160,A4_33,0.119
,,00354.966640,A4_41,0.015
,,00354.990320,A4_33,0.114
,,00354.999600,A1_43,0.053
,,00355.024640,B2_32,0.032
,,00355.029200,A4_33,0.105
,,00355.042960,A4_33,0.059
,,00355.058080,A2_44,0.06
,,00355.069680,B1_14,0.053
,,00355.071600,A4_33,0.089
,,00355.086080,B2_32,0.04
,,00355.108960,A4_33,0.078
,,00355.109280,B6_23,0.057
,,00355.132480,B1_14,0.03
,,00355.133200,A4_23,0.053
,,00355.142320,A4_33,0.077
,,00355.164880,B1_14,0.047
,,00355.165280,A4_33,0.054
,,00355.192800,A4_33,0.073
,,00355.195520,A4_41,0.012
,,00355.224000,B1_14,0.054
,,00355.274400,A4_33,0.088
,,00355.289840,A4_41,0.019
,,00355.320400,A4_33,0.063
,,00355.336480,A4_41,0.015
,,00355.342080,A4_41,0.015
,,00355.345360,A2_44,0.059
,,00355.354320,A4_33,0.064
,,00355.371600,A4_41,0.015
,,00355.392160,A4_33,0.081
,,00355.439520,A4_33,0.058
,,00355.471360,A1_43,0.145
,,00355.515120,A1_41,0.022
,,00355.519120,A1_44,0.047
,,00355.520960,A1_43,0.136
,,00355.524240,A1_43,0.064
,,00355.539680,A4_33,0.05
,,00355.540880,A1_43,0.063
,,00355.549360,B2_32,0.035
,,00355.554240,A1_44,0.051
,,00355.562880,A2_44,0.058
,,00355.564640,A4_41,0.016
,,00355.569840,B1_14,0.059
,,00355.580640,A1_43,0.056
,,00355.607120,A1_44,0.045
,,00355.633840,D4_23,0.029
,,00355.637840,D3_24,0.04
,,00355.643040,B1_14,0.052
,,00355.655040,D3_41,0.016
,,00355.665760,B3_22,0.162
,,00355.673520,A1_44,0.041
,,00355.690000,A1_44,0.043
,,00355.700080,A1_43,0.048
,,00355.705440,D3_24,0.057
,,00355.726080,A2_44,0.061
,,00355.738960,B6_23,0.058
,,00355.895440,B2_32,0.033
,,00355.917200,A2_44,0.066
,,00356.022960,B2_32,0.043
,,00356.025440,C3_12,0.147
,,00356.037680,C3_24,0.345
,,00356.039280,C3_43,0.03
,,00356.040240,C3_24,0.03
,,00356.063840,C3_12,0.129
,,00356.075360,D2_21,0.038
,,00356.075520,C3_12,0.104
,,00356.089120,C3_14,0.054
,,00356.092880,B1_14,0.047
,,00356.098400,C3_24,0.353
,,00356.099920,A2_44,0.061
,,00356.100880,C3_24,0.029
,,00356.109760,B2_32,0.031
,,00356.113840,C3_14,0.068
,,00356.126880,C3_22,0.272
,,00356.145120,B2_32,0.038
,,00356.146960,B2_31,0.069
,,00356.159120,B2_32,0.031
,,00356.169360,B2_34,0.056
,,00356.176880,B2_32,0.044
,,00356.198480,B2_22,0.041
,,00356.204320,B2_32,0.033
,,00356.207440,B2_34,0.064
,,00356.223760,B2_11,0.052
,,00356.225600,B2_34,0.048
,,00356.227600,B6_23,0.055
,,00356.239920,B2_32,0.046
,,00356.241120,A4_33,0.102
,,00356.242320,B2_11,0.049
,,00356.251760,B2_34,0.038
,,00356.268880,B3_22,0.164
,,00356.303600,B2_32,0.031
,,00356.306000,A2_44,0.06
,,00356.319760,C3_22,0.248
,,00356.322000,C3_22,0.035
,,00356.353440,A5_24,0.067
,,00356.380640,A4_33,0.083
,,00356.389760,B1_14,0.052
,,00356.446640,C6_22,0.038
,,00356.474320,A4_33,0.071
,,00356.493600,B3_22,0.062
,,00356.496160,A4_41,0.024
,,00356.496240,B3_22,0.05
,,00356.500160,A2_44,0.056
,,00356.511360,B6_23,0.058
,,00356.519520,B3_42,0.041
,,00356.522400,B3_22,0.053
,,00356.525760,B3_22,0.112
,,00356.528080,B3_42,0.051
,,00356.528560,B3_32,0.055
,,00356.533120,B3_22,0.042
,,00356.533920,B1_14,0.046
,,00356.535760,B3_22,0.051
,,00356.538320,B3_22,0.127
,,00356.548080,B3_22,0.099
,,00356.553520,B3_22,0.114
,,00356.556400,B3_22,0.047
,,00356.557120,B3_41,0.016
,,00356.560640,B3_22,0.05
,,00356.561520,B3_44,0.045
,,00356.561840,B3_41,0.013
,,00356.564080,B3_22,0.098
,,00356.567200,B3_22,0.059
,,00356.567840,B3_42,0.036
,,00356.569920,B3_41,0.017
,,00356.570160,B3_42,0.055
,,00356.571520,B3_22,0.095
,,00356.573600,B3_42,0.061
,,00356.574720,B3_22,0.057
,,00356.576400,B3_42,0.051
,,00356.580640,B3_22,0.048
,,00356.582480,B3_41,0.014
,,00356.585360,B3_42,0.089
,,00356.587680,B3_42,0.035
,,00356.591120,B3_42,0.035
,,00356.595360,B3_22,0.136
,,00356.600720,B3_22,0.123
,,00356.603440,B3_22,0.037
,,00356.615200,A4_23,0.04
,,00356.615840,B3_22,0.051
,,00356.617040,B3_44,0.041
,,00356.620080,B3_42,0.03
,,00356.627040,B3_44,0.052
,,00356.638080,A4_41,0.022
,,00356.642560,B3_41,0.015
,,00356.665440,A4_41,0.016
,,00356.669760,D1_42,0.042
,,00356.684960,A4_41,0.022
,,00356.685600,B3_44,0.046
,,00356.710640,A4_41,0.022
,,00356.734160,A4_23,0.045
,,00356.738560,A4_41,0.014
,,00356.760800,A2_44,0.054
,,00356.789200,B6_23,0.051
,,00356.791040,A4_33,0.043
,,00356.885840,A4_41,0.016
,,00356.917040,B3_22,0.063
,,00356.920400,A2_44,0.06
,,00356.921760,B6_23,0.053
,,00356.954320,B3_22,0.057
,,00356.957200,B3_32,0.061
,,00357.025760,B3_22,0.049
,,00357.085840,A2_44,0.054
,,00357.103120,B2_32,0.031
,,00357.107920,B3_32,0.044
,,00357.109120,B3_42,0.039
,,00357.125600,B3_22,0.034
,,00357.135280,B1_14,0.05
,,00357.157520,B3_32,0.037
,,00357.284640,D6_33,0.05
,,00357.290880,D6_33,0.05
,,00357.305600,B3_42,0.062
,,00357.312480,D6_33,0.047
,,00357.330160,A2_44,0.06
,,00357.346000,D6_32,0.05
,,00357.349360,D6_33,0.052
,,00357.355680,B3_22,0.059
,,00357.357280,D6_33,0.044
,,00357.366560,B3_42,0.063
,,00357.369280,B3_32,0.061
,,00357.372080,B3_42,0.047
,,00357.377200,B3_22,0.072
,,00357.377200,D6_32,0.06
,,00357.378480,D6_33,0.045
,,00357.379680,B3_22,0.064
,,00357.380400,D6_32,0.03
,,00357.380640,B3_42,0.029
,,00357.384560,B3_22,0.097
,,00357.390720,B3_22,0.056
,,00357.393920,B3_32,0.044
,,00357.394080,B3_42,0.061
,,00357.396720,D6_33,0.055
,,00357.397920,B3_22,0.033
,,00357.407280,D6_32,0.041
,,00357.408640,B3_22,0.088
,,00357.417920,D6_33,0.05
,,00357.422160,D6_21,0.035
,,00357.424400,B3_22,0.047
,,00357.431040,D6_33,0.031
,,00357.435280,B3_42,0.031
,,00357.438880,D6_32,0.045
,,00357.441600,D6_32,0.04
,,00357.448400,D6_33,0.051
,,00357.457040,B3_22,0.03
,,00357.459680,D6_32,0.058
,,00357.463840,B6_23,0.06
,,00357.464800,D6_32,0.049
,,00357.466640,D6_33,0.046
,,00357.468240,B3_42,0.033
,,00357.485280,D6_32,0.052
,,00357.490000,D6_33,0.033
,,00357.504560,D6_32,0.049
,,00357.539440,D6_32,0.055
,,00357.572240,A2_44,0.063
,,00357.627440,B1_14,0.04
,,00357.660160,D1_11,0.037
,,00357.660800,D1_22,0.051
,,00357.663280,D1_22,0.04
,,00357.667120,B3_22,0.04
,,00357.668880,D1_42,0.037
,,00357.669680,D1_22,0.03
,,00357.675120,D1_43,0.035
,,00357.675760,D1_12,0.041
,,00357.677760,D1_22,0.036
,,00357.680080,D1_42,0.047
,,00357.682400,D1_31,0.037
,,00357.682400,D1_42,0.031
,,00357.682640,D1_22,0.049
,,00357.687440,D1_22,0.05
,,00357.689040,A1_43,0.049
,,00357.689680,D1_22,0.029
,,00357.702480,D1_42,0.048
,,00357.707200,B1_14,0.048
,,00357.709040,D1_22,0.053
,,00357.717760,D1_22,0.032
,,00357.721840,D1_22,0.033
,,00357.755040,D1_22,0.055
,,00357.757600,D1_22,0.023
,,00357.762080,A2_44,0.062
,,00357.771680,B2_32,0.033
,,00357.783840,D1_42,0.033
,,00357.811360,A4_23,0.051
,,00357.841520,D2_21,0.033
,,00357.857280,B3_22,0.14
,,00357.860640,B3_32,0.052
,,00357.861120,B3_42,0.06
,,00357.870000,D2_34,0.111
,,00357.902240,B3_32,0.045
,,00357.917200,B3_22,0.124
,,00357.918400,B3_42,0.033
,,00357.971440,A2_44,0.051
,,00357.974160,B6_23,0.062
,,00357.985600,B3_22,0.142
,,00357.996320,D2_21,0.035
,,00358.022960,D2_34,0.076
,,00358.032320,B3_22,0.137
,,00358.059040,B3_22,0.125
,,00358.096880,B3_42,0.059
,,00358.098400,B3_22,0.127
,,00358.151440,B3_42,0.047
,,00358.160000,B3_22,0.11
,,00358.191360,A2_44,0.055
,,00358.193440,B3_22,0.11
,,00358.223680,B3_22,0.107
,,00358.236080,B3_44,0.063
,,00358.252640,D5_41,0.016
,,00358.286000,D5_13,0.034
,,00358.287520,C3_43,0.265
,,00358.291600,C3_43,0.04
,,00358.294080,C3_43,0.222
,,00358.296720,C3_43,0.017
,,00358.300480,D5_33,0.059
,,00358.301280,C3_43,0.196
,,00358.304240,C3_43,0.07
,,00358.308560,C3_43,0.059
,,00358.309680,C3_12,0.151
,,00358.313440,A4_33,0.126
,,00358.314400,C3_24,0.348
,,00358.316960,C3_24,0.026
,,00358.319920,C3_12,0.091
,,00358.322720,C3_43,0.045
,,00358.323760,C3_22,0.284
,,00358.326080,C3_22,0.026
,,00358.331280,C3_12,0.032
,,00358.331280,D5_43,0.051
,,00358.332720,C3_14,0.061
,,00358.336000,C3_24,0.343
,,00358.338560,C3_24,0.027
,,00358.340000,C3_12,0.101
,,00358.346960,B3_22,0.116
,,00358.356000,C3_14,0.058
,,00358.360000,C3_14,0.071
,,00358.362000,C3_22,0.271
,,00358.363760,C3_24,0.3
,,00358.364400,C3_22,0.036
,,00358.366080,C3_24,0.046
,,00358.375760,C3_14,0.059
,,00358.379040,C3_14,0.046
,,00358.387200,A2_44,0.056
,,00358.389200,D5_33,0.049
,,00358.397120,B6_23,0.054
,,00358.406720,A4_33,0.106
,,00358.422160,D5_13,0.036
,,00358.453040,A4_33,0.102
,,00358.468560,C3_22,0.241
,,00358.471040,C3_22,0.035
,,00358.524320,A4_33,0.098
,,00358.596720,A2_44,0.066
,,00358.605680,A4_33,0.037
,,00358.618720,B3_22,0.123
,,00358.632320,A4_41,0.027
,,00358.673920,C3_22,0.23
,,00358.676160,C3_22,0.032
,,00358.682400,A4_41,0.018
,,00358.694240,A4_33,0.049
,,00358.696400,A4_41,0.017
,,00358.703360,A4_41,0.02
,,00358.710800,A4_33,0.097
,,00358.715120,A4_14,0.043
,,00358.728000,A4_41,0.018
,,00358.729040,A4_33,0.047
,,00358.732000,A4_41,0.025
,,00358.737280,A4_33,0.067
,,00358.762480,A4_33,0.082
,,00358.764800,A4_33,0.034
,,00358.766000,A4_41,0.021
,,00358.782720,A4_41,0.02
,,00358.785920,A4_33,0.042
,,00358.790480,A4_33,0.062
,,00358.811760,A4_33,0.047
,,00358.823280,A4_41,0.016
,,00358.836560,A4_33,0.046
,,00358.853280,A2_44,0.056
,,00358.881840,D6_33,0.039
,,00358.889120,A2_44,0.058
,,00358.892480,A2_44,0.037
,,00358.905360,B2_32,0.035
,,00358.913280,B3_22,0.122
,,00358.925200,A2_44,0.055
,,00358.927600,A2_44,0.115
,,00358.930960,A2_44,0.031
,,00358.951600,A2_44,0.055
,,00358.952240,B3_42,0.045
,,00358.963680,A4_33,0.046
,,00358.979760,B6_23,0.055
,,00358.980640,A1_43,0.059
,,00358.991680,A4_33,0.054
,,00359.010720,B3_22,0.127
,,00359.014480,A4_41,0.021
,,00359.020320,A4_33,0.054
,,00359.034480,B3_22,0.117
,,00359.040000,A2_44,0.038
,,00359.046240,A4_33,0.046
,,00359.049840,B3_22,0.104
,,00359.062000,B3_44,0.05
,,00359.063600,A2_44,0.038
,,00359.065520,A4_33,0.05
,,00359.084400,B3_22,0.076
,,00359.086080,A2_44,0.077
,,00359.086960,B3_42,0.034
,,00359.089200,A2_44,0.038
,,00359.101360,B3_22,0.096
,,00359.105040,B3_22,0.025
,,00359.114000,B3_32,0.042
,,00359.117840,B2_32,0.026
,,00359.117920,A2_44,0.059
,,00359.120160,B3_22,0.121
,,00359.120720,B3_42,0.033
,,00359.123200,B3_42,0.068
,,00359.123360,B3_22,0.05
,,00359.125680,B3_22,0.096
,,00359.135360,B3_22,0.044
,,00359.138560,B3_22,0.05
,,00359.150080,B3_22,0.074
,,00359.150320,B3_42,0.032
,,00359.160160,B3_22,0.055
,,00359.160320,B3_32,0.038
,,00359.167040,B3_42,0.037
,,00359.174880,B3_22,0.045
,,00359.178960,B3_42,0.053
,,00359.186160,B3_22,0.055
,,00359.197200,B3_22,0.057
,,00359.200080,B3_44,0.057
,,00359.203360,B3_12,0.043
,,00359.209680,B3_42,0.045
,,00359.219440,B3_22,0.061
,,00359.236320,B3_22,0.039
,,00359.248320,A5_13,0.068
,,00359.259760,A5_13,0.063
,,00359.275280,A5_13,0.067
,,00359.280240,A5_43,0.027
,,00359.495200,B3_42,0.035
,,00359.544000,B6_23,0.061
,,00359.554800,B3_32,0.042
,,00359.628800,A2_44,0.057
,,00359.660480,B2_32,0.038
,,00359.670160,B3_32,0.044
,,00359.727920,D4_23,0.029
,,00359.809680,B3_44,0.06
,,00359.821440,B2_32,0.03
,,00359.860880,C5_42,0.032
,,00359.895120,C5_43,0.05
,,00359.898960,B6_23,0.048
,,00359.899280,C5_43,0.04
