Investigator,Or,Time (s),Electrode,Amplitude (mV)
,,00620.960560,A3_42,0.037
,,00620.961520,A3_41,0.022
,,00620.962960,A3_31,0.025
,,00620.963600,A3_42,0.03
,,00620.965840,A3_31,0.04
,,00620.966240,A3_42,0.032
,,00620.966960,A3_24,0.056
,,00620.968240,B5_24,0.076
,,00620.969760,B2_24,0.088
,,00620.969840,A3_42,0.033
,,00620.970000,A3_24,0.049
,,00620.982720,B5_24,0.064
,,00620.984960,C1_31,0.032
,,00620.987600,A3_24,0.049
,,00620.990720,A3_41,0.023
,,00620.998800,A3_21,0.041
,,00621.003760,B1_23,0.046
,,00621.006960,A3_42,0.023
,,00621.025760,C1_22,0.106
,,00621.117760,B2_21,0.039
,,00621.120640,B1_23,0.023
,,00621.139360,C1_31,0.029
,,00621.161440,B1_23,0.033
,,00621.178160,B1_13,0.037
,,00621.185520,A3_24,0.062
,,00621.188160,B5_42,0.033
,,00621.189600,B2_21,0.05
,,00621.214960,B2_12,0.03
,,00621.237920,B2_24,0.138
,,00621.240240,B2_24,0.037
,,00621.245920,B1_23,0.049
,,00621.260720,A1_24,0.035
,,00621.265760,B1_23,0.081
,,00621.296000,C1_31,0.031
,,00621.296560,B5_24,0.071
,,00621.297920,B2_31,0.051
,,00621.334240,A3_31,0.026
,,00621.374320,B1_23,0.051
,,00621.392160,B1_23,0.064
,,00621.410080,A2_14,0.061
,,00621.426320,A3_24,0.058
,,00621.427920,C1_31,0.033
,,00621.438960,B2_24,0.043
,,00621.454320,A3_31,0.053
,,00621.497360,B2_21,0.024
,,00621.512160,A1_13,0.053
,,00621.519520,B2_21,0.049
,,00621.534480,B1_23,0.047
,,00621.548720,B5_42,0.194
,,00621.551760,B5_42,0.015
,,00621.554640,C1_31,0.034
,,00621.571120,A3_12,0.04
,,00621.605520,A3_24,0.022
,,00621.609280,A3_24,0.028
,,00621.626000,A3_31,0.05
,,00621.647600,C1_31,0.028
,,00621.658960,B1_23,0.065
,,00621.676640,B1_23,0.049
,,00621.680080,B1_23,0.082
,,00621.686400,A3_24,0.051
,,00621.691120,A3_24,0.042
,,00621.692000,C1_11,0.025
,,00621.707760,B4_23,0.033
,,00621.732160,B5_24,0.076
,,00621.734000,A3_31,0.026
,,00621.747680,B5_24,0.057
,,00621.796320,A3_24,0.076
,,00621.808320,A3_24,0.041
,,00621.810400,C1_31,0.03
,,00621.829840,A3_31,0.051
,,00621.835920,A1_24,0.028
,,00621.882800,C1_22,0.108
,,00621.894800,A3_24,0.072
,,00621.900480,C1_31,0.033
,,00621.917120,C1_22,0.094
,,00621.924080,A3_24,0.049
,,00621.932720,B2_21,0.035
,,00621.957360,B2_31,0.053
,,00621.965760,B2_31,0.033
,,00621.975920,A3_24,0.037
,,00621.985520,B1_23,0.088
,,00621.992560,B1_23,0.063
,,00621.996320,B1_23,0.016
,,00621.999840,B2_31,0.047
,,00622.007120,B1_23,0.053
,,00622.011120,B2_31,0.038
,,00622.016240,A3_24,0.053
,,00622.018960,A3_24,0.032
,,00622.047600,A3_42,0.029
,,00622.050480,B2_41,0.025
,,00622.050960,A3_24,0.07
,,00622.053440,A3_24,0.036
,,00622.066480,A3_24,0.058
,,00622.066720,C1_31,0.032
,,00622.077680,B2_21,0.094
,,00622.081200,B2_21,0.016
,,00622.084560,B5_24,0.077
,,00622.086720,B2_21,0.027
,,00622.096240,A3_42,0.021
,,00622.096400,A3_24,0.066
,,00622.101360,B1_13,0.037
,,00622.112320,A3_31,0.041
,,00622.112880,B2_21,0.037
,,00622.117600,A3_31,0.03
,,00622.121760,C2_32,0.031
,,00622.125280,A3_31,0.099
,,00622.125280,A3_42,0.044
,,00622.128320,A3_42,0.033
,,00622.128800,A3_31,0.018
,,00622.130080,A3_41,0.018
,,00622.130880,A3_42,0.036
,,00622.132400,A3_41,0.022
,,00622.134480,A3_42,0.045
,,00622.134880,A3_24,0.051
,,00622.137760,A3_42,0.035
,,00622.139280,A3_24,0.068
,,00622.140320,A3_41,0.017
,,00622.141040,A3_42,0.03
,,00622.142480,A3_24,0.023
,,00622.143600,A3_31,0.036
,,00622.145280,A3_41,0.022
,,00622.146320,A3_42,0.034
,,00622.148160,A3_41,0.024
,,00622.149040,A3_31,0.045
,,00622.150400,A3_42,0.028
,,00622.150480,A3_41,0.012
,,00622.155360,A3_24,0.033
,,00622.169680,A3_41,0.016
,,00622.169840,A3_42,0.03
,,00622.171120,A3_31,0.053
,,00622.175280,B2_21,0.054
,,00622.177280,A3_21,0.036
,,00622.179520,B2_21,0.018
,,00622.181440,A3_42,0.054
,,00622.182400,A3_24,0.049
,,00622.184160,A3_31,0.023
,,00622.186560,A3_24,0.071
,,00622.189840,A3_24,0.04
,,00622.205200,C1_31,0.025
,,00622.213120,A3_41,0.019
,,00622.230880,B2_31,0.042
,,00622.231440,B2_21,0.043
,,00622.240400,B1_23,0.075
,,00622.287760,B5_21,0.022
,,00622.299040,B5_42,0.181
,,00622.302160,B5_42,0.022
,,00622.307200,B5_42,0.034
,,00622.309040,B1_23,0.063
,,00622.311760,B1_23,0.017
,,00622.342960,C1_31,0.03
,,00622.350080,C1_11,0.024
,,00622.419520,B2_21,0.054
,,00622.439680,C1_31,0.028
,,00622.460480,B1_23,0.051
,,00622.480240,A1_24,0.033
,,00622.486720,B2_21,0.027
,,00622.495680,A3_31,0.057
,,00622.506240,A3_24,0.067
,,00622.524480,B2_24,0.03
,,00622.542400,A1_23,0.069
,,00622.608240,B1_23,0.09
,,00622.614160,B1_23,0.062
,,00622.617440,B1_23,0.026
,,00622.619840,B1_23,0.032
,,00622.621680,C1_31,0.031
,,00622.622480,B1_23,0.023
,,00622.622720,B5_24,0.073
,,00622.648720,C2_34,0.057
,,00622.649200,B1_23,0.077
,,00622.653280,C2_22,0.168
,,00622.655760,C2_22,0.229
,,00622.656800,C2_32,0.026
,,00622.656880,C2_13,0.019
,,00622.663200,B5_42,0.029
,,00622.664720,B1_23,0.075
,,00622.665680,C2_34,0.047
,,00622.676160,B1_23,0.039
,,00622.676240,C1_31,0.032
,,00622.678800,B1_23,0.053
,,00622.681200,B1_23,0.031
,,00622.690000,A3_24,0.058
,,00622.697840,C2_22,0.029
,,00622.708240,B5_42,0.196
,,00622.709440,C1_31,0.033
,,00622.711440,B5_42,0.016
,,00622.715760,A4_32,0.042
,,00622.730320,B1_23,0.058
,,00622.732160,A3_24,0.041
,,00622.735600,B1_23,0.034
,,00622.740880,A4_32,0.018
,,00622.747200,B1_23,0.066
,,00622.750000,B1_23,0.012
,,00622.775840,B1_23,0.042
,,00622.778080,A3_31,0.055
,,00622.779520,B1_23,0.031
,,00622.784560,A1_23,0.097
,,00622.787520,A1_23,0.017
,,00622.798320,B2_21,0.035
,,00622.799840,B1_23,0.042
,,00622.833840,B1_23,0.044
,,00622.837840,B1_23,0.026
,,00622.873920,B2_24,0.05
,,00622.883760,C1_31,0.032
,,00622.902000,C1_31,0.03
,,00622.905760,B1_23,0.038
,,00622.908080,A1_13,0.021
,,00622.909440,B1_23,0.04
,,00622.910560,A1_24,0.03
,,00622.911840,B1_23,0.023
,,00622.924000,B1_23,0.047
,,00622.948960,B5_24,0.079
,,00622.956240,B1_23,0.04
,,00622.960480,A3_31,0.051
,,00622.967280,A3_24,0.06
,,00623.005680,B1_23,0.023
,,00623.042560,B1_23,0.022
,,00623.048320,B1_23,0.05
,,00623.051200,B1_23,0.029
,,00623.064000,B1_23,0.077
,,00623.066960,B1_23,0.016
,,00623.078640,B2_21,0.046
,,00623.110080,C1_31,0.033
,,00623.157680,B1_23,0.04
,,00623.163600,B1_23,0.064
,,00623.166000,B1_23,0.027
,,00623.175200,B1_23,0.081
,,00623.178160,B1_23,0.016
,,00623.179040,B5_24,0.071
,,00623.192480,B2_12,0.03
,,00623.212400,B1_23,0.042
,,00623.262720,B5_42,0.206
,,00623.265920,B5_42,0.014
,,00623.267360,B1_13,0.039
,,00623.289440,B1_23,0.041
,,00623.294880,B1_23,0.019
,,00623.297120,B1_23,0.035
,,00623.304880,B4_23,0.033
,,00623.310880,B2_31,0.082
,,00623.311520,B2_21,0.024
,,00623.313440,B2_31,0.034
,,00623.315280,B2_21,0.03
,,00623.316000,B2_31,0.039
,,00623.317760,B2_21,0.033
,,00623.319120,B1_23,0.043
,,00623.321040,B2_21,0.025
,,00623.321280,B2_33,0.025
,,00623.321520,B2_24,0.073
,,00623.321760,B2_31,0.039
,,00623.324880,B2_31,0.1
,,00623.328800,B2_31,0.1
,,00623.331120,B2_24,0.055
,,00623.331520,B2_31,0.044
,,00623.331600,B2_12,0.067
,,00623.333840,B2_24,0.042
,,00623.336880,B2_24,0.072
,,00623.338320,B2_21,0.038
,,00623.339200,B2_24,0.033
,,00623.341760,B2_31,0.032
,,00623.343680,B2_24,0.143
,,00623.344400,B2_31,0.053
,,00623.347440,B2_21,0.029
,,00623.347440,B2_24,0.053
,,00623.351920,C1_31,0.027
,,00623.363680,B2_12,0.029
,,00623.364240,A3_31,0.047
,,00623.367680,B2_24,0.048
,,00623.378000,B5_42,0.03
,,00623.459920,B4_31,0.048
,,00623.461280,A3_24,0.067
,,00623.472080,C1_31,0.031
,,00623.527760,A3_24,0.056
,,00623.540080,A1_13,0.058
,,00623.548800,A3_24,0.048
,,00623.564000,B5_24,0.073
,,00623.582080,A3_24,0.06
,,00623.586160,A3_31,0.056
,,00623.627280,C1_31,0.029
,,00623.637120,A3_24,0.048
,,00623.673120,B2_24,0.078
,,00623.695680,B2_12,0.025
,,00623.708400,A1_24,0.026
,,00623.715360,B2_31,0.105
,,00623.716640,B2_24,0.049
,,00623.720640,B2_21,0.039
,,00623.742960,C1_31,0.03
,,00623.743920,B2_31,0.041
,,00623.745760,B2_21,0.026
,,00623.747280,B1_23,0.081
,,00623.748640,B2_31,0.148
,,00623.760720,B2_24,0.055
,,00623.763760,B2_31,0.102
,,00623.765680,B1_23,0.063
,,00623.766720,B2_21,0.039
,,00623.766800,B2_31,0.038
,,00623.770080,B2_31,0.032
,,00623.774560,B2_21,0.021
,,00623.774640,B2_31,0.035
,,00623.784160,B2_31,0.055
,,00623.785840,B5_42,0.233
,,00623.787920,B2_31,0.03
,,00623.789280,B5_42,0.024
,,00623.790480,C2_32,0.023
,,00623.793120,B2_31,0.042
,,00623.793360,A1_12,0.029
,,00623.801280,B2_21,0.044
,,00623.804400,A1_23,0.036
,,00623.808240,A1_23,0.027
,,00623.812000,A1_23,0.074
,,00623.821600,B2_31,0.044
,,00623.822080,A3_24,0.058
,,00623.875920,C1_31,0.028
,,00623.884880,B5_31,0.103
,,00623.887280,B5_31,0.016
,,00623.924880,B5_24,0.072
,,00623.930080,A3_41,0.021
,,00623.932160,B1_23,0.039
,,00623.949200,A1_12,0.029
,,00623.985120,B1_23,0.073
,,00623.988560,B1_23,0.024
,,00624.005520,C1_31,0.032
,,00624.020800,A3_31,0.073
,,00624.027440,B1_13,0.138
,,00624.030240,B1_13,0.048
,,00624.033360,B1_13,0.126
,,00624.036800,B1_13,0.019
,,00624.038240,B1_23,0.067
,,00624.042000,B2_21,0.038
,,00624.044400,B1_11,0.046
,,00624.044720,B1_13,0.035
,,00624.051200,B1_23,0.042
,,00624.060640,B1_23,0.057
,,00624.087200,A1_23,0.079
,,00624.095280,A3_24,0.038
,,00624.115520,B1_23,0.085
,,00624.123360,A1_23,0.07
,,00624.126400,A1_23,0.024
,,00624.131840,C1_22,0.112
,,00624.134240,A3_42,0.022
,,00624.139760,A3_24,0.037
,,00624.141680,A3_42,0.031
,,00624.141760,A3_31,0.031
,,00624.152480,A3_42,0.02
,,00624.180160,C1_31,0.034
,,00624.229760,B5_24,0.075
,,00624.231520,B2_21,0.034
,,00624.263200,A3_42,0.03
,,00624.267920,A3_41,0.02
,,00624.278320,A3_24,0.027
,,00624.278960,B1_23,0.054
,,00624.303920,A1_13,0.059
,,00624.310160,C1_31,0.029
,,00624.317200,A2_24,0.019
,,00624.319040,A3_24,0.04
,,00624.320480,B5_42,0.225
,,00624.323680,B5_42,0.019
,,00624.340320,A2_32,0.019
,,00624.406880,A1_24,0.034
,,00624.424880,A3_31,0.052
,,00624.443840,B5_42,0.027
,,00624.472160,B1_23,0.086
,,00624.472160,C1_31,0.028
,,00624.474240,A3_24,0.037
,,00624.480320,B2_21,0.038
,,00624.495600,C1_22,0.105
,,00624.512320,B1_23,0.05
,,00624.535440,B5_31,0.1
,,00624.535520,B5_24,0.078
,,00624.538240,B5_31,0.021
,,00624.586560,B1_23,0.029
,,00624.614480,B1_13,0.033
,,00624.621520,A1_12,0.028
,,00624.622240,B1_23,0.03
,,00624.630720,B1_23,0.047
,,00624.636800,C1_31,0.031
,,00624.690320,B1_23,0.023
,,00624.722560,B1_23,0.043
,,00624.736240,B1_23,0.077
,,00624.739120,A3_31,0.053
,,00624.756560,A1_13,0.025
,,00624.757040,A3_24,0.073
,,00624.757440,B1_23,0.047
,,00624.759840,B1_23,0.023
,,00624.778480,A1_23,0.068
,,00624.796320,A3_24,0.055
,,00624.797440,C1_31,0.033
,,00624.812480,C2_32,0.018
,,00624.822400,A3_24,0.037
,,00624.825600,A3_24,0.033
,,00624.829280,A3_24,0.066
,,00624.832160,A3_24,0.022
,,00624.833680,B5_42,0.211
,,00624.836320,B1_23,0.067
,,00624.837200,B5_42,0.017
,,00624.842400,A3_31,0.024
,,00624.861280,A3_41,0.021
,,00624.945280,B2_21,0.037
,,00624.970480,A4_32,0.048
,,00624.981040,B1_23,0.044
,,00625.001200,C1_31,0.035
,,00625.027600,B5_24,0.078
,,00625.040080,C1_31,0.031
,,00625.043280,B5_31,0.103
,,00625.045600,B5_31,0.014
,,00625.049680,C1_22,0.109
,,00625.052960,C1_22,0.017
,,00625.098320,A3_31,0.023
,,00625.119760,A3_31,0.05
,,00625.144160,B2_21,0.036
,,00625.162480,A1_23,0.091
,,00625.191280,B2_21,0.037
,,00625.191840,A3_24,0.06
,,00625.192800,C1_31,0.033
,,00625.205680,B1_23,0.055
,,00625.223840,B5_42,0.027
,,00625.226480,A2_24,0.022
,,00625.291680,A3_42,0.026
,,00625.303040,B2_21,0.033
,,00625.328400,B5_24,0.077
,,00625.340720,B1_23,0.079
,,00625.344160,A1_24,0.034
,,00625.380400,C1_31,0.034
,,00625.384720,A1_24,0.034
,,00625.386960,A1_24,0.045
,,00625.390160,A1_24,0.022
,,00625.400800,B5_42,0.147
,,00625.403360,B5_42,0.019
,,00625.468960,B5_42,0.03
,,00625.481120,B2_31,0.053
,,00625.483120,C2_13,0.023
,,00625.488320,B2_31,0.041
,,00625.490240,B2_21,0.035
,,00625.497840,A3_31,0.038
,,00625.511360,B1_23,0.065
,,00625.512240,A3_42,0.041
,,00625.515440,C1_31,0.035
,,00625.516400,A3_31,0.025
,,00625.520000,A3_31,0.029
,,00625.525520,A3_41,0.017
,,00625.535040,B1_13,0.032
,,00625.546560,B1_23,0.044
,,00625.556000,B1_23,0.035
,,00625.556160,A3_42,0.028
,,00625.562880,A3_42,0.023
,,00625.579360,B2_24,0.045
,,00625.584720,A3_42,0.04
,,00625.586160,A3_31,0.024
,,00625.588720,A3_41,0.027
,,00625.592080,A3_24,0.058
,,00625.625440,B5_24,0.071
,,00625.639120,B5_24,0.054
,,00625.646320,A3_31,0.063
,,00625.652400,B1_23,0.048
,,00625.654560,B5_42,0.076
,,00625.660160,C1_31,0.026
,,00625.670640,A1_12,0.027
,,00625.682320,A1_23,0.09
,,00625.713680,A3_24,0.045
,,00625.731280,B5_31,0.099
,,00625.733840,B5_31,0.017
,,00625.742560,C1_31,0.034
,,00625.747920,B2_41,0.026
,,00625.760880,B2_21,0.048
,,00625.765440,C1_22,0.106
,,00625.771520,C1_31,0.033
,,00625.798480,C2_43,0.024
,,00625.865520,A1_12,0.03
,,00625.869440,B2_21,0.035
,,00625.881840,B1_13,0.033
,,00625.894480,B1_13,0.036
,,00625.903040,B1_23,0.052
,,00625.905040,A3_24,0.072
,,00625.921840,B1_23,0.063
,,00625.941280,B1_23,0.087
,,00625.947040,B1_23,0.051
,,00625.950480,C1_31,0.027
,,00626.031840,A1_12,0.027
,,00626.034400,A3_31,0.028
,,00626.050240,B5_42,0.036
,,00626.075200,B5_31,0.1
,,00626.076880,A3_31,0.025
,,00626.079760,A3_24,0.067
,,00626.083440,B2_21,0.037
,,00626.087360,B4_11,0.02
,,00626.092000,B1_23,0.045
,,00626.109280,C1_31,0.027
,,00626.148080,C2_32,0.032
,,00626.148640,C2_13,0.023
,,00626.172480,C2_21,0.018
,,00626.183040,C2_32,0.029
,,00626.199680,A1_12,0.027
,,00626.219600,B5_24,0.077
,,00626.223920,C2_22,0.049
,,00626.224880,C2_21,0.018
,,00626.225360,C2_13,0.03
,,00626.242800,B1_23,0.057
,,00626.266080,C2_13,0.027
,,00626.268000,C2_32,0.024
,,00626.268400,C2_43,0.027
,,00626.284560,B2_21,0.021
,,00626.284960,C1_31,0.028
,,00626.297760,A1_24,0.036
,,00626.314000,B4_23,0.03
,,00626.337120,B1_23,0.063
,,00626.355200,A1_12,0.026
,,00626.376160,A3_24,0.061
,,00626.399040,B2_12,0.029
,,00626.403040,B5_42,0.182
,,00626.406160,B5_42,0.018
,,00626.427920,C1_31,0.033
,,00626.438640,C1_11,0.021
,,00626.439200,B1_23,0.041
,,00626.446880,B2_41,0.026
,,00626.477840,B2_21,0.051
,,00626.494480,B5_42,0.036
,,00626.503600,B2_31,0.052
,,00626.512240,B2_31,0.042
,,00626.515360,A3_24,0.057
,,00626.537920,B2_31,0.041
,,00626.541440,B2_21,0.038
,,00626.554720,B5_31,0.037
,,00626.558640,A3_24,0.08
,,00626.562080,A3_24,0.03
,,00626.583680,C1_31,0.031
,,00626.586640,B5_24,0.075
,,00626.588000,B1_13,0.033
,,00626.604080,C1_31,0.027
,,00626.625760,C1_31,0.027
,,00626.633360,C1_22,0.109
,,00626.634320,A3_42,0.027
,,00626.637920,B1_23,0.078
,,00626.672480,B1_23,0.061
,,00626.677120,A1_24,0.03
,,00626.699280,B2_12,0.229
,,00626.704880,A1_12,0.029
,,00626.713280,B2_24,0.085
,,00626.720720,A1_23,0.031
,,00626.721760,B2_24,0.03
,,00626.743600,B2_21,0.045
,,00626.747760,B1_23,0.046
,,00626.766640,B1_13,0.027
,,00626.767920,B2_21,0.037
,,00626.768080,A1_23,0.07
,,00626.773120,B1_13,0.23
,,00626.775920,B1_13,0.03
,,00626.778080,A3_31,0.053
,,00626.778400,B1_13,0.083
,,00626.782080,B1_13,0.023
,,00626.794400,B1_23,0.07
,,00626.814800,B5_24,0.078
,,00626.824960,C1_31,0.033
,,00626.851120,A3_24,0.067
,,00626.871200,A1_12,0.033
,,00626.939600,C1_31,0.029
,,00626.955920,C1_31,0.029
,,00626.970800,A3_31,0.052
,,00626.994960,A1_24,0.032
,,00627.003680,A1_14,0.04
,,00627.014240,B1_23,0.048
,,00627.057360,B5_42,0.052
,,00627.059600,B5_42,0.201
,,00627.062080,B5_42,0.021
,,00627.065920,B4_23,0.028
,,00627.096880,B4_23,0.032
,,00627.109520,C1_31,0.03
,,00627.109760,A3_24,0.066
,,00627.122800,B2_21,0.034
,,00627.124000,B1_23,0.071
,,00627.126160,B5_24,0.069
,,00627.151920,B5_24,0.063
,,00627.158720,A3_24,0.042
,,00627.165040,B5_42,0.046
,,00627.182240,B1_23,0.055
,,00627.182960,B2_41,0.024
,,00627.200000,B2_24,0.066
,,00627.202400,B2_24,0.077
,,00627.205200,B2_24,0.034
,,00627.214560,B2_21,0.052
,,00627.215840,B2_31,0.098
,,00627.223440,B2_21,0.024
,,00627.224560,A3_24,0.038
,,00627.227840,A3_24,0.09
,,00627.228880,B1_23,0.046
,,00627.230080,A1_12,0.024
,,00627.230560,A3_24,0.06
,,00627.232240,A3_42,0.034
,,00627.235200,B2_31,0.032
,,00627.240880,B2_21,0.099
,,00627.242560,A3_42,0.023
,,00627.243440,A3_31,0.024
,,00627.247760,B2_21,0.046
,,00627.251280,A3_24,0.03
,,00627.256720,A3_42,0.036
,,00627.268240,C1_31,0.033
,,00627.269600,A3_24,0.046
,,00627.278320,A3_24,0.032
,,00627.280960,A3_24,0.042
,,00627.282480,A3_42,0.034
,,00627.283440,A3_24,0.047
,,00627.287440,A3_41,0.016
,,00627.293040,A4_32,0.045
,,00627.305520,A3_41,0.019
,,00627.307600,A3_42,0.044
,,00627.312480,A3_24,0.04
,,00627.314080,A3_42,0.024
,,00627.316640,A3_42,0.035
,,00627.323600,A3_41,0.021
,,00627.328240,A3_31,0.039
,,00627.373520,B1_23,0.085
,,00627.392160,A1_12,0.019
,,00627.410160,A1_24,0.033
,,00627.410160,A3_21,0.036
,,00627.449680,B2_21,0.037
,,00627.450480,C1_31,0.033
,,00627.493920,B1_23,0.065
,,00627.585280,B1_23,0.052
,,00627.585760,B1_13,0.039
,,00627.588640,B5_42,0.202
,,00627.592160,B5_42,0.021
,,00627.620000,C1_31,0.03
,,00627.624560,A3_24,0.07
,,00627.655840,B2_21,0.034
,,00627.675440,A3_31,0.057
,,00627.699920,B5_42,0.037
,,00627.702000,B2_21,0.035
,,00627.705360,B1_23,0.047
,,00627.726000,B1_13,0.031
,,00627.746080,B5_24,0.077
,,00627.753520,C1_31,0.034
,,00627.764880,A1_12,0.027
,,00627.783120,A1_13,0.053
,,00627.811200,B4_23,0.026
,,00627.822720,B1_23,0.085
,,00627.837760,B2_31,0.056
,,00627.844560,B2_31,0.036
,,00627.881520,A3_24,0.062
,,00627.891120,B2_31,0.045
,,00627.891200,C1_31,0.032
,,00627.910480,B2_41,0.025
,,00627.919600,B1_23,0.064
,,00627.922480,B5_24,0.078
,,00627.954880,A3_31,0.026
,,00627.975120,A3_31,0.044
,,00628.012880,B2_21,0.045
,,00628.033440,B1_23,0.052
,,00628.036160,C1_31,0.032
,,00628.062880,B2_21,0.038
,,00628.115280,B1_13,0.037
,,00628.162240,C1_31,0.029
,,00628.166080,A3_24,0.062
,,00628.180640,B5_42,0.031
,,00628.189760,B2_21,0.034
,,00628.232560,B2_41,0.022
,,00628.232640,A1_24,0.031
,,00628.239440,A3_24,0.044
,,00628.242640,B1_23,0.084
,,00628.244960,B1_23,0.037
,,00628.251920,B1_23,0.051
,,00628.263440,C1_31,0.028
,,00628.286640,A3_31,0.052
,,00628.299360,A1_12,0.027
,,00628.305440,B5_42,0.219
,,00628.308560,B5_42,0.015
,,00628.348880,B1_23,0.045
,,00628.418560,C1_31,0.031
,,00628.455520,B5_24,0.082
,,00628.459520,A1_12,0.027
,,00628.485440,B1_23,0.041
,,00628.490800,C2_43,0.022
,,00628.500000,B2_21,0.05
,,00628.538880,B1_13,0.205
,,00628.541360,B1_13,0.023
,,00628.570240,B1_23,0.057
,,00628.583680,A3_24,0.067
,,00628.611840,A1_24,0.03
,,00628.613040,A1_12,0.027
,,00628.615520,A3_24,0.046
,,00628.630800,B2_21,0.033
,,00628.632080,C1_31,0.034
,,00628.658960,B1_23,0.074
,,00628.660080,B2_41,0.024
,,00628.674000,A3_31,0.055
,,00628.689680,B5_24,0.072
,,00628.697040,A3_42,0.023
,,00628.700080,B5_24,0.06
,,00628.716960,B2_21,0.048
,,00628.718320,C1_31,0.032
,,00628.723120,B1_13,0.038
,,00628.760240,B4_23,0.033
,,00628.760800,A3_24,0.032
,,00628.778320,A3_24,0.053
,,00628.780960,A3_24,0.032
,,00628.782240,B5_42,0.033
,,00628.784960,A3_42,0.036
,,00628.786000,A3_24,0.058
,,00628.787440,A3_31,0.053
,,00628.787600,A3_42,0.04
,,00628.790000,A3_31,0.022
,,00628.792720,A3_42,0.037
,,00628.793520,A3_24,0.06
,,00628.796720,B1_23,0.046
,,00628.798960,A3_42,0.035
,,00628.800000,A3_31,0.043
,,00628.801600,A3_42,0.037
,,00628.802000,A3_41,0.027
,,00628.802240,A3_31,0.028
,,00628.805280,C1_21,0.029
,,00628.805920,A3_41,0.02
,,00628.806640,A3_24,0.052
,,00628.807360,B1_23,0.02
,,00628.811840,A1_12,0.024
,,00628.822000,A3_41,0.03
,,00628.822160,A3_42,0.054
,,00628.826480,A3_42,0.032
,,00628.831040,B1_13,0.025
,,00628.843120,A3_21,0.038
,,00628.880160,B1_23,0.043
,,00628.880640,C1_31,0.037
,,00628.898400,B1_23,0.111
,,00628.901040,B1_23,0.02
,,00628.902560,B2_31,0.052
,,00628.907200,B2_21,0.04
,,00628.907840,B1_23,0.056
,,00628.910800,B2_31,0.037
,,00628.922160,B1_23,0.079
,,00628.922960,A4_32,0.044
,,00628.925440,B1_23,0.015
,,00628.933840,A3_31,0.044
,,00628.937920,B5_42,0.188
,,00628.941360,B5_42,0.014
,,00628.941600,A3_31,0.071
,,00628.942240,B1_23,0.05
,,00628.945040,B1_23,0.066
,,00628.947440,A3_41,0.021
,,00628.964320,A3_42,0.029
,,00628.966720,B1_23,0.029
,,00628.970480,B2_31,0.041
,,00628.970560,B1_23,0.013
,,00628.996560,C1_31,0.032
,,00628.998320,B1_23,0.067
,,00629.001360,B1_23,0.013
,,00629.029520,B1_23,0.056
,,00629.041600,A1_24,0.035
,,00629.043600,B1_23,0.049
,,00629.052320,B1_23,0.046
,,00629.055360,B1_23,0.042
,,00629.061440,B1_23,0.021
,,00629.062640,A3_24,0.056
,,00629.071040,B2_41,0.022
,,00629.079840,B1_23,0.078
,,00629.083840,B1_23,0.015
,,00629.107200,C1_31,0.029
,,00629.117840,B1_23,0.045
,,00629.120640,B1_23,0.019
,,00629.151360,B5_24,0.076
,,00629.155520,B1_23,0.04
,,00629.158400,B1_23,0.019
,,00629.159920,B1_13,0.197
,,00629.162320,B1_13,0.022
,,00629.190720,A3_24,0.05
,,00629.223680,C1_31,0.028
,,00629.239280,B1_23,0.059
,,00629.262640,B5_31,0.033
,,00629.263920,A3_31,0.053
,,00629.295600,B1_23,0.04
,,00629.314160,C1_31,0.029
,,00629.317840,B5_31,0.097
,,00629.350560,C1_22,0.114
,,00629.372640,B2_12,0.068
,,00629.391360,B2_12,0.051
,,00629.405040,B1_23,0.049
,,00629.422320,C1_11,0.026
,,00629.422880,C1_31,0.029
,,00629.447440,A3_24,0.054
,,00629.448720,B5_24,0.08
,,00629.506960,B2_21,0.05
,,00629.509120,A3_24,0.045
,,00629.512240,A3_31,0.058
,,00629.534400,B5_42,0.032
,,00629.537600,A1_24,0.019
,,00629.541600,B1_23,0.045
,,00629.546240,B2_21,0.043
,,00629.585760,B1_13,0.035
,,00629.587040,B1_23,0.053
,,00629.591360,B1_23,0.02
,,00629.594000,C1_31,0.031
,,00629.638960,B1_23,0.04
,,00629.680080,B1_13,0.029
,,00629.698160,B5_24,0.07
,,00629.711040,B5_31,0.102
,,00629.714400,B5_24,0.07
,,00629.722320,C1_31,0.028
,,00629.728880,A2_14,0.061
,,00629.745200,A3_31,0.052
,,00629.763600,A3_24,0.057
,,00629.769360,B2_21,0.025
,,00629.810720,B1_23,0.044
,,00629.817440,A2_14,0.062
,,00629.841680,B5_42,0.185
,,00629.844800,B5_42,0.012
,,00629.853040,A1_23,0.098
,,00629.856560,C2_41,0.019
,,00629.868000,C1_31,0.03
,,00629.911520,B1_23,0.06
,,00629.926720,A3_31,0.071
,,00629.939840,B1_23,0.077
,,00629.983040,B2_31,0.057
,,00629.990240,B2_31,0.041
,,00629.992240,B5_24,0.081
,,00629.994480,A3_24,0.071
,,00630.002800,A3_24,0.052
,,00630.003440,B5_24,0.055
,,00630.005600,B2_21,0.036
,,00630.009200,A3_24,0.036
,,00630.013280,B2_31,0.037
,,00630.026800,B2_31,0.04
,,00630.029360,B1_23,0.047
,,00630.055200,B1_23,0.051
,,00630.057920,C1_31,0.03
,,00630.062000,C1_11,0.025
,,00630.071280,B1_23,0.062
,,00630.098080,A1_12,0.028
