Investigator,Or,Time (s),Electrode,Amplitude (mV)
,,00004.370720,A1_23,0.099
,,00004.371920,C1_31,0.031
,,00004.376400,A3_24,0.036
,,00004.382880,A3_42,0.047
,,00004.383680,B5_42,0.074
,,00004.387360,A3_24,0.033
,,00004.394480,A3_31,0.05
,,00004.404000,A3_31,0.071
,,00004.406720,A3_31,0.019
,,00004.410720,A3_42,0.046
,,00004.410800,A3_24,0.029
,,00004.415120,A3_31,0.055
,,00004.418800,A3_24,0.058
,,00004.422400,B5_42,0.04
,,00004.427200,A1_23,0.091
,,00004.433600,A3_24,0.056
,,00004.433600,A4_32,0.041
,,00004.434400,B2_21,0.104
,,00004.438320,C1_21,0.029
,,00004.442080,A3_24,0.032
,,00004.443760,B2_21,0.069
,,00004.444800,A3_24,0.034
,,00004.455360,B2_21,0.074
,,00004.458640,B2_21,0.019
,,00004.467360,B5_24,0.068
,,00004.470400,B2_21,0.052
,,00004.474720,A3_24,0.079
,,00004.478160,A3_24,0.015
,,00004.480160,B5_24,0.052
,,00004.489920,B2_21,0.059
,,00004.501440,A3_24,0.045
,,00004.505360,B2_31,0.039
,,00004.507760,B2_31,0.077
,,00004.508400,A3_24,0.021
,,00004.508720,B2_21,0.023
,,00004.509600,C1_31,0.029
,,00004.510880,B2_31,0.02
,,00004.511200,B2_21,0.033
,,00004.515840,A1_24,0.034
,,00004.518080,B2_24,0.049
,,00004.519120,B5_31,0.048
,,00004.520560,B2_24,0.044
,,00004.522960,B2_24,0.117
,,00004.523440,C2_22,0.595
,,00004.524560,B2_31,0.082
,,00004.525280,B2_24,0.047
,,00004.525760,C2_22,0.123
,,00004.527280,B2_31,0.049
,,00004.527520,B2_21,0.024
,,00004.529840,B2_31,0.07
,,00004.530080,B2_21,0.048
,,00004.530160,C2_21,0.023
,,00004.531200,C2_22,0.031
,,00004.531360,B2_24,0.063
,,00004.532080,B2_12,0.049
,,00004.532240,C2_13,0.028
,,00004.533600,B2_31,0.032
,,00004.534320,B2_21,0.032
,,00004.534640,A3_24,0.037
,,00004.535120,B2_24,0.034
,,00004.536800,B2_31,0.028
,,00004.537120,B2_21,0.031
,,00004.537520,A3_24,0.062
,,00004.540640,A3_24,0.019
,,00004.543200,B2_24,0.031
,,00004.543520,B2_31,0.053
,,00004.546800,B2_31,0.047
,,00004.549120,B2_31,0.053
,,00004.551520,B2_31,0.024
,,00004.552320,B2_21,0.028
,,00004.553840,B2_31,0.056
,,00004.561840,B2_24,0.077
,,00004.588960,B1_23,0.055
,,00004.601760,B5_42,0.143
,,00004.607520,A3_24,0.04
,,00004.631040,B5_31,0.033
,,00004.634000,B5_31,0.099
,,00004.639680,A3_24,0.029
,,00004.642720,A3_24,0.05
,,00004.651280,A3_24,0.041
,,00004.664560,C1_31,0.026
,,00004.672640,B5_42,0.068
,,00004.674480,B1_13,0.033
,,00004.679200,B5_42,0.045
,,00004.694080,B5_42,0.215
,,00004.697360,B5_42,0.022
,,00004.713200,A3_31,0.062
,,00004.755760,C1_22,0.092
,,00004.779920,B2_31,0.054
,,00004.789920,B2_31,0.043
,,00004.790400,B2_24,0.042
,,00004.791920,C1_31,0.031
,,00004.798320,B2_31,0.034
,,00004.808000,A1_12,0.027
,,00004.809040,B5_24,0.066
,,00004.813280,B2_31,0.035
,,00004.825360,B5_24,0.054
,,00004.829120,B4_23,0.029
,,00004.851840,B5_42,0.027
,,00004.873440,A3_31,0.056
,,00004.895600,B2_21,0.038
,,00004.931280,B1_13,0.033
,,00004.932800,C1_31,0.027
,,00004.937840,B5_42,0.038
,,00004.965920,B5_31,0.102
,,00004.968400,B5_31,0.018
,,00004.993200,A1_24,0.028
,,00005.047200,B5_33,0.03
,,00005.057120,B5_24,0.07
,,00005.058160,B5_31,0.032
,,00005.080720,B1_13,0.029
,,00005.086240,C1_31,0.033
,,00005.116800,B2_21,0.05
,,00005.122320,B4_23,0.029
,,00005.141920,A3_24,0.067
,,00005.153120,A3_24,0.047
,,00005.156720,A3_24,0.017
,,00005.196000,B5_24,0.069
,,00005.205200,B5_24,0.046
,,00005.218720,A3_31,0.047
,,00005.226640,B4_23,0.026
,,00005.234080,B2_31,0.096
,,00005.265520,B5_32,0.139
,,00005.267920,B5_32,0.022
,,00005.272960,B2_21,0.037
,,00005.278640,A3_24,0.048
,,00005.307520,A1_14,0.041
,,00005.337840,C1_31,0.034
,,00005.370880,B5_24,0.072
,,00005.386080,B5_24,0.055
,,00005.411040,B5_31,0.096
,,00005.413680,B5_31,0.021
,,00005.425200,B2_21,0.036
,,00005.437040,A3_24,0.05
,,00005.475520,B5_42,0.161
,,00005.478560,B5_42,0.012
,,00005.490240,B1_23,0.031
,,00005.490240,C1_31,0.03
,,00005.514320,A3_31,0.056
,,00005.568560,B2_21,0.047
,,00005.585360,C1_22,0.095
,,00005.600560,A1_24,0.026
,,00005.616640,A3_24,0.04
,,00005.622800,B5_42,0.139
,,00005.625280,B5_42,0.017
,,00005.654000,A1_13,0.055
,,00005.658800,A1_23,0.027
,,00005.673200,C6_33,0.023
,,00005.677920,C1_21,0.026
,,00005.684000,B5_24,0.074
,,00005.695840,C1_31,0.029
,,00005.712000,B5_24,0.058
,,00005.728880,B5_24,0.049
,,00005.762320,A3_24,0.027
,,00005.765280,B2_21,0.026
,,00005.790800,B2_24,0.029
,,00005.822400,B5_42,0.026
,,00005.842240,B5_42,0.141
