Investigator,,Time (s),Electrode,Amplitude (mV)
,,00010.495280,A1_76,0.023
,,00010.495520,A1_34,0.037
,,00010.495680,A1_57,0.021
,,00010.495680,A1_75,0.036
,,00010.495840,A1_52,0.069
,,00010.496000,A1_31,0.036
,,00010.496000,A1_86,0.026
,,00010.496160,A1_45,0.035
,,00010.496160,A1_88,0.024
,,00010.496240,A1_28,0.041
,,00010.496240,A1_38,0.048
,,00010.496480,A1_71,0.036
,,00010.496480,A1_73,0.027
,,00010.496480,A1_83,0.025
,,00010.496640,A1_58,0.049
,,00010.496720,A1_36,0.023
,,00010.496720,A1_46,0.062
,,00010.496800,A1_15,0.026
,,00010.496800,A1_51,0.048
,,00010.496800,A1_54,0.043
,,00010.496880,A1_17,0.026
,,00010.496960,A1_53,0.053
,,00010.496960,A1_72,0.05
,,00010.497040,A1_11,0.03
,,00010.497200,A1_82,0.056
,,00010.497520,A1_62,0.034
,,00010.497520,A1_63,0.025
,,00010.497520,A1_76,0.03
,,00010.497600,A1_41,0.026
,,00010.497600,A1_42,0.028
,,00010.497680,A1_65,0.072
,,00010.497760,A1_12,0.028
,,00010.497760,A1_55,0.031
,,00010.497840,A1_32,0.039
,,00010.497840,A1_34,0.038
,,00010.497920,A1_33,0.035
,,00010.497920,A1_61,0.047
,,00010.497920,A1_87,0.027
,,00010.498080,A1_22,0.023
,,00010.498320,A1_57,0.07
,,00010.498400,A1_13,0.024
,,00010.498800,A1_88,0.055
,,00010.498880,A1_58,0.03
,,00010.499040,A1_18,0.027
,,00010.499040,A1_74,0.027
,,00010.499200,A1_53,0.058
,,00010.499520,A1_48,0.043
,,00010.499520,A1_67,0.04
,,00010.499600,A1_72,0.051
,,00010.499680,A1_16,0.053
,,00010.499680,A1_66,0.092
,,00010.500160,A1_11,0.022
,,00010.500160,A1_34,0.032
,,00010.500160,A1_47,0.021
,,00010.500320,A1_26,0.027
,,00010.500480,A1_22,0.031
,,00010.500560,A1_51,0.059
,,00010.500560,A1_75,0.04
,,00010.500640,A1_35,0.041
,,00010.500640,A1_52,0.044
,,00010.500640,A1_56,0.028
,,00010.500720,A1_24,0.032
,,00010.500720,A1_31,0.026
,,00010.500800,A1_46,0.026
,,00010.500800,A1_78,0.029
,,00010.500880,A1_62,0.024
,,00010.501040,A1_65,0.155
,,00010.501120,A1_23,0.046
,,00010.501120,A1_88,0.058
,,00010.501200,A1_83,0.052
,,00010.501200,A1_86,0.023
,,00010.501280,A1_44,0.038
,,00010.501280,A1_63,0.032
,,00010.501280,A1_73,0.047
,,00010.501360,A1_55,0.045
,,00010.501520,A1_15,0.04
,,00010.501600,A1_82,0.12
,,00010.501920,A1_25,0.023
,,00010.502400,A1_77,0.033
,,00010.502480,A1_53,0.029
,,00010.502480,A1_54,0.045
,,00010.502880,A1_13,0.06
,,00010.502880,A1_71,0.03
,,00010.503120,A1_38,0.056
,,00010.503120,A1_47,0.04
,,00010.503280,A1_34,0.031
,,00010.503360,A1_18,0.049
,,00010.503360,A1_33,0.024
,,00010.503440,A1_75,0.065
,,00010.503520,A1_23,0.046
,,00010.503520,A1_51,0.085
,,00010.503600,A1_16,0.039
,,00010.503600,A1_46,0.042
,,00010.503600,A1_65,0.039
,,00010.503760,A1_26,0.047
,,00010.503760,A1_68,0.022
,,00010.503760,A1_78,0.038
,,00010.504000,A1_15,0.023
,,00010.504080,A1_55,0.043
,,00010.504400,A1_32,0.093
,,00010.504480,A1_31,0.03
,,00010.504480,A1_57,0.14
,,00010.504560,A1_48,0.024
,,00010.504800,A1_53,0.058
,,00010.504800,A1_72,0.049
,,00010.505040,A1_24,0.045
,,00010.505120,A1_22,0.03
,,00010.505120,A1_62,0.034
,,00010.505200,A1_54,0.037
,,00010.505200,A1_56,0.034
,,00010.505280,A1_11,0.023
,,00010.505440,A1_12,0.037
,,00010.505520,A1_45,0.053
,,00010.505600,A1_13,0.053
,,00010.505600,A1_88,0.028
,,00010.505760,A1_42,0.044
,,00010.505840,A1_41,0.028
,,00010.506000,A1_61,0.029
,,00010.506160,A1_26,0.037
,,00010.506240,A1_17,0.039
,,00010.506240,A1_46,0.053
,,00010.506320,A1_55,0.09
,,00010.506320,A1_65,0.125
,,00010.506400,A1_33,0.038
,,00010.506480,A1_34,0.022
,,00010.506480,A1_67,0.054
,,00010.506640,A1_63,0.02
,,00010.506640,A1_76,0.026
,,00010.506640,A1_87,0.036
,,00010.506720,A1_23,0.028
,,00010.506800,A1_51,0.019
,,00010.506880,A1_44,0.023
,,00010.506960,A1_47,0.026
,,00010.506960,A1_57,0.022
,,00010.506960,A1_68,0.03
,,00010.507200,A1_35,0.034
,,00010.507200,A1_52,0.017
,,00010.507200,A1_77,0.032
,,00010.507280,A1_32,0.021
,,00010.507280,A1_36,0.077
,,00010.507360,A1_86,0.03
,,00010.507520,A1_27,0.026
,,00010.507600,A1_11,0.04
,,00010.507600,A1_82,0.027
,,00010.507680,A1_75,0.038
,,00010.507840,A1_54,0.035
,,00010.508400,A1_66,0.084
,,00010.508480,A1_48,0.023
,,00010.508480,A1_53,0.034
,,00010.508720,A1_72,0.048
,,00010.508880,A1_31,0.065
,,00010.508960,A1_23,0.047
,,00010.508960,A1_55,0.024
,,00010.509040,A1_45,0.029
,,00010.509040,A1_67,0.045
,,00010.509040,A1_78,0.103
,,00010.509120,A1_84,0.024
,,00010.509200,A1_51,0.072
,,00010.509280,A1_76,0.045
,,00010.509360,A1_65,0.022
,,00010.509360,A1_83,0.02
,,00010.509440,A1_52,0.032
,,00010.509600,A1_58,0.04
,,00010.509920,A1_13,0.026
,,00010.510320,A1_21,0.047
,,00010.510400,A1_86,0.03
,,00010.510400,A1_88,0.068
,,00010.510480,A1_61,0.031
,,00010.510560,A1_11,0.05
,,00010.510560,A1_18,0.041
,,00010.510560,A1_71,0.03
,,00010.510640,A1_46,0.05
,,00010.510640,A1_54,0.057
,,00010.510800,A1_66,0.07
,,00010.510880,A1_57,0.125
,,00010.511040,A1_12,0.03
,,00010.511040,A1_82,0.105
,,00010.511280,A1_31,0.023
,,00010.511280,A1_44,0.037
,,00010.511280,A1_55,0.102
,,00010.511440,A1_75,0.043
,,00010.511440,A1_81,0.023
,,00010.511520,A1_23,0.043
,,00010.511520,A1_51,0.044
,,00010.511520,A1_62,0.044
,,00010.511920,A1_74,0.03
,,00010.511920,A1_84,0.042
,,00010.512000,A1_15,0.037
,,00010.512080,A1_52,0.043
,,00010.512160,A1_42,0.026
,,00010.512160,A1_72,0.1
,,00010.512240,A1_32,0.058
,,00010.512320,A1_27,0.039
,,00010.512320,A1_53,0.042
,,00010.512320,A1_58,0.034
,,00010.512400,A1_48,0.055
,,00010.512400,A1_56,0.036
,,00010.512400,A1_65,0.037
,,00010.512480,A1_37,0.037
,,00010.512560,A1_73,0.03
,,00010.512560,A1_83,0.042
,,00010.512640,A1_22,0.044
,,00010.512640,A1_63,0.031
,,00010.512720,A1_13,0.038
,,00010.512720,A1_26,0.037
,,00010.512800,A1_36,0.029
,,00010.512800,A1_45,0.049
,,00010.512880,A1_17,0.113
,,00010.512880,A1_64,0.08
,,00010.512880,A1_67,0.169
,,00010.513200,A1_88,0.076
,,00010.513280,A1_66,0.109
,,00010.513440,A1_46,0.08
,,00010.513600,A1_34,0.053
,,00010.513600,A1_57,0.05
,,00010.513680,A1_18,0.043
,,00010.513840,A1_38,0.092
,,00010.513840,A1_68,0.052
,,00010.514000,A1_24,0.08
,,00010.514000,A1_71,0.028
,,00010.514080,A1_62,0.048
,,00010.514320,A1_51,0.03
,,00010.514320,A1_52,0.053
,,00010.514400,A1_16,0.02
,,00010.514480,A1_32,0.038
,,00010.514560,A1_21,0.023
,,00010.514560,A1_58,0.044
,,00010.514560,A1_75,0.037
,,00010.514800,A1_15,0.033
,,00010.514800,A1_31,0.031
,,00010.514880,A1_65,0.031
,,00010.515040,A1_53,0.033
,,00010.515200,A1_67,0.037
,,00010.515200,A1_84,0.031
,,00010.515280,A1_48,0.052
,,00010.515440,A1_82,0.056
,,00010.515520,A1_45,0.037
,,00010.515520,A1_54,0.058
,,00010.515600,A1_41,0.019
,,00010.515600,A1_42,0.023
,,00010.515840,A1_13,0.035
,,00010.515920,A1_11,0.04
,,00010.515920,A1_72,0.082
