Investigator,,Time (s),Electrode,Amplitude (mV)
,,00062.872640,A1_68,0.038
,,00062.876800,A1_72,0.036
,,00062.921120,A1_81,0.028
,,00062.932720,A1_35,0.057
,,00062.950560,A1_77,0.038
,,00062.965600,A1_67,0.033
,,00062.976160,A1_28,0.067
,,00063.076080,A1_76,0.034
,,00063.083520,A1_81,0.023
,,00063.084160,A1_75,0.024
,,00063.597520,A1_76,0.031
,,00063.622080,A1_75,0.021
,,00063.667840,A1_35,0.065
,,00063.721920,A1_76,0.037
,,00063.911920,A1_67,0.035
,,00063.948560,A1_13,0.067
,,00063.996800,A1_71,0.056
,,00064.042240,A1_72,0.031
,,00064.150000,A1_83,0.02
,,00064.239120,A1_72,0.04
,,00064.394400,A1_76,0.042
,,00064.528240,A1_81,0.027
,,00064.689040,A1_76,0.03
,,00064.689280,A1_86,0.028
,,00064.864640,A1_72,0.033
,,00065.012640,A1_71,0.056
,,00065.023440,A1_25,0.041
,,00065.024960,A1_76,0.031
,,00065.035200,A1_75,0.024
,,00065.282160,A1_76,0.037
,,00065.491760,A1_72,0.03
,,00065.682000,A1_76,0.032
,,00065.755920,A1_67,0.039
,,00066.051920,A1_41,0.029
,,00066.150160,A1_83,0.025
,,00066.165760,A1_76,0.034
,,00066.194960,A1_77,0.022
,,00066.205520,A1_81,0.023
,,00066.375680,A1_71,0.053
,,00066.404320,A1_67,0.021
,,00066.599600,A1_67,0.036
,,00066.649680,A1_77,0.019
,,00066.731600,A1_67,0.024
,,00066.871360,A1_76,0.033
,,00066.878880,A1_75,0.027
,,00066.950320,A1_83,0.021
,,00066.980000,A1_67,0.018
,,00066.992560,A1_78,0.038
,,00066.992800,A1_68,0.017
,,00067.416080,A1_76,0.031
,,00067.877760,A1_76,0.029
,,00067.888880,A1_75,0.022
,,00068.665120,A1_77,0.019
,,00068.665680,A1_67,0.02
,,00068.808640,A1_71,0.057
,,00068.853600,A1_71,0.05
,,00068.858560,A1_76,0.035
,,00069.416720,A1_76,0.037
,,00069.670400,A1_72,0.042
,,00069.681680,A1_76,0.034
,,00070.034480,A1_76,0.034
,,00070.191360,A1_35,0.063
,,00070.563040,A1_67,0.021
,,00070.879360,A1_71,0.057
,,00070.911200,A1_71,0.053
,,00071.293040,A1_68,0.041
,,00071.476720,A1_68,0.044
,,00071.635280,A1_35,0.059
,,00071.786160,A1_81,0.027
,,00071.920240,A1_76,0.034
,,00071.984480,A1_68,0.039
,,00072.040320,A1_67,0.022
,,00072.289280,A1_76,0.021
,,00072.411200,A1_68,0.044
,,00072.439280,A1_67,0.022
,,00072.587040,A1_68,0.043
,,00072.670480,A1_83,0.022
,,00072.777280,A1_68,0.034
,,00072.965120,A1_68,0.039
,,00073.009280,A1_35,0.057
,,00073.199360,A1_78,0.03
,,00073.220000,A1_78,0.041
,,00073.220160,A1_68,0.021
,,00073.255360,A1_28,0.067
,,00073.266240,A1_68,0.049
,,00073.306960,A1_76,0.035
,,00073.307200,A1_86,0.023
,,00073.307760,A1_17,0.079
,,00073.311440,A1_48,0.023
,,00073.319520,A1_17,0.068
,,00073.350160,A1_17,0.077
,,00073.384560,A1_85,0.024
,,00074.256400,A1_71,0.058
,,00074.287120,A1_71,0.055
,,00074.300480,A1_18,0.025
,,00074.302400,A1_72,0.04
,,00074.430720,A1_18,0.07
,,00074.460960,A1_77,0.025
,,00074.473600,A1_67,0.02
,,00075.175440,A1_76,0.03
,,00075.503840,A1_77,0.021
,,00075.550880,A1_83,0.021
,,00075.651360,A1_83,0.015
,,00075.877200,A1_72,0.023
,,00075.937600,A1_67,0.037
,,00075.951040,A1_83,0.02
,,00076.349760,A1_71,0.057
,,00076.397200,A1_71,0.055
,,00076.424960,A1_77,0.024
,,00076.493280,A1_67,0.024
,,00076.785680,A1_77,0.021
,,00076.876480,A1_67,0.022
,,00077.047680,A1_77,0.019
,,00077.083200,A1_67,0.03
,,00077.196160,A1_76,0.039
,,00077.326720,A1_67,0.024
,,00077.351040,A1_73,0.018
,,00077.351040,A1_83,0.018
,,00077.388880,A1_18,0.019
,,00077.429680,A1_11,0.031
,,00077.657280,A1_67,0.021
,,00077.786240,A1_83,0.019
,,00078.009920,A1_76,0.033
,,00078.018880,A1_75,0.025
,,00078.143920,A1_77,0.025
,,00078.232000,A1_68,0.043
,,00078.327040,A1_85,0.019
,,00078.417520,A1_73,0.025
,,00078.451920,A1_88,0.04
,,00078.463280,A1_87,0.029
,,00078.465280,A1_88,0.029
,,00078.471120,A1_78,0.028
,,00078.477680,A1_52,0.042
,,00078.480240,A1_88,0.031
,,00078.485280,A1_78,0.038
,,00078.485520,A1_68,0.016
,,00078.490400,A1_78,0.035
,,00078.490960,A1_76,0.034
,,00078.493040,A1_77,0.036
,,00078.495920,A1_72,0.041
,,00078.496320,A1_52,0.038
,,00078.496560,A1_67,0.04
,,00078.497600,A1_34,0.025
,,00078.498560,A1_51,0.035
,,00078.499040,A1_63,0.021
,,00078.499440,A1_26,0.026
,,00078.501760,A1_52,0.022
,,00078.502480,A1_72,0.149
,,00078.502720,A1_46,0.031
,,00078.502960,A1_71,0.041
,,00078.505200,A1_51,0.027
,,00078.505680,A1_72,0.021
,,00078.505920,A1_17,0.078
,,00078.508480,A1_46,0.064
,,00078.508960,A1_31,0.06
,,00078.509040,A1_32,0.024
,,00078.512480,A1_73,0.025
,,00078.513120,A1_51,0.029
,,00078.513200,A1_65,0.027
,,00078.513200,A1_78,0.057
,,00078.513920,A1_68,0.046
,,00078.514160,A1_53,0.027
,,00078.514400,A1_56,0.022
,,00078.514560,A1_67,0.123
,,00078.514800,A1_66,0.102
,,00078.515200,A1_48,0.023
,,00078.515280,A1_55,0.04
,,00078.515680,A1_78,0.05
,,00078.516000,A1_52,0.028
,,00078.516080,A1_72,0.046
,,00078.516800,A1_33,0.062
,,00078.516800,A1_34,0.091
,,00078.516880,A1_82,0.089
,,00078.517120,A1_23,0.027
,,00078.517360,A1_11,0.022
,,00078.517360,A1_26,0.026
,,00078.517680,A1_58,0.022
,,00078.517760,A1_55,0.039
,,00078.517840,A1_15,0.035
,,00078.517840,A1_46,0.034
,,00078.518320,A1_65,0.038
,,00078.518720,A1_51,0.026
,,00078.518720,A1_53,0.032
,,00078.518800,A1_72,0.138
,,00078.519200,A1_31,0.049
,,00078.519200,A1_82,0.029
,,00078.519360,A1_71,0.034
,,00078.519680,A1_38,0.026
,,00078.519680,A1_48,0.025
,,00078.519760,A1_35,0.024
,,00078.520000,A1_56,0.03
,,00078.520160,A1_34,0.037
,,00078.520480,A1_52,0.037
,,00078.521040,A1_28,0.025
,,00078.521200,A1_11,0.043
,,00078.521280,A1_57,0.022
,,00078.521680,A1_51,0.034
,,00078.521680,A1_72,0.032
,,00078.522160,A1_53,0.044
,,00078.522240,A1_13,0.032
,,00078.522800,A1_46,0.037
,,00078.523360,A1_56,0.044
,,00078.523520,A1_31,0.025
,,00078.523520,A1_52,0.026
,,00078.523920,A1_78,0.02
,,00078.524240,A1_62,0.023
,,00078.524320,A1_18,0.032
,,00078.524320,A1_64,0.038
,,00078.524400,A1_65,0.146
,,00078.524480,A1_26,0.024
,,00078.524560,A1_57,0.023
,,00078.524640,A1_15,0.031
,,00078.524640,A1_54,0.031
,,00078.524720,A1_75,0.022
,,00078.525120,A1_48,0.036
,,00078.525120,A1_74,0.032
,,00078.525200,A1_45,0.03
,,00078.525200,A1_67,0.06
,,00078.525280,A1_76,0.035
,,00078.525520,A1_55,0.054
,,00078.525680,A1_66,0.104
,,00078.526000,A1_34,0.052
,,00078.526080,A1_51,0.041
,,00078.526160,A1_41,0.051
,,00078.526160,A1_78,0.044
,,00078.526480,A1_46,0.043
,,00078.526560,A1_33,0.037
,,00078.526640,A1_88,0.022
,,00078.527040,A1_72,0.025
,,00078.527120,A1_53,0.029
,,00078.527280,A1_57,0.026
,,00078.527440,A1_23,0.042
,,00078.527520,A1_76,0.038
,,00078.527520,A1_87,0.025
,,00078.527680,A1_56,0.02
,,00078.527760,A1_58,0.024
,,00078.527840,A1_61,0.051
,,00078.528160,A1_22,0.04
,,00078.528320,A1_66,0.016
,,00078.528400,A1_31,0.028
,,00078.528400,A1_64,0.087
,,00078.528480,A1_32,0.016
,,00078.528560,A1_55,0.047
,,00078.528560,A1_74,0.037
,,00078.528640,A1_26,0.032
,,00078.528880,A1_48,0.028
,,00078.528960,A1_52,0.038
,,00078.528960,A1_62,0.039
,,00078.529040,A1_15,0.028
,,00078.529120,A1_78,0.044
,,00078.529360,A1_51,0.03
,,00078.529360,A1_72,0.129
,,00078.529520,A1_54,0.034
,,00078.529520,A1_65,0.137
,,00078.529600,A1_47,0.031
,,00078.529840,A1_71,0.04
,,00078.530000,A1_63,0.029
,,00078.530080,A1_18,0.025
,,00078.530080,A1_28,0.027
,,00078.530080,A1_83,0.026
,,00078.530160,A1_53,0.031
,,00078.530560,A1_57,0.048
,,00078.530640,A1_41,0.028
,,00078.530720,A1_11,0.041
,,00078.530800,A1_64,0.032
,,00078.530800,A1_74,0.058
,,00078.530880,A1_82,0.093
,,00078.531600,A1_72,0.02
,,00078.531680,A1_55,0.042
,,00078.531680,A1_58,0.051
,,00078.531840,A1_88,0.059
,,00078.532320,A1_34,0.04
,,00078.532400,A1_65,0.032
,,00078.532560,A1_66,0.098
,,00078.532720,A1_46,0.031
,,00078.533040,A1_64,0.031
,,00078.533360,A1_38,0.039
,,00078.533440,A1_23,0.03
,,00078.533680,A1_57,0.027
,,00078.533840,A1_11,0.028
,,00078.533920,A1_31,0.047
,,00078.534080,A1_73,0.023
,,00078.534080,A1_83,0.021
,,00078.534240,A1_53,0.043
,,00078.534320,A1_52,0.033
,,00078.534400,A1_26,0.029
,,00078.534400,A1_41,0.025
,,00078.534400,A1_72,0.021
,,00078.534480,A1_88,0.04
,,00078.534640,A1_32,0.038
,,00078.534640,A1_33,0.034
,,00078.534640,A1_34,0.043
,,00078.534720,A1_24,0.036
,,00078.534960,A1_13,0.037
,,00078.534960,A1_85,0.033
,,00078.535280,A1_87,0.048
,,00078.536160,A1_55,0.053
,,00078.536240,A1_77,0.04
,,00078.536400,A1_57,0.031
,,00078.536400,A1_65,0.129
,,00078.536480,A1_23,0.029
,,00078.536720,A1_15,0.046
,,00078.536800,A1_78,0.078
,,00078.537440,A1_26,0.035
,,00078.537440,A1_66,0.109
,,00078.537520,A1_68,0.03
,,00078.537680,A1_33,0.023
,,00078.537680,A1_34,0.016
,,00078.537680,A1_51,0.038
,,00078.537760,A1_18,0.025
,,00078.537840,A1_27,0.026
,,00078.537920,A1_14,0.045
,,00078.537920,A1_67,0.123
,,00078.538160,A1_46,0.047
,,00078.538160,A1_82,0.034
,,00078.538240,A1_13,0.026
,,00078.538240,A1_64,0.074
,,00078.538240,A1_84,0.043
,,00078.538320,A1_32,0.027
,,00078.538400,A1_21,0.029
,,00078.538400,A1_88,0.052
,,00078.538480,A1_54,0.043
,,00078.538560,A1_76,0.033
,,00078.538640,A1_55,0.04
,,00078.538640,A1_57,0.057
,,00078.538720,A1_53,0.069
,,00078.538800,A1_45,0.041
,,00078.538800,A1_56,0.029
,,00078.538880,A1_23,0.084
,,00078.538880,A1_63,0.028
,,00078.538880,A1_77,0.046
,,00078.539440,A1_22,0.034
,,00078.539600,A1_58,0.023
,,00078.540240,A1_73,0.035
,,00078.540240,A1_83,0.026
,,00078.540560,A1_48,0.027
,,00078.540720,A1_52,0.059
,,00078.540720,A1_65,0.08
,,00078.540880,A1_34,0.022
,,00078.541040,A1_51,0.081
,,00078.541120,A1_72,0.034
,,00078.541200,A1_62,0.038
,,00078.541280,A1_82,0.071
,,00078.541360,A1_53,0.04
,,00078.541520,A1_32,0.022
,,00078.541680,A1_11,0.032
,,00078.541840,A1_88,0.034
,,00078.541920,A1_31,0.038
,,00078.541920,A1_71,0.034
,,00078.541920,A1_78,0.044
,,00078.542160,A1_23,0.06
,,00078.542160,A1_67,0.061
,,00078.542240,A1_46,0.04
,,00078.542240,A1_57,0.041
,,00078.542400,A1_35,0.061
,,00078.542480,A1_73,0.019
,,00078.542720,A1_27,0.022
,,00078.542880,A1_54,0.053
,,00078.543120,A1_18,0.026
,,00078.543120,A1_76,0.043
,,00078.543200,A1_15,0.034
,,00078.543200,A1_65,0.148
,,00078.543280,A1_42,0.041
,,00078.543280,A1_66,0.124
,,00078.543440,A1_24,0.049
,,00078.543520,A1_21,0.041
,,00078.543520,A1_82,0.03
,,00078.543600,A1_75,0.044
,,00078.543920,A1_34,0.029
,,00078.544080,A1_56,0.029
,,00078.544160,A1_52,0.026
,,00078.544240,A1_48,0.047
,,00078.544240,A1_55,0.063
,,00078.544240,A1_87,0.042
,,00078.544320,A1_58,0.047
,,00078.544400,A1_11,0.072
,,00078.544400,A1_23,0.053
,,00078.544400,A1_53,0.043
,,00078.544480,A1_45,0.03
,,00078.544480,A1_67,0.202
,,00078.544480,A1_68,0.036
,,00078.544560,A1_32,0.036
,,00078.544640,A1_44,0.034
,,00078.544720,A1_33,0.025
,,00078.544720,A1_57,0.15
,,00078.544720,A1_72,0.03
,,00078.544960,A1_38,0.044
,,00078.545040,A1_22,0.03
,,00078.545040,A1_86,0.034
,,00078.545280,A1_88,0.051
,,00078.545600,A1_66,0.068
,,00078.545600,A1_71,0.03
,,00078.545680,A1_46,0.05
,,00078.545760,A1_14,0.026
,,00078.545760,A1_65,0.04
,,00078.545920,A1_51,0.03
,,00078.546000,A1_13,0.022
,,00078.546000,A1_75,0.036
,,00078.546000,A1_76,0.04
,,00078.546400,A1_34,0.031
,,00078.546480,A1_31,0.03
,,00078.546960,A1_23,0.051
,,00078.546960,A1_36,0.028
,,00078.547040,A1_55,0.057
,,00078.547120,A1_26,0.03
,,00078.547200,A1_16,0.022
,,00078.547360,A1_18,0.027
,,00078.547360,A1_52,0.039
,,00078.547520,A1_45,0.026
,,00078.547680,A1_67,0.014
,,00078.547840,A1_56,0.046
,,00078.547920,A1_62,0.066
,,00078.547920,A1_66,0.044
,,00078.548000,A1_48,0.052
,,00078.548080,A1_44,0.035
,,00078.548080,A1_64,0.055
,,00078.548160,A1_15,0.034
,,00078.548240,A1_11,0.043
,,00078.548240,A1_65,0.183
,,00078.548320,A1_54,0.049
,,00078.548400,A1_63,0.025
,,00078.548400,A1_73,0.031
,,00078.548400,A1_83,0.033
,,00078.548720,A1_33,0.031
,,00078.548800,A1_21,0.031
,,00078.548880,A1_22,0.032
,,00078.548880,A1_77,0.045
,,00078.549040,A1_32,0.047
,,00078.549120,A1_72,0.045
,,00078.549200,A1_27,0.022
,,00078.549280,A1_74,0.031
,,00078.549360,A1_13,0.035
,,00078.549600,A1_31,0.033
,,00078.549680,A1_51,0.041
,,00078.549680,A1_86,0.047
,,00078.550000,A1_12,0.031
,,00078.550080,A1_35,0.049
,,00078.550080,A1_67,0.021
,,00078.550800,A1_57,0.027
,,00078.550880,A1_16,0.031
,,00078.550880,A1_62,0.025
,,00078.550960,A1_88,0.049
,,00078.551200,A1_48,0.023
,,00078.551280,A1_11,0.037
,,00078.551280,A1_22,0.023
,,00078.551280,A1_54,0.033
,,00078.551360,A1_38,0.033
,,00078.551440,A1_24,0.028
,,00078.551520,A1_63,0.014
,,00078.551760,A1_45,0.019
,,00078.551840,A1_13,0.06
,,00078.552000,A1_74,0.031
,,00078.552080,A1_32,0.028
,,00078.552400,A1_51,0.061
,,00078.552480,A1_26,0.033
,,00078.552480,A1_55,0.029
,,00078.552480,A1_58,0.048
,,00078.552560,A1_61,0.036
,,00078.552560,A1_82,0.037
,,00078.552640,A1_46,0.035
,,00078.552800,A1_15,0.022
,,00078.552880,A1_67,0.031
,,00078.552960,A1_31,0.033
,,00078.553040,A1_18,0.028
,,00078.553040,A1_33,0.032
,,00078.553040,A1_34,0.023
,,00078.553200,A1_35,0.024
,,00078.553200,A1_73,0.078
,,00078.553200,A1_83,0.079
,,00078.553280,A1_72,0.03
,,00078.553360,A1_44,0.046
,,00078.553360,A1_53,0.05
,,00078.553440,A1_47,0.028
,,00078.553440,A1_52,0.043
,,00078.553440,A1_65,0.132
,,00078.553600,A1_66,0.12
,,00078.553680,A1_71,0.054
,,00078.553760,A1_54,0.052
,,00078.553760,A1_62,0.028
,,00078.553760,A1_63,0.016
,,00078.553840,A1_38,0.037
,,00078.553840,A1_48,0.038
,,00078.553840,A1_87,0.026
,,00078.553920,A1_57,0.026
,,00078.554160,A1_88,0.052
,,00078.554560,A1_21,0.027
,,00078.554640,A1_32,0.033
,,00078.554640,A1_78,0.026
,,00078.554720,A1_27,0.024
,,00078.554800,A1_13,0.016
,,00078.554800,A1_22,0.039
,,00078.554800,A1_58,0.039
,,00078.554880,A1_28,0.035
,,00078.554960,A1_55,0.042
,,00078.555040,A1_82,0.095
,,00078.555360,A1_11,0.037
,,00078.555360,A1_67,0.143
,,00078.555440,A1_46,0.026
,,00078.555520,A1_18,0.036
,,00078.555600,A1_17,0.044
,,00078.555600,A1_53,0.047
,,00078.555680,A1_33,0.041
,,00078.555680,A1_34,0.041
,,00078.555760,A1_24,0.033
,,00078.555760,A1_26,0.041
,,00078.555840,A1_66,0.081
,,00078.555920,A1_35,0.032
,,00078.555920,A1_65,0.142
,,00078.556000,A1_23,0.049
,,00078.556000,A1_74,0.048
,,00078.556160,A1_48,0.05
,,00078.556160,A1_61,0.029
,,00078.556160,A1_62,0.053
,,00078.556320,A1_71,0.054
,,00078.556480,A1_51,0.096
,,00078.556480,A1_57,0.036
,,00078.556960,A1_44,0.048
,,00078.557040,A1_13,0.033
,,00078.557120,A1_21,0.031
,,00078.557120,A1_22,0.048
,,00078.557120,A1_32,0.033
,,00078.557200,A1_58,0.037
,,00078.557280,A1_78,0.064
,,00078.557360,A1_82,0.044
,,00078.557440,A1_72,0.033
,,00078.557520,A1_88,0.043
,,00078.557600,A1_45,0.037
,,00078.557680,A1_14,0.036
,,00078.557760,A1_12,0.032
,,00078.558000,A1_33,0.045
,,00078.558080,A1_53,0.033
,,00078.558240,A1_23,0.027
,,00078.558240,A1_34,0.042
,,00078.558320,A1_46,0.064
,,00078.558560,A1_11,0.035
,,00078.558640,A1_15,0.03
,,00078.558640,A1_24,0.019
,,00078.558720,A1_55,0.072
,,00078.558720,A1_56,0.057
,,00078.558720,A1_74,0.036
,,00078.558800,A1_62,0.044
,,00078.558880,A1_52,0.047
,,00078.559040,A1_66,0.027
,,00078.559280,A1_51,0.032
,,00078.559360,A1_64,0.032
,,00078.559360,A1_83,0.033
,,00078.559520,A1_65,0.083
,,00078.559600,A1_32,0.033
,,00078.559600,A1_35,0.028
,,00078.559760,A1_27,0.024
,,00078.559840,A1_72,0.049
,,00078.559840,A1_73,0.055
,,00078.559920,A1_17,0.087
,,00078.559920,A1_44,0.047
,,00078.560000,A1_78,0.044
,,00078.560000,A1_82,0.114
,,00078.560080,A1_45,0.034
,,00078.560080,A1_57,0.053
,,00078.560160,A1_22,0.031
,,00078.560160,A1_54,0.041
,,00078.560160,A1_76,0.039
,,00078.560240,A1_63,0.057
,,00078.560240,A1_68,0.025
,,00078.560320,A1_67,0.033
,,00078.560400,A1_33,0.037
,,00078.560480,A1_31,0.032
,,00078.560480,A1_48,0.039
,,00078.560480,A1_58,0.05
,,00078.560640,A1_46,0.033
,,00078.560720,A1_16,0.027
,,00078.560720,A1_18,0.043
,,00078.560880,A1_11,0.053
,,00078.561040,A1_86,0.044
,,00078.561200,A1_74,0.044
,,00078.561360,A1_75,0.084
,,00078.561440,A1_38,0.037
,,00078.561600,A1_41,0.032
,,00078.561600,A1_56,0.018
,,00078.561680,A1_24,0.028
,,00078.561760,A1_34,0.018
,,00078.561760,A1_42,0.032
,,00078.562000,A1_32,0.058
,,00078.562160,A1_77,0.047
,,00078.562240,A1_27,0.027
,,00078.562320,A1_87,0.038
,,00078.562480,A1_57,0.069
,,00078.562560,A1_22,0.076
,,00078.562560,A1_26,0.038
,,00078.562640,A1_62,0.043
,,00078.562720,A1_33,0.032
,,00078.562720,A1_54,0.092
,,00078.562960,A1_15,0.059
,,00078.562960,A1_61,0.091
,,00078.562960,A1_64,0.078
,,00078.563040,A1_17,0.032
,,00078.563040,A1_23,0.076
,,00078.563120,A1_36,0.084
,,00078.563120,A1_46,0.044
,,00078.563120,A1_52,0.078
,,00078.563200,A1_76,0.037
,,00078.563440,A1_18,0.059
,,00078.563440,A1_31,0.036
,,00078.563520,A1_53,0.071
,,00078.563520,A1_63,0.025
,,00078.563520,A1_83,0.038
,,00078.563600,A1_35,0.102
,,00078.563680,A1_75,0.044
,,00078.563840,A1_55,0.105
,,00078.563840,A1_88,0.052
,,00078.563920,A1_24,0.053
,,00078.563920,A1_67,0.037
,,00078.564000,A1_37,0.04
,,00078.564080,A1_11,0.054
,,00078.564080,A1_34,0.03
,,00078.564160,A1_16,0.037
,,00078.564320,A1_28,0.043
,,00078.564480,A1_45,0.048
,,00078.564480,A1_66,0.034
,,00078.564480,A1_81,0.021
,,00078.564560,A1_21,0.047
,,00078.564560,A1_85,0.02
,,00078.564640,A1_42,0.023
,,00078.564720,A1_27,0.043
,,00078.565040,A1_33,0.034
,,00078.565040,A1_65,0.104
,,00078.565200,A1_62,0.044
,,00078.565200,A1_71,0.041
,,00078.565200,A1_72,0.031
,,00078.565280,A1_26,0.037
,,00078.565280,A1_54,0.04
,,00078.565280,A1_82,0.051
,,00078.565360,A1_15,0.042
,,00078.565440,A1_48,0.036
,,00078.565520,A1_51,0.066
,,00078.565680,A1_17,0.036
,,00078.565680,A1_18,0.072
,,00078.565680,A1_31,0.035
,,00078.565760,A1_68,0.063
,,00078.565840,A1_47,0.038
,,00078.565840,A1_52,0.071
,,00078.565920,A1_61,0.025
,,00078.565920,A1_75,0.056
,,00078.565920,A1_76,0.038
,,00078.566000,A1_46,0.042
,,00078.566000,A1_63,0.031
,,00078.566240,A1_23,0.056
,,00078.566240,A1_35,0.048
,,00078.566480,A1_32,0.048
,,00078.566480,A1_67,0.17
,,00078.566560,A1_57,0.044
,,00078.566720,A1_13,0.041
,,00078.566720,A1_66,0.104
,,00078.566800,A1_24,0.054
,,00078.566800,A1_41,0.036
,,00078.566960,A1_55,0.074
,,00078.566960,A1_78,0.049
,,00078.567040,A1_34,0.036
,,00078.567040,A1_86,0.05
,,00078.567040,A1_88,0.051
,,00078.567120,A1_44,0.066
,,00078.567360,A1_14,0.039
,,00078.567440,A1_38,0.055
,,00078.567520,A1_58,0.041
,,00078.567520,A1_83,0.05
,,00078.567600,A1_22,0.058
,,00078.567600,A1_73,0.054
,,00078.567600,A1_82,0.141
,,00078.567680,A1_48,0.085
,,00078.567680,A1_71,0.061
,,00078.567680,A1_72,0.166
,,00078.567840,A1_65,0.162
,,00078.568080,A1_42,0.041
,,00078.568080,A1_56,0.023
,,00078.568160,A1_11,0.069
,,00078.568240,A1_76,0.05
,,00078.568320,A1_75,0.038
,,00078.568400,A1_46,0.035
,,00078.568480,A1_51,0.337
,,00078.568480,A1_52,0.071
,,00078.568640,A1_35,0.068
,,00078.568640,A1_63,0.047
,,00078.568720,A1_23,0.075
,,00078.568720,A1_28,0.038
,,00078.568720,A1_61,0.033
,,00078.568800,A1_21,0.046
,,00078.568960,A1_17,0.038
,,00078.568960,A1_57,0.027
,,00078.569040,A1_18,0.042
,,00078.569040,A1_32,0.053
,,00078.569040,A1_87,0.02
,,00078.569120,A1_13,0.065
,,00078.569280,A1_62,0.028
,,00078.569360,A1_66,0.099
,,00078.569360,A1_86,0.069
,,00078.569440,A1_26,0.034
,,00078.569440,A1_53,0.042
,,00078.569440,A1_81,0.031
,,00078.569680,A1_38,0.077
,,00078.569680,A1_55,0.05
,,00078.569840,A1_45,0.035
,,00078.569840,A1_58,0.04
,,00078.569920,A1_47,0.053
,,00078.570000,A1_33,0.026
,,00078.570000,A1_72,0.093
,,00078.570000,A1_78,0.102
,,00078.570080,A1_34,0.021
,,00078.570080,A1_71,0.064
,,00078.570160,A1_27,0.024
,,00078.570400,A1_68,0.036
,,00078.570400,A1_74,0.053
,,00078.570400,A1_77,0.038
,,00078.570480,A1_73,0.024
,,00078.570480,A1_83,0.026
,,00078.570560,A1_11,0.039
,,00078.570560,A1_65,0.125
,,00078.570560,A1_82,0.14
,,00078.570640,A1_54,0.104
,,00078.570720,A1_41,0.032
,,00078.570800,A1_51,0.09
,,00078.570800,A1_75,0.022
,,00078.570880,A1_31,0.041
,,00078.570960,A1_52,0.043
,,00078.571040,A1_16,0.028
,,00078.571040,A1_22,0.032
,,00078.571040,A1_56,0.043
,,00078.571120,A1_46,0.069
,,00078.571120,A1_85,0.039
,,00078.571280,A1_18,0.049
,,00078.571360,A1_12,0.05
,,00078.571440,A1_48,0.06
,,00078.571520,A1_36,0.024
,,00078.571520,A1_57,0.112
,,00078.571600,A1_13,0.058
,,00078.571600,A1_14,0.024
,,00078.571600,A1_76,0.043
,,00078.571680,A1_15,0.047
,,00078.571680,A1_62,0.046
,,00078.571680,A1_66,0.073
,,00078.571760,A1_28,0.023
,,00078.571760,A1_61,0.049
,,00078.571760,A1_87,0.027
,,00078.571840,A1_25,0.05
,,00078.572000,A1_38,0.038
,,00078.572000,A1_53,0.042
,,00078.572000,A1_64,0.033
,,00078.572080,A1_32,0.047
,,00078.572080,A1_58,0.041
,,00078.572160,A1_24,0.05
,,00078.572160,A1_45,0.036
,,00078.572160,A1_67,0.165
,,00078.572240,A1_26,0.045
,,00078.572240,A1_88,0.119
,,00078.572480,A1_35,0.081
,,00078.572720,A1_27,0.038
,,00078.572800,A1_11,0.043
,,00078.572800,A1_78,0.036
,,00078.572880,A1_21,0.041
,,00078.572880,A1_68,0.035
,,00078.572880,A1_71,0.051
,,00078.573040,A1_82,0.075
,,00078.573120,A1_41,0.038
,,00078.573120,A1_65,0.153
,,00078.573200,A1_51,0.227
,,00078.573200,A1_77,0.036
,,00078.573360,A1_56,0.03
,,00078.573440,A1_22,0.073
,,00078.573440,A1_54,0.042
,,00078.573440,A1_74,0.047
,,00078.573520,A1_46,0.038
,,00078.573600,A1_31,0.059
,,00078.573600,A1_37,0.048
,,00078.573600,A1_83,0.027
,,00078.573680,A1_73,0.027
,,00078.573760,A1_17,0.072
,,00078.574000,A1_28,0.035
,,00078.574080,A1_13,0.04
,,00078.574080,A1_14,0.045
,,00078.574160,A1_52,0.057
,,00078.574160,A1_76,0.061
,,00078.574320,A1_36,0.029
,,00078.574320,A1_55,0.051
,,00078.574320,A1_58,0.067
,,00078.574400,A1_45,0.053
,,00078.574640,A1_15,0.04
,,00078.574640,A1_26,0.033
,,00078.574640,A1_44,0.056
,,00078.574720,A1_53,0.036
,,00078.574800,A1_38,0.076
,,00078.574880,A1_67,0.14
,,00078.574880,A1_84,0.042
,,00078.574880,A1_86,0.056
,,00078.575280,A1_11,0.071
,,00078.575280,A1_27,0.029
,,00078.575280,A1_82,0.153
,,00078.575360,A1_71,0.043
,,00078.575440,A1_64,0.069
,,00078.575520,A1_33,0.063
,,00078.575520,A1_42,0.03
,,00078.575600,A1_34,0.091
,,00078.575600,A1_65,0.168
,,00078.575600,A1_78,0.158
,,00078.575760,A1_46,0.066
,,00078.575760,A1_88,0.051
,,00078.575840,A1_35,0.091
,,00078.575920,A1_63,0.041
,,00078.576000,A1_73,0.038
,,00078.576000,A1_74,0.075
,,00078.576000,A1_83,0.044
,,00078.576080,A1_68,0.047
,,00078.576320,A1_54,0.037
,,00078.576320,A1_85,0.032
,,00078.576400,A1_77,0.021
,,00078.576560,A1_31,0.056
,,00078.576880,A1_26,0.063
,,00078.576960,A1_45,0.024
,,00078.577040,A1_52,0.057
,,00078.577200,A1_32,0.042
,,00078.577200,A1_41,0.026
,,00078.577360,A1_66,0.047
,,00078.577440,A1_38,0.049
,,00078.577520,A1_17,0.064
,,00078.577680,A1_24,0.053
