Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00000.848560,D6_21,5,0.02696
,,00000.768160,D6_22,14,0.1104
,,00000.842400,D1_32,10,0.14832
,,00000.416160,C1_33,148,0.642
,,00001.000480,C1_24,26,0.14888
,,00000.539840,C1_43,60,0.44808
,,00000.587440,C1_44,63,0.3716
,,00000.751440,A1_12,72,0.24072
,,00000.593520,A1_44,66,0.32992
,,00000.118640,D2_13,129,0.90888
,,00001.008160,D2_23,7,0.08952
,,00000.735040,D2_44,9,0.26936
,,00000.521040,C2_14,119,0.43688
,,00000.908640,C2_33,7,0.07904
,,00001.000880,C2_32,13,0.0572
,,00001.004400,C2_43,11,0.06568
,,00001.000880,A2_42,13,0.0588
,,00000.916080,D3_23,5,0.04408
,,00000.448320,C3_44,191,0.6796
,,00000.804400,B3_12,37,0.29176
,,00000.815760,B3_13,40,0.18952
,,00000.876640,B3_34,7,0.05816
,,00000.839280,B3_43,56,0.26096
,,00000.086880,B3_44,229,1.02376
,,00000.191760,A4_33,116,0.80584
,,00000.773760,A4_23,26,0.2244
,,00000.930560,A4_42,8,0.05544
,,00001.000160,A4_41,26,0.10824
,,00000.889360,A4_22,7,0.24888
,,00000.752880,B4_13,61,0.35792
,,00000.593520,B4_24,35,0.3908
,,00001.000160,B4_32,21,0.10672
,,00000.785920,C4_12,36,0.33216
,,00000.311280,C4_23,89,0.6728
,,00000.431840,C4_24,60,0.56064
,,00001.000240,C4_44,20,0.14736
,,00001.011360,C4_41,5,0.07328
,,00000.390880,D4_33,70,0.59272
,,00001.000240,D4_44,32,0.1392
,,00000.110400,B5_34,142,1.0348
,,00000.168640,B5_31,214,0.9752
,,00000.164160,D5_21,119,0.77032
,,00000.396480,A6_33,164,0.69296
,,00000.110400,A6_21,243,1.0308
,,00000.842560,B6_34,40,0.1708
,,00000.541920,B6_32,176,0.59136
,,00000.293680,C6_23,187,0.78112
,,00000.844800,C6_32,25,0.17016
,,00000.841120,C6_44,9,0.13352
,,00000.863280,D6_24,6,0.08648
,,00000.064560,D6_44,221,0.89504
,,00001.092560,D1_21,13,0.15568
,,00000.995280,D1_22,10,0.25224
,,00001.100800,D1_44,8,0.11464
,,00000.947520,B1_12,20,0.30184
,,00000.376720,A1_14,206,0.97256
,,00000.155920,D2_11,218,1.0896
,,00001.131520,D2_13,10,0.11776
,,00001.000720,C2_31,69,0.35144
,,00001.251120,C2_32,14,0.07408
,,00000.181520,B2_32,157,1.02968
,,00001.130640,B2_42,20,0.1104
,,00000.876080,A2_14,19,0.45928
,,00000.075360,D3_21,311,1.2612
,,00000.089920,D3_34,303,1.14472
,,00000.038000,C3_12,333,1.2708
,,00000.829280,C3_33,58,0.35424
,,00000.448400,C3_43,213,0.78008
,,00001.003040,B3_31,97,0.32264
,,00000.217600,B3_42,218,0.9552
,,00000.815760,A3_21,125,0.44048
,,00000.500640,A3_14,193,0.67728
,,00000.304800,A3_33,267,0.96168
,,00000.243600,A3_24,278,1.07376
,,00001.257360,B4_13,14,0.13152
,,00001.159600,C4_23,8,0.06184
,,00001.251360,C4_44,17,0.12296
,,00001.250320,C4_41,5,0.04544
,,00001.250800,D4_41,15,0.0632
,,00001.198640,A5_43,7,0.04328
,,00000.272320,B5_33,204,1.11024
,,00000.950160,C5_14,25,0.34792
,,00000.070880,C5_11,322,1.17184
,,00000.166800,C5_23,237,1.05528
,,00001.044880,C5_43,11,0.20656
,,00000.160160,C5_32,161,1.01512
,,00000.791200,D5_14,20,0.43776
,,00000.176240,D5_33,281,1.16576
,,00000.180640,D5_34,237,1.01496
,,00001.116240,D5_42,6,0.04352
,,00001.020800,A6_14,65,0.35696
,,00001.064480,A6_43,46,0.3224
,,00000.999200,B6_12,33,0.32296
,,00001.075520,B6_42,55,0.25288
,,00001.068320,B6_44,9,0.17336
,,00000.500400,B6_22,121,0.80064
,,00001.095120,C6_33,26,0.14336
,,00000.989040,C6_21,56,0.40776
,,00001.058240,C6_31,47,0.27312
