Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00117.060560,D5_13,13,0.15128
,,00117.081600,D5_33,23,0.13776
,,00117.133520,D5_43,14,0.13512
,,00117.137840,D5_21,5,0.06656
,,00117.157760,D5_41,13,0.06
,,00119.373920,B5_42,13,0.23776
,,00119.405680,B2_32,9,0.35344
,,00119.373760,B5_23,27,0.3516
,,00119.416000,B5_24,17,0.28376
,,00119.361440,B5_44,73,0.3684
,,00119.388000,B5_22,20,0.36432
,,00119.794160,C3_43,6,0.20592
,,00119.954800,A5_24,9,0.1728
,,00119.363520,B5_12,83,0.62976
,,00120.389040,A3_34,8,0.15904
,,00120.420400,B5_12,38,0.43288
,,00120.439360,B5_23,15,0.24112
,,00120.541680,B5_44,7,0.11264
,,00120.420080,B5_22,20,0.43984
,,00121.096960,B2_32,7,0.21064
,,00121.407120,B1_14,14,0.1696
,,00121.376880,B5_12,15,0.48912
,,00121.412480,B5_22,6,0.28752
,,00122.298640,B5_12,12,0.3188
,,00122.272080,B5_22,7,0.30384
,,00123.201840,B5_23,5,0.20776
,,00123.806160,D4_21,11,0.14784
,,00124.040480,C3_22,6,0.11496
,,00126.347760,B2_32,8,0.21784
,,00126.825600,A5_13,5,0.13528
,,00127.021280,A5_24,8,0.194
,,00128.580320,A3_34,6,0.1404
,,00130.258400,C4_42,9,0.31136
,,00131.608480,A3_34,11,0.32424
,,00132.180960,B3_34,7,0.20032
,,00132.360160,C3_43,10,0.2528
,,00132.136960,B3_42,16,0.34416
,,00132.681280,C3_22,8,0.1012
,,00132.119920,B3_22,40,0.67584
,,00132.520000,B3_32,5,0.13128
,,00132.683840,B3_44,5,0.09248
,,00133.072480,D3_12,5,0.13808
,,00133.016000,D3_42,5,0.14312
,,00133.258480,C1_24,7,0.29072
,,00133.101280,B3_22,16,0.33024
,,00132.979840,B3_32,10,0.45824
,,00133.152000,B3_42,7,0.28576
,,00133.981040,A5_24,10,0.31384
,,00133.855680,B3_22,45,1.3984
,,00135.511840,D3_42,5,0.19168
,,00135.910720,C3_22,12,0.2332
,,00135.850880,C3_43,8,0.09464
,,00135.406480,B3_22,21,0.9204
,,00139.371600,A5_13,5,0.12536
,,00139.581120,A5_24,7,0.17696
,,00140.326480,B3_22,7,0.12768
,,00140.308480,B3_42,9,0.25752
,,00141.410640,D1_42,5,0.16008
,,00141.133680,A3_34,18,0.54
,,00141.920960,B1_14,10,0.14264
,,00143.123040,B1_14,6,0.26984
,,00143.584080,D3_42,9,0.45672
,,00144.367120,B5_12,12,0.20576
,,00144.404560,B5_23,8,0.15592
,,00144.444320,B5_22,9,0.11248
,,00144.783360,C3_22,20,0.37376
,,00145.173440,B3_22,5,0.078
,,00145.163440,A5_24,11,0.35496
,,00146.388480,A3_34,7,0.17112
,,00146.869760,C3_12,8,0.1256
,,00146.959360,C3_22,11,0.11632
,,00146.868400,C3_24,27,0.23976
,,00146.907120,C3_43,17,0.164
,,00146.962000,C3_14,31,0.26384
,,00148.665920,C3_24,14,0.15928
,,00148.589600,C3_43,12,0.26544
,,00148.443680,A3_34,7,0.23456
,,00149.662240,D4_21,8,0.20376
,,00149.440800,B6_21,9,0.27184
,,00149.882400,C3_24,8,0.20568
,,00150.017440,C3_43,11,0.22976
,,00150.019120,A5_24,8,0.24944
,,00150.099040,C3_22,27,0.62936
,,00150.486240,B3_22,7,0.29504
,,00151.421360,C3_43,11,0.14816
,,00151.985840,B1_14,11,0.22896
,,00152.470800,D3_42,5,0.13184
,,00152.529840,C3_24,6,0.03576
,,00152.380320,C3_43,12,0.158
,,00152.660960,B2_31,8,0.15776
,,00152.736880,B2_32,8,0.25296
,,00153.176160,B6_24,5,0.176
,,00153.828080,C1_24,5,0.10312
,,00153.850400,C3_43,12,0.07568
,,00153.877920,C3_22,15,0.35176
,,00154.151120,D4_43,6,0.05568
,,00154.041520,D4_21,19,0.1804
