Investigator,Lena and Yossi,Time (s),Electrode,Size (spikes),Duration (s)
,,00077.600000,B2_32,9,0.14792
,,00078.004080,C3_24,6,0.06592
,,00079.156560,C3_12,6,0.10064
,,00080.196800,D5_12,6,0.1936
,,00080.326720,D5_33,7,0.07048
,,00080.209760,A2_44,6,0.21856
,,00080.350640,D5_43,5,0.09712
,,00082.268240,A1_43,6,0.12656
,,00082.001360,D4_21,12,0.18216
,,00085.726880,D4_21,6,0.07552
,,00086.173120,A1_41,18,0.15552
,,00086.173600,A1_43,8,0.11472
,,00086.354000,A2_44,15,0.21624
,,00086.365040,C3_12,7,0.1176
,,00086.406400,C3_22,5,0.12248
,,00086.585120,A5_13,7,0.17448
,,00087.447040,B3_22,10,0.09712
,,00087.688080,A1_43,8,0.16216
,,00088.530960,D2_31,5,0.06424
,,00088.491040,D2_21,9,0.23792
,,00088.463280,D2_23,25,0.40544
,,00088.478080,B2_32,6,0.24472
,,00088.457280,D2_34,23,0.78672
,,00089.741040,B5_13,5,0.1056
,,00089.784400,B5_11,5,0.05728
,,00089.780640,B5_23,16,0.1784
,,00089.759200,B5_24,17,0.2368
,,00089.727120,B5_42,9,0.228
,,00089.758960,B5_22,14,0.2272
,,00089.761360,B5_44,82,0.53752
,,00090.487120,D5_33,16,0.13112
,,00090.486080,D5_34,7,0.07576
,,00090.478480,D5_41,22,0.10568
,,00090.504000,D5_43,11,0.14984
,,00090.729120,D2_34,8,0.1804
,,00089.719360,B5_12,130,1.32512
,,00090.461040,B5_22,12,0.49944
,,00090.527440,D5_12,13,0.4608
,,00091.529840,D2_21,6,0.09544
,,00091.591280,A1_44,5,0.23168
,,00091.636960,D5_33,8,0.2036
,,00091.644160,B5_12,41,0.47096
,,00091.864960,B5_23,7,0.0972
,,00091.797520,B5_44,13,0.26208
,,00091.760720,B5_22,16,0.3348
,,00091.763920,D5_12,11,0.34352
,,00092.211200,D5_12,5,0.09264
,,00092.139840,D5_13,13,0.20512
,,00092.078400,D5_21,10,0.28328
,,00092.178240,D5_33,28,0.34304
,,00092.196320,D5_43,18,0.21648
,,00092.157760,D5_41,12,0.25808
,,00092.608560,D2_21,22,0.49064
,,00092.786320,B6_41,6,0.30152
,,00093.616160,D3_22,7,0.12528
,,00093.644960,B5_12,5,0.09064
,,00093.635440,D3_41,8,0.32232
,,00094.057920,D3_42,6,0.14656
,,00094.041600,D4_21,7,0.1592
,,00094.590480,C3_24,8,0.1156
,,00094.530720,D4_21,6,0.19424
,,00095.376800,B2_31,5,0.1136
,,00095.377840,B2_32,9,0.28584
,,00095.881680,D3_42,5,0.13992
,,00096.776160,A1_43,5,0.1556
,,00097.011200,C4_42,5,0.18568
,,00097.455920,C3_12,6,0.03936
,,00097.464960,C3_24,8,0.08976
,,00097.452160,C3_43,5,0.0268
,,00097.511840,C3_22,6,0.19112
,,00098.958960,C5_32,6,0.178
,,00099.860080,A1_41,6,0.11304
,,00099.849360,A1_43,10,0.16184
,,00100.256160,D2_21,6,0.11512
,,00100.330400,B5_12,27,0.2596
,,00100.788000,B2_31,6,0.08696
,,00100.898000,B5_14,6,0.13216
,,00100.918960,B5_13,6,0.12272
,,00100.906720,B5_42,5,0.14816
,,00101.327360,C3_24,6,0.03744
,,00100.896880,B5_23,17,0.32352
,,00100.914320,B5_24,16,0.3048
,,00100.899440,B5_44,82,0.41664
,,00100.870000,B5_22,23,0.39216
,,00101.306240,C6_41,6,0.06208
,,00100.862800,B5_12,108,0.86032
,,00102.107440,D4_21,5,0.07176
,,00102.351920,C3_43,6,0.23232
,,00101.947920,B5_12,9,0.4728
,,00102.992160,B5_12,20,0.26536
,,00103.942880,D4_21,7,0.05152
,,00104.021040,B5_12,6,0.17504
,,00104.467040,D5_12,6,0.1712
,,00104.480000,D5_33,5,0.1432
,,00104.537600,D5_43,7,0.08792
,,00105.527520,A2_21,5,0.13248
,,00105.512800,A2_33,7,0.16648
,,00105.681840,B5_12,10,0.1408
,,00105.378480,A2_44,55,1.03096
,,00106.658960,A2_44,6,0.10824
,,00106.869920,A2_44,13,0.70976
,,00107.979360,B2_32,9,0.14296
,,00107.726160,A2_44,36,1.17864
,,00109.259360,B2_31,7,0.13872
,,00109.180880,B3_22,11,0.05648
,,00109.181360,B3_32,5,0.10592
,,00109.205600,B3_42,5,0.0244
,,00109.401040,B2_32,5,0.0904
,,00109.458800,A2_44,5,0.26328
,,00109.620480,B6_41,6,0.25968
,,00110.512800,B3_42,11,0.24504
,,00110.688880,B2_32,5,0.21904
,,00110.514800,B3_22,25,0.49648
,,00110.990080,B1_14,22,0.33472
,,00111.159600,B1_43,8,0.12544
,,00110.717120,A2_44,7,0.44072
,,00111.902480,A2_44,7,0.33688
,,00112.755840,B2_31,5,0.05336
,,00112.645840,D5_12,5,0.1768
,,00112.778080,B2_32,7,0.30328
,,00112.798720,B3_22,5,0.25656
,,00114.343680,B2_31,5,0.09936
,,00114.323920,B6_23,6,0.0956
,,00114.383200,B6_21,5,0.05488
,,00114.562160,B2_31,11,0.17752
,,00114.617760,B2_11,14,0.25584
,,00114.619360,B2_34,5,0.12352
,,00114.401440,B2_32,8,0.2628
,,00114.533840,B6_41,6,0.26848
,,00115.322720,A6_24,11,0.23968
,,00115.347600,A2_44,8,0.35744
,,00115.973840,B2_11,7,0.15448
,,00115.740160,B2_32,6,0.28216
,,00115.857520,C3_12,6,0.08096
,,00115.888960,C3_24,6,0.02576
,,00115.745200,C3_43,10,0.16752
,,00116.205360,A2_44,5,0.11144
,,00116.755520,B2_31,5,0.068
,,00116.917680,A1_43,7,0.16368
,,00117.008880,C3_12,6,0.0852
,,00117.051920,C3_24,8,0.0444
,,00116.963520,C3_43,17,0.0856
,,00117.135920,B2_31,10,0.1716
,,00117.032720,C3_22,12,0.28376
,,00117.395200,D2_21,11,0.12144
,,00117.381200,B5_14,5,0.23128
,,00117.478480,B5_12,17,0.16568
,,00117.514480,B5_44,5,0.06256
,,00117.481120,B5_22,7,0.09896
,,00117.634560,D2_21,5,0.15336
,,00117.545760,A2_44,5,0.2344
,,00117.883360,A2_44,5,0.09056
,,00118.776160,B2_31,5,0.15432
,,00119.052560,B2_31,5,0.0652
,,00119.235360,B2_31,6,0.16424
,,00119.515360,B2_31,6,0.19192
,,00120.453120,A3_44,6,0.1028
,,00120.530960,A3_43,5,0.0588
,,00120.523360,A3_32,14,0.1836
,,00120.279680,A3_34,57,0.83712
,,00120.877600,B2_31,11,0.30248
,,00121.437120,A3_34,8,0.26344
,,00121.380800,B6_23,12,0.40088
,,00121.980480,D4_21,9,0.08568
,,00121.512400,B6_41,10,0.41624
,,00122.214000,C3_12,5,0.0996
,,00122.236720,C3_24,6,0.08808
,,00122.319360,C3_22,6,0.17736
,,00122.457360,D4_21,5,0.16808
,,00123.741840,B5_12,12,0.13248
,,00123.758720,B5_22,8,0.12368
,,00127.299680,A2_44,14,0.2532
,,00127.698800,A1_43,6,0.22232
,,00129.219760,D5_33,7,0.1564
,,00130.233920,A2_44,7,0.2084
,,00131.115360,C3_43,6,0.26392
,,00131.528160,C3_24,12,0.07096
,,00131.517520,C3_43,5,0.01888
,,00130.799680,D1_42,27,0.91968
,,00132.151440,A2_44,7,0.32456
,,00132.737120,B6_23,6,0.18248
,,00132.731280,B6_41,6,0.30376
,,00134.279360,A2_44,9,0.3972
,,00135.975040,B4_13,6,0.03776
,,00135.874960,B4_33,6,0.11608
,,00135.879200,B4_23,22,0.20416
,,00135.825120,B4_43,26,0.27432
,,00135.928800,B4_44,5,0.0496
,,00136.340800,D2_21,6,0.1824
,,00136.322400,A2_44,11,0.24288
,,00137.544400,D4_43,6,0.15416
,,00137.562960,D4_32,8,0.2044
,,00137.490800,D4_21,7,0.17816
,,00137.994080,C3_12,6,0.074
,,00138.007280,C3_24,6,0.03416
,,00137.907120,C3_43,5,0.11536
,,00137.840480,A1_41,32,0.31264
,,00137.837360,A1_43,11,0.33392
,,00138.061360,C3_22,6,0.16816
,,00138.878240,A2_44,5,0.13832
,,00138.923760,A5_13,8,0.18464
,,00138.923680,A1_43,8,0.32664
,,00139.820560,D4_21,5,0.05704
,,00139.393520,A5_13,6,0.28296
,,00140.315760,A3_34,7,0.1104
,,00141.323920,A2_44,7,0.1408
,,00141.691440,D4_21,9,0.08968
,,00142.732400,D5_33,10,0.072
,,00142.762880,D5_43,5,0.0936
,,00142.407200,B6_41,9,0.47024
,,00144.042240,C3_24,6,0.02864
,,00143.997680,C3_43,6,0.09088
,,00144.044400,D4_32,5,0.16776
,,00143.994160,D4_21,12,0.17152
,,00144.686960,D4_21,6,0.21904
,,00145.871360,D2_21,5,0.12488
,,00146.356080,D5_33,17,0.09176
,,00146.365440,D5_43,8,0.10728
,,00146.344400,D5_21,9,0.11456
,,00146.360960,D5_41,16,0.14136
,,00146.401920,D5_12,17,0.65832
,,00146.688400,B6_41,5,0.26776
,,00147.181760,B3_22,7,0.03208
,,00147.163360,D5_12,8,0.21744
,,00147.232640,D5_33,5,0.1268
,,00147.327760,B3_42,9,0.0924
,,00147.540880,D2_21,8,0.24264
,,00147.683840,D5_33,8,0.21528
,,00147.606000,D5_41,5,0.1376
,,00147.320240,B3_22,30,0.63472
,,00147.807520,B3_32,5,0.2096
,,00147.661280,D5_12,17,0.57096
,,00148.056880,D5_13,9,0.2976
,,00148.211520,D5_43,9,0.11344
,,00148.205600,D5_21,5,0.16824
,,00148.176320,D5_41,6,0.17888
,,00148.298800,B3_44,5,0.18232
,,00148.171120,D5_33,22,0.28768
,,00148.947280,C4_23,5,0.05536
,,00148.965120,C4_42,13,0.15216
,,00148.947600,C4_41,15,0.11904
,,00149.691520,B3_22,11,0.30352
,,00150.206320,B6_41,9,0.41584
,,00151.450480,D4_21,8,0.09576
,,00152.248400,C4_42,5,0.16728
,,00153.620480,D2_21,8,0.22984
,,00153.668480,D2_31,14,0.3396
,,00153.610000,D2_23,21,0.36616
,,00154.056400,B3_22,6,0.0688
,,00153.946000,D5_12,6,0.16224
,,00153.943440,D5_13,7,0.12944
,,00154.028480,D5_33,8,0.10592
,,00154.006640,D5_43,6,0.1264
,,00153.971920,D2_21,23,0.51536
,,00153.698480,D2_34,41,0.89856
,,00154.449280,A2_44,13,0.29232
,,00154.623360,D4_21,7,0.0924
,,00155.142560,C3_12,8,0.08768
,,00155.160640,C3_24,7,0.07232
,,00155.659360,D5_33,6,0.16464
,,00156.297200,A1_41,12,0.15792
,,00159.154560,B6_23,5,0.1532
,,00159.836560,B3_22,17,0.08928
,,00159.897920,B3_42,6,0.02704
,,00160.107280,D4_21,9,0.08184
,,00160.867360,D4_21,6,0.12472
,,00161.599840,B3_22,6,0.086
,,00161.957600,C3_24,8,0.04992
,,00163.538320,D2_21,6,0.05728
,,00164.372640,A5_13,7,0.10272
,,00164.543760,B6_23,12,0.20224
,,00164.706000,B6_21,6,0.13416
,,00164.585360,B6_41,8,0.2064
,,00165.240960,C3_24,10,0.10312
,,00164.895440,B6_41,8,0.34048
,,00165.372800,B6_41,5,0.21432
,,00165.698080,B6_41,5,0.2388
,,00167.129840,D5_33,13,0.09936
,,00167.106560,D5_43,8,0.15992
,,00167.113280,D5_41,6,0.182
,,00167.958640,D4_21,5,0.13616
,,00169.770320,A1_41,5,0.06416
,,00169.613920,A5_13,5,0.11256
,,00169.657760,A1_44,6,0.26816
,,00171.337280,D4_32,5,0.13072
,,00171.263520,D4_21,12,0.18472
,,00171.538880,B6_23,9,0.2024
,,00171.788960,D4_21,8,0.24728
,,00171.679520,B6_41,7,0.29824
,,00173.792080,D4_21,6,0.18152
,,00174.467360,D1_22,5,0.03144
,,00174.616240,C3_12,14,0.11768
,,00174.648320,C3_13,5,0.14192
,,00174.693120,C3_14,34,0.17664
,,00174.649360,C3_24,26,0.19008
,,00174.687920,C3_43,15,0.056
,,00174.704240,C3_22,18,0.32456
,,00175.027200,C3_12,9,0.12648
,,00175.287840,C3_43,9,0.06376
,,00175.326880,C3_12,11,0.30656
,,00175.298480,C3_24,35,0.46168
,,00175.597520,C3_43,7,0.134
,,00175.942240,C3_24,6,0.03656
,,00175.920000,C3_43,21,0.1628
