Investigator,Yossi,Time (s),Electrode,Amplitude (mV),,
,,629.99696,B1_62,0.075,,
,,629.99704,B3_27,0.011,,
,,629.99728,A1_61,0.013,,
,,629.99728,A3_74,0.012,,
,,629.99992,B2_34,0.009,,
,,630.00936,B2_15,0.013,,
,,630.0096,B2_65,0.018,,
,,630.0096,B2_76,0.011,,
,,630.00984,B3_74,0.015,,
,,630.00992,A1_27,0.004,,
,,630.00992,A1_38,0.011,,
,,630.00992,A1_63,0.01,,
,,630.00992,A1_74,0.007,,
,,630.01,A2_46,0.009,,
,,630.01,A3_38,0.011,,
,,630.01008,A3_15,0.014,,
,,630.01024,B2_43,0.008,,
,,630.01024,B3_21,0.007,,
,,630.01032,A1_28,0.009,,
,,630.01032,A2_55,0.011,,
,,630.0104,A2_48,0.011,,
,,630.0104,A2_85,0.008,,
,,630.0104,B2_53,0.011,,
,,630.01048,A1_85,0.015,,
,,630.01056,B2_54,0.016,,
,,630.01064,A3_41,0.012,,
,,630.01064,B3_68,0.013,,
,,630.01112,A1_45,0.01,,
,,630.0112,B3_13,0.011,,
,,630.01128,A2_32,0.012,,
,,630.01144,A3_54,0.015,,
,,630.01152,A2_36,0.012,,
,,630.01152,A2_58,0.011,,
,,630.0116,A3_68,0.015,,
,,630.0116,B2_61,0.014,,
,,630.01168,A2_42,0.013,,
,,630.01168,B2_48,0.013,,
,,630.01168,B3_52,0.007,,
,,630.01176,B1_14,0.014,,
,,630.01184,A2_56,0.015,,
,,630.012,B3_38,0.006,,
,,630.01208,B3_37,0.007,,
,,630.01216,B3_16,0.006,,
,,630.01224,A1_87,0.007,,
,,630.01224,B3_34,0.005,,
,,630.01224,B3_41,0.006,,
,,630.01232,A3_25,0.005,,
,,630.01232,A3_28,0.005,,
,,630.01232,A3_53,0.007,,
,,630.01232,B3_27,0.004,,
,,630.0124,B3_47,0.005,,
,,630.01256,A3_17,0.007,,
,,630.01256,B3_25,0.006,,
,,630.01264,A3_22,0.005,,
,,630.01264,B1_25,0.005,,
,,630.01264,B3_76,0.007,,
,,630.01272,A3_83,0.011,,
,,630.01272,B2_34,0.008,,
,,630.0128,A3_16,0.01,,
,,630.0128,A3_35,0.007,,
,,630.01288,A1_17,0.007,,
,,630.01288,B3_17,0.011,,
,,630.01296,A3_43,0.006,,
,,630.01296,A3_48,0.005,,
,,630.01296,A3_56,0.003,,
,,630.01304,A3_63,0.007,,
,,630.0132,B3_28,0.008,,
,,630.01336,B1_23,0.006,,
,,630.01344,A3_45,0.006,,
,,630.01352,A1_58,0.006,,
,,630.0136,A2_61,0.005,,
,,630.0136,A2_71,0.009,,
,,630.0136,B1_33,0.006,,
,,630.0136,B1_38,0.007,,
,,630.01368,B2_72,0.01,,
,,630.01384,B1_32,0.009,,
,,630.014,B1_88,0.009,,
,,630.01416,A2_24,0.017,,
,,630.01424,A2_14,0.013,,
,,630.01424,B3_63,0.007,,
,,630.01456,B1_62,0.008,,
,,630.01456,B1_71,0.009,,
,,630.01488,B1_25,0.008,,
,,630.01504,B3_71,0.011,,
,,644.09656,B1_14,0.012,,
,,644.09704,A2_81,0.073,,
,,644.09704,A3_81,0.064,,
,,644.09704,B3_81,0.074,,
,,644.09728,B2_75,0.011,,
,,644.09752,A2_37,0.01,,
,,644.09864,B2_81,0.012,,
,,644.09944,B1_74,0.01,,
,,644.09944,B2_34,0.01,,
,,644.1,A3_83,0.011,,
,,644.10056,B1_87,0.012,,
,,644.10072,B1_38,0.014,,
,,644.1096,B2_88,0.016,,
,,644.10968,B2_65,0.023,,
,,644.10984,B2_62,0.011,,
,,644.10992,B2_44,0.006,,
,,644.11,B2_84,0.011,,
,,644.11008,A1_65,0.005,,
,,644.11008,A1_85,0.013,,
,,644.11008,A3_52,0.009,,
,,644.11008,B2_43,0.01,,
,,644.11016,A1_13,0.011,,
,,644.11016,B1_37,0.013,,
,,644.11016,B2_25,0.007,,
,,644.11016,B2_37,0.013,,
,,644.11016,B3_68,0.007,,
,,644.11024,B3_13,0.009,,
,,644.11024,B3_53,0.009,,
,,644.11032,A2_45,0.01,,
,,644.11032,B1_11,0.008,,
,,644.11032,B3_62,0.008,,
,,644.1104,A2_48,0.012,,
,,644.1104,A2_85,0.011,,
,,644.1104,B1_57,0.009,,
,,644.1104,B1_83,0.007,,
,,644.1104,B2_38,0.011,,
,,644.11048,A2_46,0.011,,
,,644.11056,A1_45,0.011,,
,,644.11064,A1_28,0.007,,
,,644.1108,A2_57,0.01,,
,,644.11088,B1_51,0.009,,
,,644.11128,B3_21,0.012,,
,,644.11152,A3_13,0.011,,
,,644.11152,B2_66,0.013,,
,,644.1116,A2_53,0.02,,
,,644.1116,A2_83,0.016,,
,,644.1116,B3_24,0.013,,
,,644.11168,A2_67,0.01,,
,,644.11168,B3_65,0.013,,
,,644.11208,A2_58,0.014,,
,,644.11208,B3_52,0.011,,
,,644.11224,A3_35,0.01,,
,,644.11232,A3_63,0.01,,
,,644.1128,B2_34,0.004,,
,,644.11288,B3_28,0.006,,
,,644.11296,A3_25,0.006,,
,,644.11296,B3_37,0.01,,
,,644.11304,A1_58,0.005,,
,,644.11304,A3_68,0.006,,
,,644.11304,B2_55,0.008,,
,,644.11312,A3_45,0.01,,
,,644.11312,A3_48,0.006,,
,,644.11312,B2_11,0.009,,
,,644.1132,A1_17,0.007,,
,,644.1132,B2_51,0.008,,
,,644.1132,B3_27,0.009,,
,,644.1132,B3_41,0.01,,
,,644.11328,A1_76,0.008,,
,,644.11328,A3_56,0.006,,
,,644.11336,A2_82,0.009,,
,,644.11336,A3_55,0.007,,
,,644.11336,B2_36,0.008,,
,,644.11344,B2_85,0.008,,
,,644.11352,A2_56,0.009,,
,,644.11352,B2_27,0.008,,
,,644.11368,B2_33,0.007,,
,,644.11392,A1_64,0.01,,
,,644.11392,A2_11,0.006,,
,,644.11392,A2_27,0.008,,
,,644.11392,B2_13,0.011,,
,,644.11416,B3_63,0.005,,
,,644.11424,A1_78,0.008,,
,,644.1144,A2_14,0.004,,
,,644.11456,B1_71,0.009,,
,,644.11472,B1_62,0.011,,
,,644.1152,B3_71,0.008,,
,,651.59048,A2_16,0.011,,
,,658.19656,A3_42,0.015,,
,,658.19704,A1_81,0.097,,
,,658.19704,A2_81,0.1,,
,,658.19704,A3_81,0.089,,
,,658.19704,B3_81,0.107,,
,,658.19728,A3_85,0.008,,
,,658.1976,A3_43,0.01,,
,,658.19768,B2_66,0.016,,
,,658.19848,B2_81,0.013,,
,,658.20024,B1_87,0.014,,
,,658.202,A2_28,0.011,,
,,658.20952,B1_26,0.01,,
,,658.20952,B1_28,0.012,,
,,658.20952,B2_62,0.006,,
,,658.20976,B2_53,0.012,,
,,658.20976,B2_65,0.016,,
,,658.20984,A2_35,0.011,,
,,658.20992,B2_44,0.01,,
,,658.21,B2_38,0.01,,
,,658.21008,B2_25,0.008,,
,,658.21016,A3_15,0.006,,
,,658.21016,B2_37,0.014,,
,,658.21024,B3_44,0.01,,
,,658.21024,B3_72,0.011,,
,,658.21032,A2_85,0.01,,
,,658.2104,B1_11,0.008,,
,,658.2104,B1_31,0.01,,
,,658.2104,B3_24,0.012,,
,,658.2104,B3_68,0.012,,
,,658.21048,A1_14,0.013,,
,,658.21048,A1_55,0.009,,
,,658.21048,A1_85,0.01,,
,,658.21048,B3_61,0.008,,
,,658.21064,B3_21,0.012,,
,,658.21088,A1_27,0.009,,
,,658.21104,B1_85,0.006,,
,,658.2112,A2_46,0.01,,
,,658.2112,A3_36,0.011,,
,,658.21136,B2_88,0.009,,
,,658.2116,A1_78,0.013,,
,,658.21168,B1_52,0.012,,
,,658.21176,B1_84,0.015,,
,,658.21176,B2_66,0.011,,
,,658.21192,A2_12,0.012,,
,,658.21208,A1_71,0.014,,
,,658.21216,B3_38,0.009,,
,,658.21224,B3_16,0.006,,
,,658.2124,B3_34,0.01,,
,,658.21248,A3_25,0.008,,
,,658.21256,B3_27,0.008,,
,,658.21264,A3_17,0.008,,
,,658.21272,B1_25,0.005,,
,,658.21272,B1_87,0.003,,
,,658.21272,B3_47,0.006,,
,,658.2128,B3_52,0.005,,
,,658.2128,B3_85,0.008,,
,,658.21296,B2_11,0.008,,
,,658.21296,B3_41,0.009,,
,,658.21304,A2_71,0.008,,
,,658.21304,B2_18,0.007,,
,,658.21304,B3_28,0.007,,
,,658.2132,A3_48,0.006,,
,,658.2132,A3_55,0.006,,
,,658.2132,B3_25,0.008,,
,,658.21336,B2_85,0.007,,
,,658.21336,B3_76,0.007,,
,,658.21344,B3_82,0.01,,
,,658.21352,A2_82,0.009,,
,,658.21352,A3_45,0.005,,
,,658.21352,B1_32,0.006,,
,,658.2136,B2_16,0.01,,
,,658.21368,A1_58,0.005,,
,,658.21368,B2_35,0.007,,
,,658.21376,B1_38,0.007,,
,,658.21384,A2_11,0.006,,
,,658.21392,B2_32,0.008,,
,,658.21432,B3_63,0.009,,
,,658.21448,A2_14,0.011,,
,,658.21448,A2_24,0.016,,
,,658.2148,B1_62,0.014,,
,,658.21488,B1_71,0.013,,
,,658.21512,B3_71,0.008,,
,,672.29656,A3_77,0.011,,
,,672.29712,A2_81,0.092,,
,,672.29712,A3_81,0.093,,
,,672.29712,B1_32,0.016,,
,,672.29712,B1_62,0.079,,
,,672.2972,B1_71,0.024,,
,,672.29728,B3_85,0.011,,
,,672.29736,A3_88,0.012,,
,,672.29744,B3_28,0.012,,
,,672.29752,B1_18,0.015,,
,,672.29768,A3_43,0.01,,
,,672.29848,B2_81,0.018,,
,,672.30296,A1_76,0.009,,
,,672.3096,B1_15,0.009,,
,,672.3096,B1_28,0.018,,
,,672.3096,B2_62,0.007,,
,,672.3096,B2_83,0.015,,
,,672.30968,B1_26,0.008,,
,,672.30984,B1_42,0.017,,
,,672.30984,B2_53,0.006,,
,,672.31,A3_44,0.009,,
,,672.31,A3_52,0.006,,
,,672.31,B3_31,0.009,,
,,672.31008,A2_15,0.012,,
,,672.31008,A3_72,0.014,,
,,672.31008,B2_37,0.013,,
,,672.31008,B2_84,0.01,,
,,672.31024,B2_76,0.014,,
,,672.31032,A1_73,0.012,,
,,672.31032,B1_75,0.017,,
,,672.3104,A1_85,0.011,,
,,672.3104,A3_41,0.007,,
,,672.31048,A1_36,0.009,,
,,672.31056,A1_38,0.009,,
,,672.31064,B1_57,0.009,,
,,672.31072,B2_43,0.009,,
,,672.31088,B3_21,0.012,,
,,672.31104,B1_85,0.007,,
,,672.3116,A1_88,0.011,,
,,672.3116,B2_72,0.015,,
,,672.31168,B2_18,0.015,,
,,672.31176,A1_35,0.013,,
,,672.31176,A3_37,0.012,,
,,672.31176,B1_86,0.013,,
,,672.31192,B1_52,0.014,,
,,672.31208,A3_18,0.013,,
,,672.31208,B3_52,0.006,,
,,672.31216,A2_51,0.016,,
,,672.31232,A1_61,0.005,,
,,672.3124,A3_25,0.005,,
,,672.31248,B3_16,0.004,,
,,672.31256,A3_35,0.005,,
,,672.31264,A3_28,0.006,,
,,672.31264,B3_34,0.007,,
,,672.31272,A3_17,0.007,,
,,672.3128,A3_43,0.005,,
,,672.3128,A3_48,0.003,,
,,672.3128,B3_47,0.01,,
,,672.31288,A3_83,0.01,,
,,672.31296,A1_76,0.009,,
,,672.31296,B1_25,0.006,,
,,672.31304,B1_33,0.007,,
,,672.31304,B3_82,0.009,,
,,672.31312,B1_43,0.006,,
,,672.31312,B1_45,0.009,,
,,672.3132,A1_17,0.008,,
,,672.3132,A1_33,0.007,,
,,672.3132,A1_58,0.006,,
,,672.3132,A3_22,0.007,,
,,672.3132,B1_23,0.005,,
,,672.3132,B2_11,0.009,,
,,672.3132,B3_25,0.009,,
,,672.31328,A3_45,0.004,,
,,672.31328,A3_56,0.005,,
,,672.31328,B1_87,0.005,,
,,672.31328,B3_14,0.008,,
,,672.31336,A2_82,0.011,,
,,672.31336,B1_54,0.009,,
,,672.31336,B3_41,0.008,,
,,672.31336,B3_85,0.009,,
,,672.31344,B1_13,0.003,,
,,672.31344,B1_63,0.007,,
,,672.31352,B3_37,0.012,,
,,672.3136,B1_42,0.012,,
,,672.31368,B2_34,0.007,,
,,672.31376,B1_88,0.008,,
,,672.31376,B2_36,0.007,,
,,672.31392,A3_55,0.007,,
,,672.31392,B2_14,0.011,,
,,672.31408,A2_61,0.008,,
,,672.31408,B2_55,0.008,,
,,672.31416,A2_11,0.01,,
,,672.31424,B3_63,0.006,,
,,672.31448,A2_14,0.009,,
,,672.31464,B1_62,0.009,,
,,672.31472,B1_71,0.013,,
,,672.31504,B3_71,0.016,,
,,685.19992,B2_46,0.012,,
,,686.39616,B3_34,0.026,,
,,686.39712,A1_81,0.107,,
,,686.39712,B1_81,0.102,,
,,686.39712,B3_81,0.104,,
,,686.3972,A2_81,0.105,,
,,686.3972,A3_81,0.106,,
,,686.39736,A2_66,0.01,,
,,686.39736,A3_85,0.015,,
,,686.39736,B3_33,0.013,,
,,686.3996,B1_43,0.007,,
,,686.39992,B1_38,0.014,,
,,686.40032,A1_58,0.01,,
,,686.4096,B2_15,0.014,,
,,686.40968,A3_36,0.014,,
,,686.40968,B2_88,0.014,,
,,686.40976,B2_53,0.01,,
,,686.40992,B2_62,0.009,,
,,686.41,B2_84,0.013,,
,,686.41008,B2_44,0.01,,
,,686.41016,B1_17,0.011,,
,,686.41024,A2_88,0.01,,
,,686.41024,B3_31,0.01,,
,,686.41032,A2_85,0.012,,
,,686.41032,B2_38,0.011,,
,,686.4104,A1_28,0.009,,
,,686.4104,A2_63,0.009,,
,,686.4104,B1_53,0.01,,
,,686.41048,A1_27,0.011,,
,,686.41048,B1_55,0.013,,
,,686.41048,B3_21,0.012,,
,,686.41056,A1_36,0.014,,
,,686.41056,A1_74,0.013,,
,,686.41056,B1_57,0.008,,
,,686.41056,B2_25,0.008,,
,,686.41064,A3_41,0.01,,
,,686.41064,B2_37,0.013,,
,,686.41072,A1_13,0.018,,
,,686.41072,A1_55,0.01,,
