Electrode,Mean,STD
D2_31,0.14285714285714285,1.4859889855938107
B4_21,0.07428571428571429,1.0502633294676578
A3_11,0.10571428571428572,1.5685193850330605
C6_44,0.09142857142857143,1.3170034013561522
D2_23,0.12857142857142856,1.7930136528157485
D6_33,0.10571428571428572,1.4785017236847495
C5_41,0.14857142857142858,2.126213459055649
B5_14,0.18857142857142858,1.6660940512933544
A4_13,0.10857142857142857,1.5855366695892734
D5_23,0.08,0.9910456238596833
B5_24,15.577142857142857,4.2853295065364385
A4_24,0.1457142857142857,2.079538802872661
D5_31,0.13142857142857142,1.6106381039950648
D3_34,0.037142857142857144,0.5568204195176725
D6_32,0.11428571428571428,1.6243051889773594
D2_41,0.21142857142857144,2.2692694140338183
D2_33,0.04,0.4823750763521208
D1_41,0.6342857142857142,4.93824392484054
D5_33,0.12,1.4822376905977568
D4_24,0.08571428571428572,1.2322204944484474
C1_34,0.10571428571428572,1.026907384095666
D5_22,0.037142857142857144,0.4675686133213663
B6_34,0.10857142857142857,1.5060585131056363
A6_11,0.03428571428571429,0.39852790340943306
C1_23,0.12571428571428572,1.855084573681266
B4_12,0.11428571428571428,1.6243051889773594
B3_23,0.27714285714285714,1.8944408469120857
A2_12,0.06857142857142857,0.9976462094268056
A5_24,0.06,0.8137040529051615
B3_31,0.08285714285714285,1.2678408449656706
C6_23,0.23714285714285716,2.9671136252772867
A6_22,0.09714285714285714,1.3863592019151074
B4_42,0.15428571428571428,2.160468581071227
D5_13,0.17142857142857143,2.4164402896553
B6_13,0.09714285714285714,1.4169354686960798
A1_14,0.6685714285714286,1.837353909227915
D1_34,0.19714285714285715,1.6813235796811505
A4_11,0.1,1.4672617840239492
B2_41,1.937142857142857,2.403935548730244
C6_14,0.08857142857142856,1.2986303616990216
D6_22,0.16857142857142857,2.398245957667684
C6_32,0.10571428571428572,1.535381359261388
C3_12,0.07142857142857142,1.0017331919004688
A2_23,0.037142857142857144,0.5028977256351231
D6_41,0.13142857142857142,1.7888178743950156
A6_31,0.10285714285714286,1.298677506275566
D4_13,0.054285714285714284,0.6545850843496673
A4_43,0.1,1.1753418955472366
A2_14,0.7742857142857142,1.7591950849575424
C3_34,0.02,0.32452162595778683
D1_14,0.2342857142857143,1.8691392758842402
A2_13,0.12571428571428572,1.8901765385642624
C3_24,0.06857142857142857,0.9537209620582888
C5_11,0.07428571428571429,1.1514817428346977
B4_22,0.06,0.8940118247859716
A5_23,0.07714285714285714,1.0992427820447819
A1_31,0.08285714285714285,1.1983287682162578
D2_24,0.06,0.8940118247859716
C4_23,0.08285714285714285,1.169367524845489
B5_13,0.08571428571428572,1.2822174669895356
B3_43,0.07428571428571429,1.0502633294676578
B1_23,33.691428571428574,11.023180029337436
D5_34,0.13714285714285715,1.8481010662353965
A3_24,39.60285714285714,22.772276198599606
D5_14,0.11714285714285715,1.5438330247028873
C5_12,0.20285714285714285,2.9522858663643485
C1_31,21.745714285714286,2.4555293705830357
A6_32,0.06571428571428571,0.8610435055021012
A5_42,0.08285714285714285,1.1983287682162578
A6_12,0.22285714285714286,2.3824460076970975
D4_33,0.08857142857142856,1.2401086193374764
A3_43,0.04,0.6081353232863319
B2_32,0.022857142857142857,0.3108382347190662
A6_23,0.06571428571428571,0.906308953043799
B4_31,0.5028571428571429,1.3131174932276275
C2_24,0.1457142857142857,1.419827526174089
C2_31,0.10285714285714286,1.274247276806578
A4_23,0.10285714285714286,1.4854505260378492
B5_12,0.1,1.5019035540654018
D3_41,0.08857142857142856,1.2986303616990216
C1_33,0.06285714285714286,0.8825565831429617
A1_32,0.10857142857142857,1.6194128439603268
B5_32,1.0257142857142858,1.859929777037349
C1_24,0.11142857142857143,1.3718124462750367
D2_42,0.09428571428571429,1.3500143612236883
B1_24,0.13428571428571429,1.8918536423522918
B3_12,0.12285714285714286,1.8045317104106406
C5_31,0.09714285714285714,1.3593035431606066
D1_31,0.4857142857142857,3.9145985276466173
D4_44,0.2,1.9625056869799309
A4_12,0.15714285714285714,2.2780675663234167
A3_31,24.117142857142856,12.048734034608563
B1_14,0.1,1.5019035540654018
A6_43,0.09428571428571429,1.3372557949863177
B6_33,0.037142857142857144,0.47963421436740394
B1_41,0.22857142857142856,3.307875574492869
A1_33,0.12285714285714286,1.7433278053007402
D6_24,0.18857142857142858,2.7158551853431177
A4_34,0.08571428571428572,1.2182288917330197
D6_23,0.11714285714285715,1.6214606667685625
B2_12,6.051428571428572,4.212591426973692
C4_12,0.04285714285714286,0.624172922141528
B1_11,0.38285714285714284,1.3966256711467544
D3_23,0.06571428571428571,0.906308953043799
A5_12,0.05142857142857143,0.7152907215437166
B3_22,0.3628571428571429,1.7062215086953667
B1_13,8.09142857142857,3.8593390572977224
D6_12,0.12,1.3783634187998877
D1_44,0.33714285714285713,2.8944366058537403
B3_11,0.06285714285714286,0.8595964881553317
B2_21,18.228571428571428,5.241514035825441
C3_33,0.07428571428571429,1.0254874400966199
B6_22,0.11714285714285715,1.2651336946371015
A5_22,0.11428571428571428,1.554191173595331
C5_34,0.12571428571428572,1.822454053058733
B1_42,0.16857142857142857,2.3610253739268727
B3_32,0.09142857142857143,1.3491524172227392
B2_14,0.13714285714285715,1.884839623990133
A6_33,0.08571428571428572,1.1703828084722312
B6_21,0.12857142857142856,1.9057913884595372
B4_14,0.037142857142857144,0.5028977256351231
B4_44,0.06,0.8940118247859716
B5_34,0.12285714285714286,0.579943698885979
C3_31,0.04857142857142857,0.6931796009575537
D5_32,0.045714285714285714,0.5982559686970391
A1_21,0.12,1.7377818373678886
