Investigator,Alberto,Time (s),Well,Size (spikes),Duration (s),Number of Electrodes,Spikes per Electrode (avg),Spikes per Electrode (std)
,,00454.599360,D4,171,0.314,16,10.6875,8.679852
,,00455.137280,C4,536,0.36984,16,33.5,18.415346
,,00455.315840,C3,454,0.78336,11,41.272727,23.714556
,,00456.452240,C4,119,2.08368,11,10.818182,10.751898
,,00454.144400,A3,950,4.79208,15,63.333333,36.017899
,,00459.188000,A5,152,0.27704,16,9.5,7.079901
,,00460.761920,C1,439,0.64496,15,29.266667,15.048662
,,00461.561120,A6,558,0.3748,16,34.875,12.544296
,,00462.287440,A5,103,0.30712,14,7.357143,5.689679
,,00462.216000,C6,514,0.39208,16,32.125,14.662346
,,00462.924320,D4,50,0.37904,9,5.555556,5.079613
,,00467.575360,D1,486,0.32376,16,30.375,12.343394
,,00470.348400,A6,62,0.2892,14,4.428571,3.519624
,,00471.390720,A1,462,0.43704,16,28.875,18.387751
,,00474.407120,C6,86,0.54648,13,6.615385,4.954228
,,00475.139040,D4,675,0.78224,16,42.1875,18.324228
,,00477.523760,A5,204,0.34432,16,12.75,7.03118
,,00477.553840,B4,51,0.56536,13,3.923077,2.525609
,,00478.918080,A6,233,0.34168,16,14.5625,8.543776
,,00476.836000,D4,128,2.56816,9,14.222222,17.554853
,,00478.827600,D6,392,0.64176,13,30.153846,22.903967
,,00485.698320,A6,71,0.25008,15,4.733333,3.275498
,,00487.093280,D3,53,0.2668,12,4.416667,3.522744
,,00489.260800,B3,297,0.31456,16,18.5625,14.598667
,,00489.820400,D2,388,0.44976,14,27.714286,15.804288
,,00492.216320,A5,193,0.3976,16,12.0625,11.518836
,,00492.129280,A6,265,0.36896,16,16.5625,9.943395
,,00494.318560,D4,90,0.30376,14,6.428571,5.827451
,,00496.044080,D4,133,0.21872,14,9.5,6.377975
,,00495.861520,B4,472,0.5856,16,29.5,17.230061
,,00496.870400,C6,103,0.30536,15,6.866667,6.227538
,,00497.095760,B4,60,1.63496,7,8.571429,13.025877
,,00498.128960,C3,177,0.74856,11,16.090909,13.674492
,,00498.027360,D5,443,0.62272,14,31.642857,20.927109
,,00500.466160,C4,145,0.6524,13,11.153846,11.541538
,,00501.249440,C4,64,0.8452,8,8,6.763875
,,00502.136480,C3,121,0.57424,11,11,9.676588
,,00504.002000,D4,72,0.45504,12,6,6.595453
,,00505.121840,C1,381,0.7632,15,25.4,12.716393
,,00506.464240,A5,205,0.41944,16,12.8125,11.446717
,,00507.057440,D5,56,0.39888,11,5.090909,4.561789
,,00509.903840,A3,600,0.89584,16,37.5,17.517849
,,00510.222640,B1,107,0.4436,14,7.642857,9.028583
,,00510.980640,A6,648,0.50024,16,40.5,14.709691
,,00511.862880,D3,327,0.37344,16,20.4375,12.713029
,,00511.854640,D6,367,0.76128,14,26.214286,22.045986
,,00511.848480,A3,87,1.26384,8,10.875,6.808772
,,00517.494640,D4,656,0.53512,16,41,17.161003
,,00520.504720,D1,248,0.49664,16,15.5,12.015615
