Investigator,Alberto,Time (s),Electrode,Size (spikes),Duration (s)
,,00292.199040,C3_42,12,0.58336
,,00292.912240,C3_21,13,0.45816
,,00292.943440,C3_42,22,0.5804
,,00293.357920,B3_32,36,0.37712
,,00293.650720,C3_21,13,0.54392
,,00294.032880,C3_42,24,0.61888
,,00295.079760,B3_32,27,0.40576
,,00295.287440,A4_42,6,0.18184
,,00295.294880,A4_32,5,0.17248
,,00295.274000,C4_12,29,0.22584
,,00295.379600,C4_13,5,0.1024
,,00295.280560,C4_11,48,0.24112
,,00295.307680,C4_33,24,0.20672
,,00295.309920,C4_23,24,0.1956
,,00295.364320,C4_34,21,0.1284
,,00295.316000,C4_24,25,0.19784
,,00295.345760,C4_42,11,0.19216
,,00295.328560,C4_32,23,0.18664
,,00295.301600,C4_44,29,0.25512
,,00295.290160,C4_21,41,0.23032
,,00295.292960,C4_41,45,0.21992
,,00295.305280,C4_31,19,0.238
,,00295.293040,C4_22,25,0.24992
,,00294.920800,C3_22,22,0.88872
,,00295.267200,A4_43,37,0.62368
,,00295.381920,A4_44,10,0.30784
,,00295.352240,A4_21,7,0.31808
,,00295.255200,A4_41,8,0.43632
,,00295.257360,A4_31,23,0.42848
,,00295.804720,B3_32,5,0.09672
,,00295.166160,A4_11,37,0.78296
,,00296.134080,C3_42,8,0.25624
,,00296.340480,C3_21,5,0.30536
,,00296.777600,C5_14,33,0.2624
,,00296.872400,C5_12,17,0.2156
,,00296.859600,C5_11,24,0.2268
,,00296.838640,C5_33,21,0.23016
,,00296.865840,C5_23,41,0.16992
,,00296.815120,C5_34,51,0.23896
,,00296.828400,C5_24,30,0.31344
,,00296.812480,C5_42,67,0.30392
,,00296.880000,C5_43,13,0.12232
,,00296.876720,C5_32,18,0.17224
,,00296.865200,C5_44,36,0.20336
,,00296.840000,C5_41,63,0.27464
,,00296.908160,C5_31,8,0.2196
,,00296.917120,A4_34,8,0.24168
,,00297.817760,C4_12,6,0.25216
,,00297.899600,C4_13,5,0.11368
,,00297.786720,C4_11,26,0.29336
,,00298.000480,C4_44,6,0.14208
,,00297.772240,C4_22,8,0.28432
,,00298.234240,D4_14,13,0.11176
,,00298.225120,D4_12,18,0.1324
,,00298.121760,D4_13,7,0.21248
,,00298.247680,D4_33,28,0.13744
,,00298.266800,D4_23,12,0.102
,,00298.271680,D4_34,8,0.11544
,,00298.242000,D4_24,25,0.12016
,,00298.091920,D4_42,38,0.27288
,,00298.244080,D4_43,7,0.09464
,,00298.041040,D4_32,49,0.3184
,,00298.245120,D4_44,16,0.10504
,,00298.111360,D4_21,40,0.25144
,,00298.112560,D4_41,25,0.26904
,,00298.071440,D4_31,39,0.31872
,,00298.189600,D4_22,24,0.16952
,,00298.169280,C3_42,12,0.29104
,,00297.609520,A4_34,11,0.8096
,,00298.175040,D4_11,21,0.23864
,,00298.793680,C3_42,5,0.07656
,,00298.983920,C3_42,6,0.2316
,,00299.382240,B3_41,8,0.14944
,,00299.327920,B3_12,5,0.14792
,,00299.447920,B3_22,5,0.05312
,,00299.356400,B3_32,21,0.14928
,,00301.741680,B3_12,7,0.17184
,,00301.735520,B3_32,28,0.20552
,,00303.291840,B3_12,6,0.1832
,,00303.290560,B3_32,26,0.37952
,,00304.653760,A3_41,12,0.2076
,,00304.624960,A3_11,31,0.23536
,,00304.729600,A3_13,10,0.0804
,,00304.698240,A3_23,8,0.11808
,,00304.749840,A3_24,6,0.07944
,,00304.694640,A3_34,10,0.1204
,,00304.701920,A3_44,7,0.09208
,,00304.637040,A3_43,19,0.22112
,,00304.691120,A3_42,9,0.20736
,,00304.770880,A3_32,11,0.14256
,,00305.785760,D4_21,6,0.10184
,,00305.746800,D4_42,7,0.20872
,,00305.685600,D4_32,21,0.28016
,,00305.676560,D4_41,7,0.27856
,,00306.158720,D1_41,13,0.14504
,,00306.179920,D1_21,8,0.1212
,,00306.060080,D1_11,16,0.29688
,,00306.009440,D1_12,25,0.36856
,,00306.773760,D6_31,9,0.09824
,,00306.759520,C1_41,41,0.23896
,,00306.839440,C1_31,16,0.19936
,,00306.617040,C1_11,54,0.47056
,,00306.813440,C1_12,42,0.2048
,,00306.782880,C1_13,16,0.14448
,,00306.736000,C1_22,35,0.30384
,,00306.794400,C1_23,30,0.21128
,,00306.827360,C1_14,12,0.2176
,,00306.832720,C1_33,12,0.11432
,,00306.830720,C1_24,32,0.17704
,,00306.803840,C1_34,37,0.26072
,,00306.840000,C1_32,17,0.16296
,,00306.817040,C1_43,13,0.16848
,,00306.785920,C1_44,29,0.18088
,,00306.781280,C1_42,34,0.25536
,,00306.835280,D6_14,11,0.10112
,,00306.792000,D6_12,48,0.27448
,,00306.818880,D6_33,37,0.20768
,,00306.798240,D6_23,37,0.31352
,,00306.765440,D6_24,22,0.282
,,00306.818640,D6_43,64,0.32408
,,00306.826000,D6_41,14,0.1724
,,00306.816640,D6_22,43,0.31888
,,00307.047440,A2_41,33,0.2204
,,00307.112880,A2_21,9,0.11184
,,00307.146400,A2_31,5,0.06976
,,00307.031440,A2_11,10,0.2516
,,00307.106560,A2_12,10,0.10928
,,00307.122400,A2_13,9,0.10512
,,00307.030000,A2_22,11,0.21344
,,00307.111600,A2_14,19,0.15296
,,00307.145680,A2_33,9,0.08296
,,00307.007200,A2_34,12,0.256
,,00307.006400,A2_32,27,0.35888
,,00307.120720,A2_43,9,0.1176
,,00307.026160,A2_44,32,0.27752
,,00307.143040,A2_42,11,0.1036
,,00306.800080,D6_21,52,0.35608
,,00307.701520,B3_41,7,0.10944
,,00307.613360,B3_12,8,0.15168
,,00307.710560,B3_22,5,0.1588
,,00307.676960,B3_34,6,0.20576
,,00307.626800,B3_32,19,0.1696
,,00307.797760,D6_43,5,0.14264
,,00308.033360,D6_12,22,0.57672
,,00308.304880,D6_43,6,0.21504
,,00308.626160,A4_32,5,0.17952
,,00308.305760,C1_11,17,0.75464
,,00309.718000,D6_12,5,0.25032
,,00311.581440,D6_43,7,0.21392
,,00311.859200,C4_14,5,0.16864
,,00311.806000,C4_12,38,0.22112
,,00311.858880,C4_13,13,0.1208
,,00311.791120,C4_11,53,0.27088
,,00311.827360,C4_33,35,0.21648
,,00311.839920,C4_23,31,0.19576
,,00311.881840,C4_34,18,0.156
,,00311.851280,C4_24,33,0.19144
,,00311.850000,C4_42,14,0.20816
,,00311.841840,C4_32,29,0.2692
,,00311.824640,C4_44,33,0.26976
,,00311.792320,C4_21,50,0.27648
,,00311.794720,C4_41,51,0.28488
,,00311.915120,C4_31,18,0.1056
,,00311.808640,C4_22,31,0.28008
,,00312.132320,D6_43,5,0.04912
,,00312.290000,D6_43,10,0.41976
,,00313.035760,B2_41,37,0.22952
,,00313.028800,B2_21,44,0.27312
,,00313.016000,B2_31,31,0.2876
,,00313.010160,B2_12,65,0.30136
,,00313.079440,B2_13,43,0.3
,,00313.095120,B2_22,14,0.17648
,,00312.979280,B2_23,31,0.31056
,,00313.031440,B2_14,45,0.22696
,,00313.073600,B2_33,24,0.13728
,,00313.074800,B2_24,39,0.19768
,,00313.084880,B2_34,26,0.1628
,,00313.118400,B2_32,11,0.06056
,,00313.107920,B2_43,12,0.09352
,,00313.083120,B2_44,25,0.23016
,,00313.051520,B2_42,36,0.2088
,,00313.682080,B5_14,15,0.19352
,,00313.649760,B5_21,21,0.2332
,,00313.706720,C4_11,27,0.39704
,,00313.652320,B5_12,67,0.46672
,,00313.644240,B5_13,46,0.31256
,,00313.653120,B5_11,73,0.36336
,,00313.694800,B5_33,27,0.2236
,,00313.647680,B5_23,68,0.39592
,,00313.681840,B5_34,30,0.22392
,,00313.697040,B5_24,38,0.23064
,,00313.649680,B5_42,57,0.36656
,,00313.588560,B5_43,59,0.39808
,,00313.703360,B5_32,33,0.24944
,,00313.696800,B5_44,33,0.21128
,,00313.662320,B5_41,48,0.29416
,,00313.684880,B5_31,64,0.30408
,,00313.702240,B5_22,36,0.2616
,,00313.639200,C4_22,8,0.528
,,00314.734560,D3_41,42,0.23976
,,00314.770160,D3_21,29,0.20712
,,00314.712560,D3_31,32,0.26536
,,00314.742160,D3_11,21,0.16736
,,00314.707120,D3_12,43,0.28624
,,00314.788880,D3_13,14,0.13624
,,00314.837360,D3_23,16,0.1568
,,00314.841440,D3_14,8,0.08048
,,00314.835680,D3_33,7,0.13328
,,00314.752320,D3_34,20,0.17688
,,00314.826640,D3_32,28,0.16216
,,00314.813200,D3_43,20,0.1496
,,00314.816160,D3_44,17,0.15088
,,00314.748240,D3_42,27,0.2488
,,00314.724560,B4_14,26,0.29592
,,00314.849120,B4_13,15,0.1992
,,00314.629680,B4_11,45,0.46464
,,00314.838320,B4_33,17,0.15504
,,00314.709440,B4_23,34,0.38032
,,00314.851520,B4_34,6,0.07336
,,00314.785120,B4_24,35,0.26024
,,00314.817520,B4_42,17,0.16496
,,00314.821120,B4_43,21,0.13104
,,00314.817440,B4_32,34,0.17856
,,00314.782480,B4_44,34,0.25464
,,00314.690960,B4_21,16,0.27448
,,00314.710560,B4_41,46,0.28104
,,00314.763280,B4_31,22,0.22208
,,00314.758880,B4_22,55,0.27584
,,00315.770560,C4_11,7,0.19432
,,00315.198320,B5_12,14,0.71312
,,00315.984480,C2_41,49,0.35936
,,00316.104320,C2_21,46,0.22616
,,00316.122160,C2_31,43,0.2068
,,00316.149200,C2_11,15,0.15056
,,00316.197120,C2_12,6,0.06728
,,00316.161520,C2_22,18,0.12368
,,00315.992160,C2_14,56,0.35168
,,00316.155440,C2_33,13,0.13152
,,00316.179760,C2_24,6,0.0392
,,00316.175280,C2_34,22,0.12648
,,00316.165120,C2_32,27,0.16688
,,00316.083360,C2_43,25,0.2316
,,00316.148640,C2_44,29,0.19296
,,00316.050800,C2_42,35,0.29336
,,00316.089520,B4_42,5,0.23944
,,00316.125280,C4_11,5,0.13264
,,00316.014160,B5_12,5,0.19808
,,00316.126000,C2_23,18,0.29184
,,00316.385360,C4_11,6,0.14128
,,00316.680800,D1_41,20,0.1452
,,00316.682320,D1_21,12,0.13736
,,00316.727680,D1_31,6,0.1136
,,00316.578560,D1_11,17,0.2512
,,00316.769200,D1_13,6,0.06408
,,00316.688960,D1_14,8,0.14248
,,00316.792240,D1_34,6,0.06816
,,00316.784560,D1_43,6,0.04952
,,00316.447600,B4_11,6,0.24752
,,00316.545520,D1_12,31,0.38488
,,00316.755760,B5_12,5,0.2836
,,00318.227280,C1_11,10,0.0932
,,00318.065440,A4_14,25,0.15768
,,00318.060160,A4_12,23,0.21392
,,00318.069120,A4_13,10,0.12552
,,00317.940720,A4_11,40,0.29344
,,00318.029200,A4_33,26,0.28152
,,00317.990960,A4_23,49,0.23056
,,00318.028640,A4_42,48,0.22576
,,00317.865360,A4_43,67,0.37688
,,00317.984800,A4_32,23,0.23424
,,00317.984240,A4_44,37,0.34552
,,00317.966240,A4_21,33,0.2812
,,00317.990400,A4_41,42,0.23824
,,00317.942880,A4_31,21,0.28984
,,00318.000960,A4_22,11,0.23856
,,00318.461360,A3_41,13,0.13376
,,00318.457840,A3_31,16,0.17448
,,00318.490080,A3_13,18,0.14904
,,00318.514800,A3_24,6,0.07728
,,00318.473840,A3_34,13,0.12792
,,00318.398240,A3_44,9,0.2156
,,00318.446560,A3_43,23,0.2032
,,00318.515200,A3_42,14,0.1112
,,00318.013120,A4_34,27,0.43488
,,00318.463840,A3_11,30,0.20392
,,00318.524720,A3_12,9,0.14104
,,00318.533040,A3_23,16,0.12856
,,00318.457200,A3_32,22,0.21032
,,00319.282320,C3_41,43,0.27944
,,00319.326880,C3_21,66,0.29328
,,00319.349200,C3_11,13,0.18656
,,00319.333200,C3_12,21,0.2336
,,00319.341120,C3_23,28,0.27064
,,00319.380000,C3_14,28,0.13032
,,00319.315360,C3_34,40,0.24496
,,00319.351920,C3_32,27,0.22408
,,00319.415680,C3_43,7,0.10024
,,00319.287280,C3_42,77,0.33008
,,00319.523360,B2_31,7,0.298
,,00319.563680,B2_12,18,0.14328
,,00319.628720,B2_13,7,0.09544
,,00319.564800,B2_14,6,0.10632
,,00319.623840,B2_44,5,0.1244
,,00319.675280,C3_41,5,0.16472
,,00319.305200,C3_22,29,0.45704
,,00319.797520,B4_11,8,0.25208
,,00319.931520,B6_14,16,0.1216
,,00319.936560,B6_12,24,0.13464
,,00319.940400,B6_13,21,0.1468
,,00319.902320,B6_11,10,0.12016
,,00319.847920,B6_33,21,0.2212
,,00319.826000,B6_23,26,0.29048
,,00319.923280,B6_34,21,0.1292
,,00319.855440,B6_24,24,0.21
,,00319.876720,B6_42,39,0.23424
,,00319.829280,B6_43,39,0.30176
,,00319.905200,B6_32,29,0.20488
,,00319.918240,B6_44,32,0.18368
,,00319.764720,B6_21,45,0.34664
,,00319.808320,B6_31,41,0.33272
,,00319.916960,B6_22,35,0.23112
,,00320.171200,B4_11,7,0.18264
,,00320.006800,B4_21,6,0.2448
,,00319.806160,B6_41,67,0.52896
,,00321.040560,A4_12,10,0.3116
,,00320.990000,A4_23,10,0.43952
,,00321.459840,A4_12,5,0.20888
,,00322.453360,D4_14,5,0.05096
,,00322.431040,D4_12,9,0.08368
,,00322.294080,D4_11,19,0.24952
,,00322.387840,D4_33,14,0.16216
,,00322.469200,D4_34,8,0.05512
,,00322.462000,D4_24,14,0.07896
,,00322.420720,D4_42,21,0.13256
,,00322.480320,D4_43,5,0.04064
,,00322.301040,D4_32,36,0.25176
,,00322.454960,D4_44,7,0.06944
,,00322.383760,D4_21,25,0.16936
,,00322.388480,D4_41,21,0.16736
,,00322.323760,D4_31,30,0.23208
,,00322.424320,D4_22,14,0.11984
,,00322.360560,D6_12,5,0.138
,,00322.402320,D6_33,7,0.17368
,,00322.369360,D6_23,5,0.17792
,,00322.402800,D6_43,18,0.12672
,,00322.438800,D6_22,6,0.08808
,,00322.743600,A3_41,5,0.10792
,,00322.733680,A3_11,11,0.14552
,,00322.654080,A3_31,9,0.27344
,,00322.632320,A3_32,15,0.3188
,,00322.662880,A3_43,12,0.27496
,,00323.010160,A1_41,11,0.14776
,,00322.992720,A1_21,23,0.16688
,,00323.068640,A1_12,6,0.13944
,,00323.008000,A1_24,6,0.18216
,,00323.047280,C3_22,6,0.29312
,,00323.091840,B4_21,5,0.0872
,,00323.212560,D5_44,5,0.03648
,,00322.865440,B6_41,10,0.46312
,,00323.116880,B4_11,16,0.35424
,,00323.922880,D1_12,7,0.156
,,00323.861920,B3_31,12,0.25576
,,00323.842320,B3_12,34,0.30224
,,00323.941680,B3_22,11,0.16792
,,00323.984160,B3_33,10,0.15792
,,00323.840800,B3_32,30,0.28568
,,00323.999440,B3_43,11,0.08872
,,00323.872640,B3_44,9,0.24152
,,00324.052320,B3_42,10,0.09328
,,00323.874400,B3_41,40,0.29896
,,00324.005520,B3_23,19,0.14744
,,00323.991840,B3_34,34,0.16752
,,00324.577040,D2_41,19,0.26384
,,00324.677120,D2_21,5,0.0644
,,00324.601360,D2_31,20,0.14648
,,00324.588400,D2_11,28,0.19616
,,00324.604800,D2_12,13,0.1248
,,00324.645200,D2_22,25,0.14496
,,00324.625600,D2_23,38,0.15968
,,00324.622400,D2_14,18,0.12488
,,00324.672560,D2_33,8,0.05584
,,00324.643680,D2_24,20,0.10832
,,00324.601440,D2_34,15,0.1736
,,00324.627520,D2_44,37,0.2132
,,00324.604720,D2_42,41,0.18136
,,00324.614640,D2_43,50,0.32728
,,00325.531840,D4_12,5,0.11232
,,00325.525680,D4_11,7,0.0816
,,00325.570400,D4_44,5,0.06912
,,00325.353600,D4_21,18,0.26952
,,00325.524960,D4_31,16,0.12432
,,00325.538800,D4_22,5,0.1012
,,00325.477200,D4_33,7,0.18144
,,00325.432160,D4_42,14,0.2288
,,00325.360640,D4_32,34,0.29488
,,00325.493520,D4_41,12,0.16088
,,00326.556880,A3_11,5,0.09112
,,00326.472480,D2_43,5,0.31784
,,00326.506000,C2_41,8,0.20216
,,00326.595680,B3_41,6,0.17408
,,00326.569200,B3_22,5,0.16968
,,00326.345200,A3_31,9,0.32744
,,00326.340000,A3_32,26,0.41752
,,00326.346160,A3_43,10,0.32576
,,00327.421600,A1_21,14,0.13704
,,00328.127600,C5_14,27,0.14512
,,00328.131360,C5_12,19,0.2124
,,00328.103920,C5_11,24,0.28784
,,00328.081040,C5_33,27,0.2188
,,00328.078320,C5_23,40,0.21712
,,00328.050800,C5_34,45,0.23168
,,00328.043280,C5_24,37,0.31184
,,00328.017360,C5_42,71,0.33872
,,00328.129440,C5_43,12,0.06576
,,00328.112560,C5_32,20,0.1352
,,00328.003200,C5_44,37,0.28944
,,00328.141040,C5_21,7,0.20696
,,00328.053360,C5_41,55,0.24968
,,00328.156160,C5_31,6,0.08696
,,00328.873440,C5_34,11,0.11208
,,00329.266640,C3_14,7,0.31768
,,00329.474880,C5_24,7,0.3172
,,00330.264960,D2_44,13,0.2372
,,00329.704400,C3_14,15,1
,,00330.463840,D4_32,11,0.37144
,,00332.747040,A3_41,8,0.21192
,,00332.704480,A3_11,18,0.27216
,,00332.825680,A3_13,8,0.17512
,,00332.795760,A3_34,6,0.2312
,,00332.852880,A3_32,10,0.18088
,,00332.825840,A3_44,6,0.14464
,,00332.707120,A3_43,15,0.31248
,,00332.879520,A3_42,8,0.10976
,,00332.998560,A4_11,26,0.14312
,,00333.017840,A4_31,9,0.08912
,,00333.075680,A4_33,7,0.13304
,,00333.017520,A4_23,7,0.17856
,,00333.041200,A4_42,14,0.20952
,,00333.013760,A4_43,17,0.18192
,,00333.046640,A4_32,10,0.17848
,,00333.083840,A4_44,9,0.21032
,,00333.048560,A4_21,9,0.15672
,,00333.054880,A4_41,7,0.13216
,,00333.737840,D2_23,6,0.084
,,00333.772960,D2_42,6,0.06456
,,00333.704480,D2_24,6,0.20528
,,00333.765280,D2_44,10,0.13752
,,00334.618800,C5_14,40,0.17848
,,00334.644960,C5_12,12,0.1564
,,00334.610800,C5_11,19,0.26144
,,00334.586320,C5_33,21,0.24392
,,00334.652560,C5_23,44,0.2268
,,00334.606480,C5_24,31,0.25816
,,00334.659360,C5_43,8,0.12024
,,00334.654800,C5_32,18,0.20056
,,00334.598160,C5_44,43,0.29096
,,00334.981360,D3_11,6,0.09872
,,00334.522720,C5_34,60,0.42456
,,00334.591440,C5_42,71,0.32504
,,00334.595760,C5_41,58,0.31176
,,00335.031360,D3_41,21,0.16248
,,00335.063040,D3_42,6,0.088
,,00336.519120,D1_21,5,0.10104
,,00336.520800,D1_41,7,0.1448
,,00336.526080,D1_12,10,0.16376
,,00337.309920,D5_14,16,0.1192
,,00337.301840,D5_12,17,0.20072
,,00337.299280,D5_13,41,0.22192
,,00337.324960,D5_23,12,0.1892
,,00337.301200,D5_34,18,0.15912
,,00337.180160,D5_24,59,0.38216
,,00337.170320,D5_42,58,0.38752
,,00337.252880,D5_43,52,0.3
,,00337.307120,D5_32,17,0.1416
,,00337.572960,C5_14,11,0.19136
,,00337.549280,C5_11,12,0.23256
,,00337.499600,C5_33,17,0.262
,,00337.570240,C5_23,30,0.21488
,,00337.449680,C5_34,44,0.32496
,,00337.525280,C5_24,27,0.33312
,,00337.507760,C5_42,52,0.3008
,,00337.650720,C5_32,14,0.12832
,,00337.554720,C5_44,18,0.22328
,,00337.481120,C5_41,49,0.3596
,,00337.257680,D5_33,62,0.51248
,,00337.286240,D5_44,51,0.40144
,,00337.292640,D5_22,47,0.53816
,,00338.191440,D5_42,6,0.3256
,,00338.229040,D5_43,5,0.18128
,,00338.659600,D2_11,5,0.15408
,,00338.642160,D2_44,7,0.13672
,,00339.530000,D5_44,7,0.20344
,,00339.822240,C5_33,6,0.18408
,,00339.928960,C5_23,5,0.09176
,,00339.839200,C5_24,15,0.22824
,,00339.805840,C5_42,30,0.32448
,,00339.899440,C5_44,7,0.0996
,,00339.806160,C5_41,15,0.33024
,,00339.785200,C5_34,59,0.79144
,,00340.312560,C5_42,5,0.1928
,,00340.125200,D5_42,6,0.29264
,,00340.288160,A6_14,24,0.27576
,,00340.288800,A6_13,46,0.34752
,,00340.368720,A6_33,36,0.21704
,,00340.328720,A6_23,17,0.2312
,,00340.354400,A6_34,21,0.17104
,,00340.323200,A6_24,65,0.29704
,,00340.344480,A6_42,51,0.28104
,,00340.374800,A6_43,49,0.23104
,,00340.366240,A6_32,33,0.2156
,,00340.332160,A6_44,42,0.24384
,,00340.394160,A6_21,27,0.17088
,,00340.354000,A6_41,56,0.21928
,,00340.366560,A6_31,24,0.16512
,,00340.332720,A6_22,34,0.25528
,,00340.288320,A6_12,71,0.40448
,,00340.332400,A6_11,56,0.3548
,,00341.177200,B2_41,32,0.1808
,,00341.137280,B2_21,43,0.2532
,,00341.118640,B2_12,61,0.26288
,,00341.156400,B2_13,46,0.24232
,,00341.178640,B2_22,12,0.15704
,,00341.135600,B2_14,45,0.222
,,00341.197440,B2_33,15,0.12824
,,00341.160560,B2_24,35,0.23848
,,00341.201280,B2_34,23,0.13056
,,00341.206480,B2_32,15,0.10728
,,00341.191360,B2_43,9,0.08464
,,00341.150240,B2_44,29,0.24432
,,00341.189440,B2_42,33,0.18632
,,00341.096960,B2_31,28,0.32256
,,00341.159600,B2_23,21,0.2644
,,00342.031840,C1_14,9,0.07312
,,00342.056800,C1_32,13,0.08984
,,00342.068640,C1_43,11,0.08072
,,00341.512880,A6_12,8,0.5536
,,00341.551040,A6_43,9,0.418
,,00341.927280,C1_41,49,0.28824
,,00342.041360,C1_31,16,0.2116
,,00341.796960,C1_11,50,0.39136
,,00341.913680,C1_12,38,0.28888
,,00341.995120,C1_13,16,0.20216
,,00341.984160,C1_22,32,0.20776
,,00342.029040,C1_23,22,0.19552
,,00342.040160,C1_33,8,0.1696
,,00341.998080,C1_24,34,0.214
,,00341.889520,C1_34,40,0.30816
,,00342.057440,C1_44,18,0.12376
,,00342.006560,C1_42,36,0.19
,,00341.934960,A6_11,6,0.27616
,,00342.629200,A6_43,11,0.47352
,,00343.626640,D4_42,10,0.2624
,,00343.961840,A4_11,5,0.13864
,,00344.042080,A4_43,8,0.0572
,,00344.049040,A4_31,5,0.04864
,,00343.625760,D4_32,17,0.31744
,,00344.075920,B4_23,6,0.21056
,,00344.193840,B4_44,8,0.18256
,,00344.081440,B4_22,6,0.21184
,,00344.089600,A6_14,6,0.25336
,,00344.002640,A6_24,5,0.25048
,,00343.731920,A6_34,12,0.71192
,,00344.261440,A6_12,9,0.44776
,,00344.850400,B2_31,6,0.17048
,,00344.927520,B2_12,12,0.09112
,,00344.639200,B4_42,8,0.4492
,,00344.859680,A5_34,17,0.25376
,,00345.000800,A5_21,13,0.11632
,,00345.153680,B2_12,5,0.06304
,,00344.849040,A5_14,64,0.4596
,,00344.947120,A5_12,41,0.26488
,,00344.928240,A5_13,70,0.32992
,,00344.957600,A5_11,34,0.3144
,,00345.060400,A5_33,20,0.21184
,,00345.009200,A5_23,45,0.2144
,,00344.969520,A5_24,21,0.18376
,,00344.940640,A5_42,46,0.26128
,,00344.867760,A5_43,66,0.4276
,,00344.936720,A5_32,49,0.25768
,,00344.914560,A5_44,27,0.27752
,,00344.974240,A5_41,59,0.26824
,,00345.008400,A5_31,23,0.15048
,,00345.024880,A5_22,23,0.17152
,,00346.457280,B2_14,8,0.16784
,,00346.467600,B2_12,21,0.24056
,,00346.547040,B2_13,5,0.14616
,,00346.745600,D1_41,16,0.25384
,,00346.837360,D1_21,17,0.11392
,,00346.802240,D1_31,9,0.13384
,,00346.704640,D1_11,24,0.26024
,,00346.521040,D1_12,37,0.47008
,,00346.874800,D1_13,5,0.0944
,,00346.880560,D1_22,5,0.03984
,,00346.835200,D1_23,8,0.13152
,,00346.528960,D1_14,9,0.384
,,00346.899600,D1_34,5,0.12336
,,00346.870640,D1_32,6,0.09472
,,00346.878080,D1_43,6,0.0492
,,00348.162480,C2_41,11,0.1868
,,00348.204320,C2_23,5,0.16656
,,00348.044320,A4_33,5,0.1116
,,00348.040000,A4_23,7,0.12704
,,00348.057280,A4_42,14,0.10544
,,00348.082720,A4_43,7,0.13672
,,00348.032720,A4_32,7,0.1352
,,00348.032320,A4_44,11,0.13472
,,00348.103280,A4_21,5,0.11728
,,00348.026080,A4_41,10,0.12536
,,00348.227440,C2_14,8,0.18392
,,00348.765120,C4_14,7,0.0708
,,00348.662080,C4_12,43,0.19888
,,00348.708720,C4_13,13,0.08512
,,00348.734720,C4_34,26,0.15296
,,00348.707200,C4_42,16,0.18176
,,00348.710640,C4_32,30,0.16496
,,00348.803040,B2_12,28,0.23168
,,00348.879120,B2_13,6,0.2
,,00348.801040,B2_14,7,0.14952
,,00348.943760,B2_44,5,0.08464
,,00348.656560,C4_11,62,0.33072
,,00348.688800,C4_33,34,0.22456
,,00348.729520,C4_23,31,0.20704
,,00348.698960,C4_24,37,0.20912
,,00348.689280,C4_44,34,0.26024
,,00348.655840,C4_21,54,0.27016
,,00348.653280,C4_41,47,0.33952
,,00348.694320,C4_31,24,0.24632
,,00348.671600,C4_22,42,0.31208
,,00348.955280,D3_41,14,0.20624
,,00349.414160,A5_12,7,0.29248
,,00350.014080,D4_14,8,0.10888
,,00349.963280,D4_11,21,0.13832
,,00349.864560,D4_33,19,0.2508
,,00350.055840,D4_23,7,0.04736
,,00350.023120,D4_34,11,0.09904
,,00350.018560,D4_24,10,0.076
,,00349.816480,D4_42,37,0.31856
,,00349.818400,D4_32,46,0.29968
,,00350.014800,D4_44,11,0.09552
,,00349.910960,D4_21,29,0.20488
,,00349.946160,D4_41,22,0.18272
,,00349.860640,D4_31,31,0.26952
,,00350.012720,D4_22,14,0.09264
,,00349.970160,D4_12,16,0.18224
,,00350.381520,C4_22,5,0.3
,,00350.827360,C4_11,6,0.21536
,,00351.269760,A3_41,7,0.17968
,,00351.232320,A3_31,5,0.22064
,,00351.176800,A3_11,19,0.2912
,,00351.282720,A3_13,6,0.14864
,,00351.314640,A3_34,5,0.1032
,,00351.266080,A3_32,8,0.23304
,,00351.173840,A3_43,14,0.33152
,,00351.218080,A3_42,6,0.2348
,,00352.354240,C4_12,13,0.24552
,,00352.300880,C6_14,8,0.10008
,,00352.320880,C6_12,22,0.19752
,,00352.271680,C6_13,18,0.2404
,,00352.344080,C6_11,30,0.218
,,00352.324560,C6_33,41,0.25768
,,00352.343280,C6_23,25,0.15568
,,00352.333360,C6_34,22,0.20224
,,00352.289280,C6_24,17,0.21608
,,00352.289680,C6_42,60,0.30328
,,00352.311120,C6_43,29,0.22936
,,00352.318880,C6_32,54,0.31008
,,00352.302400,C6_44,38,0.2132
,,00352.302080,C6_21,50,0.24344
,,00352.270000,C6_31,42,0.24216
,,00352.292640,C6_22,27,0.34104
,,00352.286080,C4_11,21,0.46392
,,00352.358400,C4_21,17,0.47136
,,00352.357600,C4_41,10,0.30656
,,00352.267520,C6_41,65,0.386
,,00352.855680,C4_11,6,0.16968
,,00352.366800,C4_44,17,0.75856
,,00352.934400,C4_21,5,0.19432
,,00353.320000,C6_41,6,0.1964
,,00353.595200,C4_44,5,0.23288
,,00353.664720,A6_24,5,0.13504
,,00353.683520,C6_41,5,0.17608
,,00353.818880,A6_12,13,0.1772
,,00353.844400,A6_11,6,0.12936
,,00353.751440,A6_43,5,0.21432
,,00353.822960,A6_44,5,0.11904
,,00354.296320,C6_44,6,0.38856
,,00355.053040,C6_41,6,0.07384
,,00355.238720,C6_41,6,0.0992
,,00355.249680,C6_31,5,0.13808
,,00354.961520,C6_42,16,0.51376
,,00355.676000,C4_21,6,0.1928
,,00355.668640,C4_12,12,0.34744
,,00355.785440,C4_11,9,0.26688
,,00355.689840,C4_44,8,0.34984
,,00356.355120,A5_43,27,0.17528
,,00356.794880,B3_21,6,0.0856
,,00356.634560,B3_31,16,0.24304
,,00356.720640,B3_33,10,0.1408
,,00356.787520,B3_24,8,0.0892
